Gene1,Gene2,Type
EGR1,MSX2,+
NR0B1,MSX2,+
POU5F1,MSX2,+
REST,MSX2,+
EGR1,GATA4,+
ELF2,SOX7,+
SOX7,FOXH1,+
BHLHE40,RARG,+
EGR1,RARG,+
ELF3,RARG,+
HNF1B,RARG,+
KLF4,RARG,+
MYCN,RARG,+
EPAS1,ETV5,+
GLI1,ETV5,+
GLI2,ETV5,+
EGR1,POU5F1,+
ELF2,POU5F1,+
ELF3,POU5F1,+
FOXA2,POU5F1,+
FOXD3,POU5F1,+
FOXH1,POU5F1,+
JUN,POU5F1,+
KLF4,POU5F1,+
NANOG,POU5F1,+
POU5F1,POU5F1,+
SOX2,POU5F1,+
TRP53,POU5F1,+
ZFP42,POU5F1,+
MSX2,TGIF1,+
RARG,TGIF1,+
RBPJ,TGIF1,+
SOX2,TGIF1,+
EGR1,EPAS1,+
ELF2,EPAS1,+
ELF3,EPAS1,+
ESRRB,EPAS1,+
HNF1B,EPAS1,+
KLF4,EPAS1,+
NR0B1,EPAS1,+
TGIF1,EPAS1,+
EGR1,GATA6,+
FOXA2,GATA6,+
MYCN,GATA6,+
REST,GATA6,+
RBPJ,EGR1,+
KLF4,SMAD7,+
NR0B1,SMAD7,+
REST,SMAD7,+
TGIF1,SMAD7,+
TRP53,SMAD7,+
EGR1,TCF7L2,+
HNF1B,TCF7L2,+
EGR1,FOXA2,+
ELF3,FOXA2,+
KLF4,FOXA2,+
NR0B1,FOXA2,+
REST,FOXA2,+
TRP53,FOXA2,+
EGR1,MYBL2,+
ELF3,MYBL2,+
ESRRB,MYBL2,+
KLF4,MYBL2,+
NR0B1,MYBL2,+
EGR1,SOX2,+
ETV4,SOX2,+
FOXA2,SOX2,+
KLF4,SOX2,+
POU5F1,SOX2,+
REST,SOX2,+
RUNX1,SOX2,+
SOX2,SOX2,+
TRP53,SOX2,+
ZFP42,SOX2,+
BHLHE40,KLF4,+
EGR1,KLF4,+
ELF3,KLF4,+
FOXA2,KLF4,+
FOXD3,KLF4,+
FOXH1,KLF4,+
JUN,KLF4,+
KLF4,KLF4,+
MYCN,KLF4,+
EGR1,JUN,+
ELF2,JUN,+
ELF3,JUN,+
EPAS1,JUN,+
ESRRB,JUN,+
ETS1,JUN,+
REST,JUN,+
BHLHE40,FOXD3,+
EGR1,FOXD3,+
ESRRB,FOXD3,+
KLF4,FOXD3,+
RARG,FOXD3,+
REST,FOXD3,+
SMAD7,FOXD3,+
KLF4,RBPJ,+
REST,RBPJ,+
SOX2,RBPJ,+
SOX7,RBPJ,+
ETV5,REST,+
SOX2,REST,+
ESRRB,BHLHE40,+
HMGA2,BHLHE40,+
EGR1,NANOG,+
ELF3,NANOG,+
FOXA2,NANOG,+
FOXD3,NANOG,+
FOXH1,NANOG,+
KLF4,NANOG,+
POU5F1,NANOG,+
RARG,NANOG,+
REST,NANOG,+
BHLHE40,ERF,+
HNF1B,ERF,+
KLF4,ERF,+
REST,ERF,+
SOX2,ERF,+
EGR1,ZFP42,+
FOXA2,ZFP42,+
FOXD3,ZFP42,+
FOXH1,ZFP42,+
KLF4,ZFP42,+
POU5F1,ZFP42,+
RARG,ZFP42,+
REST,ZFP42,+
RARG,ZFHX3,+
REST,ZFHX3,+
TRP53,ETS1,+
ESRRB,NR0B1,+
JUN,NR0B1,+
NR0B1,NR0B1,+
ELF2,SOX17,+
ERF,SOX17,+
HNF1B,SOX17,+
ZFP42,GLI2,+
BHLHE40,ELF3,+
TCF7L2,HMGA2,+
GATA6,XBP1,+
ESRRB,TRP53,+
NR0B1,TRP53,+
RUNX1,TRP53,+
HNF1B,ETV4,+
NANOG,ETV4,+
FOXA2,SIX1,+
FOXD3,FOXQ1,+
FOXH1,FOXQ1,+
JUN,NFIL3,+
NFIL3,NFIL3,+
KLF4,MSX2,+
RARG,MSX2,+
RARG,FOXH1,+
JUN,RARG,+
GLI1,GATA6,+
GLI2,GATA6,+
HMGA2,GATA6,+
RARG,GATA6,+
GLI2,EGR1,+
ELF3,TCF7L2,+
ZFP42,TCF7L2,+
ELF2,FOXA2,+
ERF,FOXA2,+
ETS1,FOXA2,+
FOXA2,FOXA2,+
JUN,FOXA2,+
NANOG,SOX2,+
FOXA2,FOXD3,+
TRP53,FOXD3,+
RARG,RBPJ,+
TCF7L2,RBPJ,+
SOX2,NANOG,+
SOX7,NANOG,+
BHLHE40,ZFP42,+
ELF2,ZFP42,+
ELF3,ZFP42,+
ETS1,ZFP42,+
MYCN,GLI2,+
REST,HMGA2,+
RUNX1,DDIT3,+
RARG,POU5F1,+
XBP1,TGIF1,+
POU5F1,MYBL2,+
ELF2,SOX2,+
ERF,SOX2,+
ETS1,SOX2,+
RHOX6,SOX2,+
MYCN,FOXD3,+
NANOG,FOXD3,+
MYCN,REST,+
ZFP42,NANOG,+
EGR1,NR0B1,+
ETS1,NR0B1,+
KLF4,NR0B1,+
HNF1B,HMGA2,+
TGIF1,XBP1,+
NANOG,SIX1,+
NR0B1,NFIL3,+
SOX7,NFIL3,+
ZFP42,NFIL3,+
KLF4,GATA4,+
REST,GATA4,+
KLF4,RUNX1,+
RUNX1,RUNX1,+
SMAD7,RUNX1,+
XBP1,RUNX1,+
FOXA2,SMAD7,+
FOXD3,SMAD7,+
FOXH1,SMAD7,+
HNF1B,SMAD7,+
NR0B1,TCF7L2,+
JUN,MYBL2,+
HMGA2,ELF2,+
NR0B1,JUN,+
ELF3,ERF,+
RARG,ERF,+
FOXA2,ZFHX3,+
JUN,ZFHX3,+
RUNX1,ZFHX3,+
SMAD7,ETS1,+
HMGA2,NFIL3,+
NANOG,NFIL3,+
RARG,NFIL3,+
RBPJ,RUNX1,+
SOX7,RUNX1,+
RUNX1,POU5F1,+
BHLHE40,EGR1,+
MYCN,EGR1,+
JUN,SMAD7,+
BHLHE40,ELF2,+
ELF3,ELF2,+
ETS1,ELF2,+
GLI1,ELF2,+
MYCN,ELF2,+
REST,ELF2,+
ZFP42,ELF2,+
FOXA2,RBPJ,+
XBP1,ZFHX3,+
FOXD3,GLI1,+
FOXH1,GLI1,+
FOXH1,NFIL3,+
NANOG,RUNX1,+
REST,POU5F1,+
GATA6,TCF7L2,+
ESRRB,RBPJ,+
HNF1B,BHLHE40,+
RARG,BHLHE40,+
POU5F1,PARP1,+
ELF2,GLI1,+
ERF,GLI1,+
FOXA2,TRP53,+
FOXD3,TRP53,+
FOXH1,TRP53,+
REST,TRP53,+
TGIF1,HNF1B,+
EGR1,FOXQ1,+
TCF7L2,FOXQ1,+
HNF1B,NFIL3,+
GLI1,RARG,+
RARG,RARG,+
REST,RARG,+
GATA4,RUNX1,+
REST,EPAS1,+
RARG,EGR1,+
DDIT3,JUN,+
KLF4,JUN,+
ELF2,FOXD3,+
SOX7,BHLHE40,+
TRP53,BHLHE40,+
ESRRB,ERF,+
ELF2,ETS1,+
ELF3,ETS1,+
FOXA2,ETS1,+
FOXD3,ETS1,+
FOXH1,ETS1,+
NANOG,ETS1,+
NR0B1,ETS1,+
POU5F1,ETS1,+
RARG,ETS1,+
NANOG,EPAS1,+
POU5F1,BHLHE40,+
HNF1B,ETS1,+
MYCN,ETS1,+
NANOG,HNF1B,+
FOXD3,ETV5,+
POU5F1,EGR1,+
SMAD7,EGR1,+
JUN,TCF7L2,+
REST,TCF7L2,+
BHLHE40,PARP1,+
REST,PARP1,+
SMAD7,JUN,+
POU5F1,EPAS1,+
DDIT3,MYBL2,+
SMAD7,NANOG,+
MYCN,ZFP42,+
DDIT3,ZFHX3,+
TRP53,SOX17,+
REST,GLI2,+
RUNX1,GLI2,+
ETS1,ELF3,+
MYCN,ELF3,+
SMAD7,ELF3,+
TCF7L2,DDIT3,+
SIX1,XBP1,+
SMAD7,XBP1,+
SIX1,TRP53,+
ELF3,ETV4,+
ETS1,FOXQ1,+
FOXA2,GATA4,+
EGR1,SOX7,+
JUN,SOX7,+
KLF4,SOX7,+
ETS1,RARG,+
FOXA2,RARG,+
XBP1,RARG,+
ELF2,ETV5,+
ERF,ETV5,+
ETS1,ETV5,+
TGIF1,RUNX1,+
JUN,EPAS1,+
SMAD7,EPAS1,+
EGR1,ELF2,+
MSX2,ELF2,+
RARG,ELF2,+
DDIT3,KLF4,+
BHLHE40,REST,+
GLI1,ERF,+
GLI2,ERF,+
NFIL3,ERF,+
FOXA2,GLI2,+
FOXD3,GLI2,+
FOXH1,GLI2,+
BHLHE40,DDIT3,+
FOXD3,SIX1,+
ELF2,GATA4,+
ELF3,GATA4,+
GATA4,GATA4,+
MYBL2,GATA4,+
NANOG,GATA4,+
SOX2,GATA4,+
TRP53,GATA4,+
SOX7,EPAS1,+
ELF3,GATA6,+
ESRRB,GATA6,+
JUN,GATA6,+
FOXQ1,SOX2,+
MSX2,JUN,+
SMAD7,BHLHE40,+
ZFP42,ERF,+
ELF3,ZFHX3,+
XBP1,ETS1,+
ZFP42,DDIT3,+
NR0B1,HNF1B,+
REST,HNF1B,+
ZFHX3,HNF1B,+
HNF1B,EGR1,+
ESRRB,DDIT3,+
FOXA2,EPAS1,+
FOXD3,GATA6,+
FOXH1,GATA6,+
NR0B1,ELF2,+
RUNX1,PARP1,+
ELF3,HNF1B,+
FOXD3,FOXH1,+
FOXH1,FOXH1,+
GATA6,EPAS1,+
ZFP42,EPAS1,+
NANOG,GATA6,+
SOX7,FOXA2,+
NANOG,ZFHX3,+
JUN,HMGA2,+
KLF4,HMGA2,+
SOX7,TCF7L2,+
ELF3,SOX2,+
TCF7L2,XBP1,+
RUNX1,ETS1,+
TCF7L2,ETS1,+
GLI1,TRP53,+
GLI2,TRP53,+
TGIF1,JUN,+
SOX2,ETS1,+
EPAS1,MYCN,+
GATA4,GLI2,+
HMGA2,HMGA2,+
FOXD3,SOX2,+
FOXH1,SOX2,+
ELF3,FOXD3,+
POU5F1,ZFHX3,+
