	dim1	dim2
E2_12_43	-3.5294106	6.96467
E2_12_44	-11.659485	11.292035
E2_12_45	-9.542974	9.801776
E2_12_46	-6.0133142	7.374474
E2_12_47	-10.168639	11.074739
E2_12_48	-4.4660745	3.446037
E2_12_49	-1.7331543	1.1619457
E2_12_50	-4.874902	7.0189815
E2_12_51	-2.769815	9.693509
E2_12_52	-4.14055	8.596288
E2_12_53	-9.59839	12.127746
E2_12_54	-4.7344646	5.4275775
E2_12_55	-2.7513742	5.0426736
E2_12_56	-5.637989	3.0652912
E2_12_57	-1.4244787	12.210535
E2_12_58	-6.077647	9.191601
E2_12_59	-8.19861	11.534188
E2_12_60	-2.1069126	11.548315
E2_12_61	-12.477078	13.2705
E2_12_62	-4.771138	11.059809
E2_12_63	-6.7421536	9.822054
E2_12_64	-4.7797565	6.0792236
E2_12_65	-11.129278	9.582518
E1_24_0	6.6447463	-3.2899613
E1_24_1	-3.2117789	3.6678293
E1_24_2	2.5012388	-0.96974695
E1_24_3	-0.7858394	13.188265
E1_24_4	8.127999	-0.42418715
E1_24_5	4.8500314	-0.5100995
E1_24_6	0.9126638	-1.1729841
E1_24_7	1.7911782	-0.84643584
E1_24_8	8.2631855	-3.1914215
E1_24_9	9.337114	-0.8155312
E1_24_10	3.5734737	-3.0361633
E1_24_11	2.9900913	1.1022563
E1_24_12	4.404751	-1.1032025
E1_24_13	5.3747964	0.27080268
E1_24_14	8.551625	0.002570358
E1_24_15	3.81847	1.4197301
E1_24_16	3.1502817	-2.125868
E1_24_17	-13.415402	11.807025
E1_24_18	6.154954	-2.226796
E1_24_19	6.866624	2.6765091
E1_24_20	4.2312646	-3.6185033
E1_24_21	7.770021	1.118331
E1_24_22	11.348247	2.0645587
E1_24_23	7.3156953	-2.2771106
E1_24_24	5.0367575	-4.42534
E1_24_25	8.056664	-1.0818669
E1_24_26	-0.5015379	-0.8720951
E1_24_27	2.5619063	3.5311255
E1_24_28	-6.31303	3.932581
E1_24_29	9.415746	-0.8979939
E1_24_30	1.9505212	-5.101771
E1_24_31	0.6224814	0.989208
E1_24_32	1.4408505	-2.2819645
E1_24_33	1.8443964	1.6052073
E1_24_34	12.778413	-0.35878313
E1_24_35	11.118921	-0.8629831
E1_24_36	2.337211	-2.4828863
E1_24_37	3.5975974	-1.9716884
E1_24_38	6.536697	-2.0100842
E1_24_39	-4.536673	1.2298942
E1_24_40	1.355103	3.577567
E1_24_41	4.8218727	-3.0907416
E1_24_42	8.494273	-1.087112
E1_24_43	4.170671	-0.9776653
E1_24_44	5.587351	1.1220087
E1_24_45	-11.478669	12.6846485
E1_24_46	9.712485	0.48164183
E1_24_47	-1.0790763	13.252795
E1_24_48	1.7971785	-0.3486466
E1_24_49	-15.456751	13.129157
E1_24_50	7.700286	2.6911802
E1_24_51	4.894873	-2.8531816
E1_24_52	5.603665	-1.0544959
E1_24_53	9.762889	-2.4766366
E1_24_54	5.3648324	2.1451554
E1_24_55	8.296634	2.567803
E1_24_56	6.1160293	-1.5265113
E1_24_57	-0.29801074	0.8756613
E1_24_58	12.650748	-3.316193
E1_24_59	-0.30674323	13.442765
E1_24_60	8.352353	-1.907244
E1_24_61	7.874617	0.71608204
E1_24_62	1.6452984	2.674728
E1_24_63	-1.6930187	9.373843
E1_24_64	6.7245903	-0.22274898
E1_24_65	-0.39288914	8.131986
E1_24_66	-1.3125199	2.9986055
E1_24_67	-0.2992473	-2.5653036
E1_24_68	8.959744	3.6215577
E1_24_69	8.928836	1.8316587
E4_48_0	16.83484	-13.871929
E4_48_1	14.347106	-9.254272
E4_48_2	12.732658	-19.22223
E4_48_3	13.692151	-8.921195
E4_48_4	12.052435	-17.55469
E4_48_5	15.597812	-6.6010675
E4_48_6	16.139246	-11.93497
E4_48_7	5.7298965	-8.7794
E4_48_8	13.270405	-6.0556
E4_48_9	14.896338	-8.156627
E4_48_10	13.549267	-19.449175
E4_48_11	15.140689	-8.121324
E4_48_12	-0.17366907	0.49148044
E4_48_13	14.212746	-12.101593
E4_48_14	16.29744	-11.085252
E4_48_15	10.902901	-4.3800807
E4_48_16	11.389425	-18.174011
E4_48_17	18.325035	-11.43145
E4_48_18	18.641224	-12.921362
E4_48_19	17.660744	-17.733463
E4_48_20	-16.570223	13.193652
E4_48_21	-1.3273063	13.541073
E4_48_22	7.23219	-4.590143
E4_48_23	12.69469	-10.607012
E4_48_24	14.542029	-11.420807
E4_48_25	12.03697	-7.005718
E4_48_26	17.881943	-8.668784
E4_48_27	9.6317425	-7.2297473
E4_48_28	17.341288	-16.97481
E4_48_29	14.9136715	-5.8365436
E4_48_30	11.932463	-14.012308
E4_48_31	16.945456	-12.264402
E4_48_32	14.415024	-13.304389
E4_48_33	8.790235	-4.507549
E4_48_34	8.308085	-4.843499
E4_48_35	-0.42175126	12.493302
E4_48_36	13.047523	-11.559342
E4_48_37	12.97197	-9.194035
E4_48_38	14.576582	-10.020721
E4_48_39	17.21787	-9.559778
E4_48_40	10.112263	-9.00044
E4_48_41	19.329983	-17.217445
E4_48_42	12.139931	-12.735055
E4_48_43	12.430438	-10.949036
E4_48_44	12.569186	-8.89514
E4_48_45	19.623928	-16.19702
E4_48_46	18.549738	-12.388549
E4_48_47	10.858279	-9.351752
E4_48_48	16.233421	-10.197923
E4_48_49	10.576539	-7.9584227
E4_48_50	14.163977	-10.85604
E4_48_51	17.175404	-8.371061
E4_48_52	14.357464	-5.9172764
E4_48_53	18.587412	-14.954387
E4_48_54	-0.24743585	13.239348
E4_48_55	9.421303	-4.1827903
E4_48_56	12.50795	-13.141088
E4_48_57	15.163105	-13.701753
E4_48_58	11.060587	-4.489067
E4_48_59	13.533089	-23.399818
E4_48_60	15.825638	-12.205089
E4_48_61	13.572433	-20.20751
E4_48_62	15.380481	-5.0186977
E4_48_63	12.89606	-9.906477
E4_48_64	14.0820875	-5.0200033
E4_48_65	9.94965	-7.501379
E4_48_66	16.554634	-9.97385
E4_48_67	10.847326	-6.4810305
E4_48_68	14.296037	-12.444127
E4_48_69	13.133572	-14.690378
E4_48_70	7.9002147	-8.984246
E4_48_71	14.569037	-15.399829
E4_48_72	15.074042	-8.904015
E4_48_73	5.545527	-8.684867
E3_72_0	16.032484	-21.659115
E3_72_1	17.272045	-22.3217
E3_72_2	20.471178	-12.83052
E3_72_3	14.218616	-18.392817
E3_72_4	14.741156	-15.718949
E3_72_5	18.219624	-21.215923
E3_72_6	11.279667	-15.115668
E3_72_7	13.246245	-21.241117
E3_72_8	20.045063	-24.50607
E3_72_9	15.513873	-18.595625
E3_72_10	19.159729	-23.906353
E3_72_11	14.00433	-14.322286
E3_72_12	19.509842	-20.056591
E3_72_13	17.553123	-11.69826
E3_72_14	12.93915	-9.242291
E3_72_15	18.698889	-25.098366
E3_72_16	15.3620615	-7.2209244
E3_72_17	7.902034	-10.503556
E3_72_18	14.660235	-23.711163
E3_72_19	22.813183	-19.79239
E3_72_20	23.005579	-21.492973
E3_72_21	22.946632	-23.426962
E3_72_22	20.812101	-22.870495
E3_72_23	18.699747	-21.54803
E3_72_24	13.945163	-13.451614
E3_72_25	17.645601	-22.136097
E3_72_26	22.87423	-21.797169
E3_72_27	19.097183	-23.119827
E3_72_28	21.444712	-25.16489
E3_72_29	15.77	-16.880808
E3_72_30	17.995161	-21.305918
E3_72_31	13.841327	-18.217323
E3_72_32	19.246838	-24.65466
E3_72_33	17.340584	-15.89157
E3_72_34	15.51788	-22.322931
E3_72_35	10.658772	-5.553684
E3_72_36	19.0939	-19.580498
E3_72_37	14.759058	-23.65074
E3_72_38	17.665169	-23.377035
E3_72_39	21.769533	-21.308784
E3_72_40	16.483107	-26.027983
E3_72_41	16.904104	-21.63545
E3_72_42	7.338636	-10.076752
E3_72_43	19.878523	-26.096714
E3_72_44	18.78214	-17.145256
E3_72_45	14.741914	-24.67858
E3_72_46	16.650043	-15.42642
E3_72_47	20.10789	-20.629204
E3_72_48	22.304585	-24.07895
E3_72_49	20.382116	-22.479694
E3_72_50	15.472521	-20.57344
E3_72_51	18.11939	-21.781536
E3_72_52	17.91094	-23.069101
E3_72_53	20.429415	-23.327599
E3_72_54	19.255312	-20.752674
E3_72_55	13.535341	-7.8254943
E3_72_56	22.686926	-22.916334
E3_72_57	13.8873825	-21.589224
E3_72_58	17.671427	-18.352985
E3_72_59	19.40899	-18.668772
E3_72_60	13.134482	-23.029835
E3_72_61	16.23019	-22.337898
E3_72_62	19.044762	-23.622952
E3_72_63	15.576145	-14.921178
E3_72_64	20.97273	-19.610472
E3_72_65	22.363644	-24.06239
E3_72_66	17.44919	-24.354382
E3_72_67	18.197397	-25.826979
E3_72_68	18.879309	-22.823015
E3_72_69	13.408747	-17.854113
E3_72_70	19.031223	-25.22275
E3_72_71	20.890074	-23.13032
E3_72_72	16.100119	-23.087101
E3_72_73	17.701773	-19.338997
E3_72_74	15.278016	-20.466892
E3_72_75	20.102081	-21.62272
E0_0_70	-23.880617	12.986605
E0_0_71	-24.270481	16.412167
E0_0_72	-28.916557	15.561116
E0_0_73	-31.96248	16.45356
E0_0_74	-28.769955	19.740492
E0_0_75	-27.247105	17.611359
E0_0_76	-28.11521	13.608956
E0_0_77	-29.982452	21.26951
E0_0_78	-30.345037	17.716911
E0_0_79	-23.561943	19.550186
E0_0_80	-30.957798	19.225485
E0_0_81	-26.820505	20.007051
E0_0_82	-26.765524	15.607674
E0_0_83	-26.92944	12.921196
E0_0_84	-24.815338	18.33878
E0_0_85	-27.821404	14.758745
E0_0_86	-27.718954	14.257731
E0_0_87	-29.861221	17.203575
E0_0_88	-29.174881	14.805962
E0_0_89	-31.84653	14.323649
E0_0_90	-27.60143	15.21921
E0_0_91	-23.204494	16.939949
E2_12_66	-6.4213367	5.665449
E2_12_67	-9.061925	10.686216
E2_12_68	-3.4280517	8.316765
E2_12_69	-5.970316	5.219255
E2_12_70	-7.9916725	10.098845
E2_12_71	-2.7906682	11.284393
E2_12_72	-8.089095	6.1176887
E2_12_73	-4.228926	6.0432496
E2_12_74	-2.8766897	10.631112
E2_12_75	-10.398037	9.715413
E2_12_76	-9.005812	9.700042
E2_12_77	-12.017416	10.253615
E2_12_78	-6.9964542	7.298256
E2_12_79	-3.0215702	10.801124
E2_12_80	-5.8161087	6.362768
E2_12_81	-9.528943	8.578098
E2_12_82	-2.793445	8.282083
E2_12_83	-1.5913109	12.698912
E2_12_84	-12.4020405	12.545458
E2_12_85	-6.5045514	6.237221
E2_12_86	-15.899307	14.569996
E2_12_87	-4.17043	10.572422
E2_12_88	-17.511108	13.783645
E2_12_89	-4.718185	7.364243
E2_12_90	-6.708752	8.50514
E1_24_70	5.6747184	-4.448106
E1_24_71	10.1432085	0.6116643
E1_24_72	8.822995	-2.8030362
E1_24_73	1.4781353	2.387354
E1_24_74	2.6871874	1.0062729
E1_24_75	3.84648	-0.24881308
E1_24_76	9.432954	-2.462208
E1_24_77	4.921207	-2.339945
E1_24_78	5.0453987	1.9877378
E1_24_79	11.288103	1.8369452
E1_24_80	5.0217557	2.7318773
E1_24_81	9.771657	-1.3781179
E1_24_82	1.4560745	-3.6826062
E1_24_83	1.5212042	1.1136246
E1_24_84	3.4967144	-1.0656592
E1_24_85	11.211968	0.70730084
E1_24_86	7.4009056	-0.24700193
E1_24_87	5.7990503	-0.49391678
E1_24_88	-3.1155708	2.706448
E1_24_89	11.332641	-2.851229
E1_24_90	6.2113695	-0.710049
E1_24_91	4.4118814	-2.0752597
E1_24_92	3.559343	-4.1575713
E4_48_74	15.069293	-17.719131
E4_48_75	11.695397	-8.049486
E4_48_76	9.438401	-5.9074855
E4_48_77	15.84521	-11.488136
E4_48_78	15.956087	-12.864778
E4_48_79	15.805245	-11.378055
E4_48_80	13.420058	-5.180582
E4_48_81	4.628772	-2.654362
E4_48_82	17.145271	-8.135013
E4_48_83	14.6180725	-11.065118
E4_48_84	14.024676	-13.418369
E4_48_85	10.636632	-5.735927
E4_48_86	6.8326316	-9.888774
E3_72_76	18.92539	-18.269981
E3_72_77	23.347153	-21.181894
E3_72_78	16.830528	-22.679993
E3_72_79	19.639929	-23.533653
E3_72_80	20.50412	-19.606367
E3_72_81	17.075665	-20.800121
E3_72_82	10.633918	-11.55399
E3_72_83	23.247993	-24.859716
E3_72_84	21.156656	-18.66716
E3_72_85	21.01211	-21.416792
E3_72_86	18.364988	-20.103308
E3_72_87	10.524564	-11.393555
E3_72_88	20.174795	-21.64215
E3_72_89	21.874725	-22.273075
E3_72_90	13.751641	-16.630955
E3_72_91	16.662472	-23.971783
E3_72_92	18.830284	-19.375032
