Gene1,Gene2
MAPK1,PPP5C
HIST1H2BD,PPP5C
HIST1H2BN,PPP5C
KAT5,PPP5C
ESR2,PPP5C
MAPK3,PPP5C
HIST1H2BB,PPP5C
TNF,MAP4K5
POLR2C,ERCC1
POLR2G,ERCC1
RCOR1,ERCC1
ERCC6,ERCC1
POLR2J,ERCC1
XRCC6,ERCC1
PMS1,ERCC1
TP53,ERCC1
XRCC5,ERCC1
EGFR,ERCC1
GTF2H4,ERCC1
BRCA2,ERCC1
BRIP1,ERCC1
POLR2L,ERCC1
POLR2D,ERCC1
DDB1,ERCC1
GTF2H2,ERCC1
PARP1,ERCC1
ERCC2,ERCC1
BARD1,ERCC1
RAD51,ERCC1
POLR2H,ERCC1
KAT5,ERCC1
GTF2H1,ERCC1
EP300,ERCC1
POLR2I,ERCC1
ATM,ERCC1
POLR2F,ERCC1
POLR2E,ERCC1
POLR2K,ERCC1
GTF2H3,ERCC1
PHF21A,ERCC1
TP53BP1,ERCC1
BRCA1,ERCC1
ERCC8,ERCC1
RFC1,ERCC1
POLR2B,ERCC1
HMGN1,ERCC1
ERCC3,ERCC1
APEX1,ERCC1
XAB2,ERCC1
TCEA1,ERCC1
XPC,ERCC1
DDB2,ERCC1
POLR2A,ERCC1
XRCC3,ERCC1
MLLT10,RGPD5
TNF,RALBP1
AIRE,SLC7A9
CDC5L,SLC7A9
ABL1,RTFDC1
RB1CC1,RRAGD
RB1CC1,SLC38A9
RB1CC1,MLST8
RB1CC1,PRKAG2
RB1CC1,ATG3
RB1CC1,LAMTOR3
RB1CC1,RPTOR
RB1CC1,LAMTOR1
RB1CC1,ATG16L1
RB1CC1,RFWD2
RFWD2,RB1CC1
RB1CC1,ATG2A
RB1CC1,TP53
TP53,RB1CC1
RB1CC1,GABARAPL2
RB1CC1,PINK1
RB1CC1,PRKAB2
RB1CC1,ATG101
RB1CC1,LAMTOR5
RB1CC1,LAMTOR2
RB1CC1,MAP1LC3A
RB1CC1,GABARAPL1
RB1CC1,PRKAG1
RB1CC1,ATG16L2
RB1CC1,PTK2
RB1CC1,RRAGB
RB1CC1,ATG2B
RB1CC1,PIK3R4
RB1CC1,ULK2
RB1CC1,AKT1S1
RB1CC1,SQSTM1
RB1CC1,ATG13
RB1CC1,RHEB
RB1CC1,MTOR
RB1CC1,ATG7
RB1CC1,BECN1
RB1CC1,ATG5
RB1CC1,RRAGC
RB1CC1,DYNLL2
RB1CC1,GABARAP
RB1CC1,PRKAG3
RB1CC1,PRKAA1
RB1CC1,TSC2
RB1CC1,WIPI1
RB1CC1,SMCR8
RB1CC1,ATG10
RB1CC1,LAMTOR4
RB1CC1,DYNLL1
RB1CC1,ATG9A
RB1CC1,ATG12
RB1CC1,AMBRA1
RB1CC1,UVRAG
RB1CC1,ATG14
RB1CC1,ULK1
RB1CC1,RRAGA
RB1CC1,PTK2B
RB1CC1,PRKAB1
RB1CC1,PIK3C3
RB1CC1,PRKAA2
RB1CC1,WIPI2
IRX4,AKAP11
SRC,CDH17
JUP,CDH17
CTNNB1,CDH17
TP53,CDH17
JUP,LRRC7
NFKB1,LRRC7
ILF2,LRRC7
CAMP,LRRC7
RB1CC1,GABARAPL2
SIRT1,GABARAPL2
SEC14L2,OTC
HOXC8,HOXA5
HOXA5,HOXC8
HOXC8,HOXA6
HOXC8,HOXB6
HOXB6,HOXC8
HOXC8,HOXC4
HOXC4,HOXC8
HOXC8,HOXC5
HOXC8,HOXB7
HOXB7,HOXC8
HOXC8,TAPT1
HOXC8,HOXB5
HOXC8,HOXD4
HOXD4,HOXC8
HOXC8,SMAD6
SMAD6,HOXC8
HOXC8,HOXC6
HOXC6,HOXC8
HOXC8,HOXB4
HOXB4,HOXC8
HOXC8,HOMEZ
HOMEZ,HOXC8
HOXC8,CDH11
HOXC8,HOXA7
HOXA7,HOXC8
POLR1B,MRI1
MCM6,MRI1
MCM8,MRI1
BPTF,BOD1L1
CXXC1,BOD1L1
HTATSF1,TARBP1
POLR1A,TARBP1
EEF1A1,TARBP1
APC,PSMA4
WWP1,PSMA4
HIF3A,PSMA4
TNF,PSMA4
RFWD2,PSMA4
PTTG1,PSMA4
NFKBIA,PSMA4
EPAS1,PSMA4
NFKBIB,PSMA4
NOTCH4,PSMA4
TCEB1,PSMA4
GLI3,PSMA4
RUNX3,PSMA4
VHL,PSMA4
TCEB2,PSMA4
REL,PSMA4
CTNNB1,PSMA4
NFKB2,PSMA4
TP53,PSMA4
PTEN,PSMA4
NFKB1,PSMA4
PSMD9,PSMA4
CDKN1A,PSMA4
TP73,PSMA4
GLI2,PSMA4
SUFU,PSMA4
CCND1,PSMA4
TNFSF12,PSMA4
NF1,PSMA4
RELB,PSMA4
RELA,PSMA4
LIMD1,PSMA4
GLI1,PSMA4
SMURF2,PSMA4
HIVEP3,PSMA4
HIF1A,PSMA4
IL2,LCP2
SRC,LCP2
SOS1,LCP2
HCLS1,LCP2
SPI1,LCP2
TGFB1,DCN
YBX1,DCN
EGFR,DCN
TLR2,DCN
BMP2,DCN
TLR4,DCN
TRAF6,TNFRSF17
POU2AF1,TNFRSF17
POLR2C,MRPS10
PDCD11,MRPS10
POLR2F,MRPS10
POLR1C,MRPS10
EIF5B,MRPS10
PA2G4,GRN
MNDA,GRN
TARDBP,GRN
CREG1,GRN
FUS,GRN
MAPK1,GRN
THAP11,THAP3
HCFC1,THAP3
EGFR,VAMP3
DAB2,VAMP3
BIN1,VAMP3
EGF,VAMP3
F2,UTS2
GNRH1,UTS2
BMP4,RCN1
MEN1,RCN1
IL6,RCN1
POLR2C,RFC2
GTF2IRD1,RFC2
MCM5,RFC2
MCM6,RFC2
POLR2J,RFC2
GTF2H4,RFC2
BRIP1,RFC2
DDB1,RFC2
ERCC2,RFC2
RAD51,RFC2
POLR2H,RFC2
CDC5L,RFC2
ATM,RFC2
POLR2E,RFC2
POLR2B,RFC2
APEX1,RFC2
XAB2,RFC2
TCEA1,RFC2
XRCC3,RFC2
SSRP1,RFC2
MCM7,RFC2
POLR2G,RFC2
TP53,RFC2
BRCA2,RFC2
POLR2L,RFC2
RAD51B,RFC2
POLR2D,RFC2
TIMELESS,RFC2
HES1,RFC2
GTF2H2,RFC2
PARP1,RFC2
PURA,RFC2
BARD1,RFC2
MCM2,RFC2
KAT5,RFC2
GTF2H1,RFC2
EP300,RFC2
POLR2I,RFC2
MDM2,RFC2
POLR2F,RFC2
POLR2K,RFC2
GTF2H3,RFC2
BAZ1B,RFC2
BRCA1,RFC2
TRIM25,RFC2
ERCC8,RFC2
RFC1,RFC2
HMGN1,RFC2
MCM3,RFC2
ERCC3,RFC2
MCM4,RFC2
DDB2,RFC2
POLR2A,RFC2
SRC,ARHGEF5
NFE2L3,MAFF
MAFF,NFE2L3
NFE2L3,MAFG
MAFG,NFE2L3
NFE2L3,MAFK
MAFK,NFE2L3
NFE2L3,NPRL3
NFE2L3,HCFC1
HCFC1,NFE2L3
JUP,PKP2
PTEN,INPP4A
HIF1A,SLC2A3
ESR1,GNA11
GCM2,GNA11
MAPK14,GNA11
PRKCA,GNA11
MAPK8,GNA11
F2,GNA11
GNRH1,GNA11
ESR2,GNA11
CREB3L3,CREB3L4
CREB3L4,CREB3L3
CREB3L3,FGF21
CREB3L3,CREB3L2
CREB3L2,CREB3L3
CREB3L3,ATF2
ATF2,CREB3L3
CREB3L3,CREB1
CREB1,CREB3L3
CREB3L3,GSK3B
CREB3L3,MBTPS2
CREB3L3,MBTPS1
CREB3L3,CREBBP
CREBBP,CREB3L3
CREB3L3,APOA4
CREB3L3,NFIL3
NFIL3,CREB3L3
CREB3L3,ATF4
ATF4,CREB3L3
CREB3L3,CREB5
CREB5,CREB3L3
CREB3L3,EP300
EP300,CREB3L3
CREB3L3,APOC2
CREB3L3,AKT1
AKT1,CREB3L3
CREB3L3,APOA5
CREB3L3,HAMP
CREB3L3,AKT2
AKT2,CREB3L3
CREB3L3,CRTC2
CREB3L3,ATF1
ATF1,CREB3L3
CREB3L3,CREB3
CREB3,CREB3L3
CREB3L3,CREB3L1
CREB3L1,CREB3L3
CREB3L3,ATF6B
ATF6B,CREB3L3
HDAC7,ARNT
ARNT,HDAC7
HDAC7,GATAD2B
GATAD2B,HDAC7
HDAC7,RCOR1
RCOR1,HDAC7
HDAC7,ATF2
ATF2,HDAC7
HDAC7,HIST2H2BE
HIST2H2BE,HDAC7
HDAC7,ATN1
HDAC7,HIST2H2AA3
HDAC7,HIST2H2AA4
HDAC7,BCORL1
HDAC7,HDAC3
HDAC3,HDAC7
HDAC7,EED
EED,HDAC7
HDAC7,H2AFZ
HDAC7,CBX8
CBX8,HDAC7
HDAC7,SIN3A
SIN3A,HDAC7
HDAC7,SUMO1
HDAC7,SNAI1
SNAI1,HDAC7
HDAC7,HDAC11
HDAC11,HDAC7
HDAC7,HDAC2
HDAC2,HDAC7
HDAC7,PHC2
HDAC7,YWHAG
HDAC7,NCOR1
NCOR1,HDAC7
HDAC7,SUZ12
SUZ12,HDAC7
HDAC7,HDAC10
HDAC10,HDAC7
HDAC7,MAML3
MAML3,HDAC7
HDAC7,PHC3
HDAC7,MAMLD1
HDAC7,RBBP4
RBBP4,HDAC7
HDAC7,MTA2
MTA2,HDAC7
HDAC7,REST
REST,HDAC7
HDAC7,CHD4
CHD4,HDAC7
HDAC7,SIRT2
SIRT2,HDAC7
HDAC7,MBD3
MBD3,HDAC7
HDAC7,PRKD1
HDAC7,SIRT1
SIRT1,HDAC7
HDAC7,RFXANK
RFXANK,HDAC7
HDAC7,ANKRA2
ANKRA2,HDAC7
HDAC7,KDM1A
HDAC7,EGR1
EGR1,HDAC7
HDAC7,HDAC1
HDAC1,HDAC7
HDAC7,MEF2A
MEF2A,HDAC7
HDAC7,SALL4
SALL4,HDAC7
HDAC7,SIRT5
HDAC7,NCOR2
NCOR2,HDAC7
HDAC7,MTA1
MTA1,HDAC7
HDAC7,PPARG
PPARG,HDAC7
HDAC7,JUN
JUN,HDAC7
HDAC7,NR2E1
NR2E1,HDAC7
HDAC7,CBX6
HDAC7,CITED2
CITED2,HDAC7
HDAC7,MTA3
MTA3,HDAC7
HDAC7,HDAC5
HDAC5,HDAC7
HDAC7,TP53
TP53,HDAC7
HDAC7,MECOM
MECOM,HDAC7
HDAC7,HIST2H2AC
HDAC7,MAML1
MAML1,HDAC7
HDAC7,NOTCH1
HDAC7,CREBBP
CREBBP,HDAC7
HDAC7,MAML2
HDAC7,SIRT4
HDAC7,HDAC6
HDAC7,TBL1X
TBL1X,HDAC7
HDAC7,GATAD2A
GATAD2A,HDAC7
HDAC7,KAT5
KAT5,HDAC7
HDAC7,CBX2
HDAC7,EP300
EP300,HDAC7
HDAC7,RNF2
RNF2,HDAC7
HDAC7,UBE2I
HDAC7,HIST1H2BA
HDAC7,HDAC9
HDAC9,HDAC7
HDAC7,SIRT3
SIRT3,HDAC7
HDAC7,KAT2A
HDAC7,MAF1
MAF1,HDAC7
HDAC7,AR
AR,HDAC7
HDAC7,HDAC4
HDAC4,HDAC7
HDAC7,H2AFV
HDAC7,SNAI2
SNAI2,HDAC7
HDAC7,KAT2B
KAT2B,HDAC7
HDAC7,EZH2
EZH2,HDAC7
HDAC7,HDAC8
HDAC8,HDAC7
HDAC7,HIF1A
HIF1A,HDAC7
HDAC7,CBX4
CBX4,HDAC7
HDAC7,TBL1XR1
HDAC7,PML
PML,HDAC7
HDAC7,CHD3
HDAC7,RING1
RING1,HDAC7
HDAC7,SNW1
SNW1,HDAC7
HDAC7,PHC1
HDAC7,RBBP7
RBBP7,HDAC7
HDAC7,RBPJ
RBPJ,HDAC7
AR,APPBP2
BCL6,CD22
BCR,CD22
TCF7L2,KCNQ1
RFWD2,TRIB2
CEBPA,TRIB2
TP53,OTUD5
TRIM25,OTUD5
GTF2F1,GPKOW
DDX5,GPKOW
POLR2C,GPKOW
YBX1,GPKOW
POLR2G,GPKOW
SRSF3,GPKOW
POLR2J,GPKOW
HNRNPR,GPKOW
RNPS1,GPKOW
HNRNPK,GPKOW
HNRNPD,GPKOW
POLR2L,GPKOW
POLR2D,GPKOW
DHX38,GPKOW
GCFC2,GPKOW
SUGP1,GPKOW
ALYREF,GPKOW
GTF2F2,GPKOW
ELAVL2,GPKOW
POLR2H,GPKOW
SRSF5,GPKOW
CTNNBL1,GPKOW
CDC5L,GPKOW
PAPOLA,GPKOW
SNRPB,GPKOW
POLR2I,GPKOW
WBP11,GPKOW
PLRG1,GPKOW
SRSF2,GPKOW
POLR2F,GPKOW
POLR2E,GPKOW
POLR2K,GPKOW
POLR2B,GPKOW
HNRNPUL1,GPKOW
PQBP1,GPKOW
SRRM1,GPKOW
FUS,GPKOW
SNRPD1,GPKOW
XAB2,GPKOW
SRSF9,GPKOW
TCEA1,GPKOW
RBMX,GPKOW
SNW1,GPKOW
SRSF6,GPKOW
SRSF1,GPKOW
POLR2A,GPKOW
GTF2F1,AQR
DDX5,AQR
POLR2C,AQR
YBX1,AQR
TCERG1,AQR
POLR2G,AQR
SRSF3,AQR
POLR2J,AQR
HNRNPR,AQR
RNPS1,AQR
GTF2H4,AQR
HNRNPK,AQR
HNRNPD,AQR
POLR2L,AQR
POLR2D,AQR
DHX38,AQR
DDB1,AQR
GCFC2,AQR
GTF2H2,AQR
SUGP1,AQR
ERCC2,AQR
ALYREF,AQR
SF1,AQR
GTF2F2,AQR
ELAVL2,AQR
POLR2H,AQR
SRSF5,AQR
CTNNBL1,AQR
CDC5L,AQR
PAPOLA,AQR
GTF2H1,AQR
SNRPB,AQR
EP300,AQR
POLR2I,AQR
WBP11,AQR
PLRG1,AQR
SRSF2,AQR
POLR2F,AQR
POLR2E,AQR
POLR2K,AQR
GTF2H3,AQR
ERCC8,AQR
RFC1,AQR
POLR2B,AQR
HNRNPUL1,AQR
PQBP1,AQR
HMGN1,AQR
SRRM1,AQR
FUS,AQR
ERCC3,AQR
SNRPD1,AQR
XAB2,AQR
SRSF9,AQR
TCEA1,AQR
RBMX,AQR
ELL,AQR
SNW1,AQR
SRSF6,AQR
SRSF1,AQR
POLR2A,AQR
GATA6,LMCD1
TAF6L,LMCD1
DLX2,LMCD1
APC,PSMC4
WWP1,PSMC4
HIF3A,PSMC4
TNF,PSMC4
RFWD2,PSMC4
PTTG1,PSMC4
NFKBIA,PSMC4
EPAS1,PSMC4
NFKBIB,PSMC4
NOTCH4,PSMC4
TCEB1,PSMC4
GLI3,PSMC4
CDC5L,PSMC4
RUNX3,PSMC4
VHL,PSMC4
TCEB2,PSMC4
REL,PSMC4
TP53BP1,PSMC4
CTNNB1,PSMC4
NFKB2,PSMC4
TP53,PSMC4
PTEN,PSMC4
NFKB1,PSMC4
PSMD9,PSMC4
CDKN1A,PSMC4
TP73,PSMC4
GLI2,PSMC4
SUFU,PSMC4
CCND1,PSMC4
TNFSF12,PSMC4
NF1,PSMC4
RELB,PSMC4
RELA,PSMC4
LIMD1,PSMC4
GLI1,PSMC4
SMURF2,PSMC4
HIVEP3,PSMC4
HIF1A,PSMC4
AKT1,ACAP1
BMP4,ANO8
MEN1,ANO8
IL6,ANO8
KDM4B,H2AFB1
KDM4B,HIST2H2BE
HIST2H2BE,KDM4B
KDM4B,H2BFS
KDM4B,H2AFZ
KDM4B,HIST1H2BJ
HIST1H2BJ,KDM4B
KDM4B,SUMO1
KDM4B,ESR1
ESR1,KDM4B
KDM4B,RAD50
KDM4B,HIST3H3
KDM4B,UBE2V2
KDM4B,UBC
KDM4B,HIST1H2AJ
KDM4B,JMJD1C
JMJD1C,KDM4B
KDM4B,ATM
ATM,KDM4B
KDM4B,MRE11A
KDM4B,WHSC1
WHSC1,KDM4B
KDM4B,RNF168
KDM4B,PIAS4
PIAS4,KDM4B
KDM4B,TP53BP1
TP53BP1,KDM4B
KDM4B,ZNF217
ZNF217,KDM4B
KDM4B,MDC1
KDM4B,NR5A2
NR5A2,KDM4B
KDM4B,UBA52
KDM4B,KDM1A
KDM4B,KDM4A
KDM4B,KMT2D
KDM4B,HIST1H2BL
KDM4B,HIST1H2AC
KDM4B,HIST1H2BD
HIST1H2BD,KDM4B
KDM4B,H2AFX
KDM4B,HIST1H2AD
KDM4B,HIST1H2BM
KDM4B,HIST1H2BN
HIST1H2BN,KDM4B
KDM4B,HIST2H2AC
KDM4B,H2AFJ
KDM4B,UBB
KDM4B,HERC2
KDM4B,HIST1H2BH
KDM4B,NCOA3
NCOA3,KDM4B
KDM4B,RPS27A
KDM4B,HIST1H2BK
KDM4B,KAT5
KAT5,KDM4B
KDM4B,KDM2A
KDM2A,KDM4B
KDM4B,UBE2I
KDM4B,HIST1H2BA
KDM4B,NBN
KDM4B,HIST1H2BO
KDM4B,UBE2N
KDM4B,KDM6B
KDM4B,KDM3A
KDM4B,H2AFV
KDM4B,HIST1H2BB
HIST1H2BB,KDM4B
KDM4B,KDM2B
KDM4B,RNF8
PHF10,ACTL6B
RUNX1,ACTL6B
SMARCA1,ACTL6B
DPF1,ACTL6B
DMAP1,ACTL6B
YEATS4,ACTL6B
ARID1A,ACTL6B
SMARCD3,ACTL6B
ARID4A,ACTL6B
ARID4B,ACTL6B
DPF2,ACTL6B
SS18L1,ACTL6B
EP400,ACTL6B
RUVBL2,ACTL6B
BRD7,ACTL6B
CBFB,ACTL6B
TRRAP,ACTL6B
SMARCC2,ACTL6B
ARID2,ACTL6B
RB1,ACTL6B
PBRM1,ACTL6B
SMARCD2,ACTL6B
SMARCC1,ACTL6B
CCND1,ACTL6B
SMARCD1,ACTL6B
RUVBL1,ACTL6B
SRCAP,ACTL6B
DNMT3A,ACTL6B
SMARCA4,ACTL6B
SMARCA2,ACTL6B
SMARCE1,ACTL6B
SMARCB1,ACTL6B
ARID1B,ACTL6B
MCM5,KIF22
MCM2,KIF22
KNTC1,KIF22
MAZ,KIF22
SOX9,CEACAM1
CDC5L,YTHDC2
MAPK8,TNFRSF1A
TRAF6,TNFRSF1A
TNF,TNFRSF1A
TNFAIP3,TNFRSF1A
HDAC3,TNFRSF1A
NFKB1,TNFRSF1A
NFKBIA,TNFRSF1A
DAXX,TNFRSF1A
IKBKG,TNFRSF1A
TNFSF12,TNFRSF1A
STAT1,TNFRSF1A
AKT1,TNFRSF1A
STAT3,TNFRSF1A
IKBKB,TNFRSF1A
RELA,TNFRSF1A
IL6,TNFRSF1A
RBCK1,TNFRSF1A
MAPK1,TNFRSF1A
PPARG,TNFRSF1A
BLZF1,GOLGA5
CUX1,GOLGA5
TRIP11,GOLGA5
APC,PPP2R5B
EGFR,PPP2R5B
CTNNB1,PPP2R5B
AKT3,PPP2R5B
MAPK1,PPP2R5B
CENPK,PPP2R5B
PSMD9,PPP2R5B
EGF,PPP2R5B
KNTC1,PPP2R5B
AKT1,PPP2R5B
AKT2,PPP2R5B
MAPK3,PPP2R5B
ESPL1,PPP2R5B
SF1,PYGM
FOSL1,PYGM
MEN1,PYGM
BCL3,TNF
TNF,BCL3
BCL3,NFKBIA
NFKBIA,BCL3
BCL3,REL
REL,BCL3
BCL3,MAPK1
MAPK1,BCL3
BCL3,JUN
JUN,BCL3
BCL3,NFKB2
NFKB2,BCL3
BCL3,CYLD
BCL3,NFKB1
NFKB1,BCL3
BCL3,RELB
RELB,BCL3
BCL3,AKT1
AKT1,BCL3
BCL3,STAT3
STAT3,BCL3
BCL3,RELA
RELA,BCL3
ELF3,PDZD4
ELF5,PDZD4
BMP4,FSTL3
MEN1,FSTL3
IL6,FSTL3
ABL1,EPHA8
ANKS1A,EPHA8
TRIP13,CDK1
TRIP13,TOP2A
TRIP13,ORC5
TRIP13,NDC80
TRIP13,PTTG1
PTTG1,TRIP13
TRIP13,DTL
TRIP13,KIAA0101
TRIP13,RACGAP1
TRIP13,CENPN
TRIP13,CENPF
TRIP13,HORMAD1
TRIP13,CDCA8
TRIP13,HJURP
TRIP13,ANLN
TRIP13,RAD51
RAD51,TRIP13
TRIP13,ASPM
TRIP13,POLE2
TRIP13,NCAPG
TRIP13,KIF20A
TRIP13,DOT1L
DOT1L,TRIP13
TRIP13,CDC5L
CDC5L,TRIP13
TRIP13,KIF14
TRIP13,DLGAP5
TRIP13,CDC20
TRIP13,NUSAP1
TRIP13,CCNA2
TRIP13,EXO1
TRIP13,PBK
TRIP13,NEK2
TRIP13,PRC1
TRIP13,CHEK1
TRIP13,HORMAD2
TRIP13,KIF4A
TRIP13,RFC4
TRIP13,AURKA
TRIP13,MSH5
TRIP13,CCNB2
TRIP13,FANCI
TRIP13,MCM10
TRIP13,MUS81
TRIP13,BUB1B
TRIP13,FOXM1
FOXM1,TRIP13
TRIP13,CENPM
TRIP13,HMMR
TRIP13,ZWILCH
TRIP13,CDC7
TRIP13,TPX2
TRIP13,CDKN3
TRIP13,CCNB1
TRIP13,TYMS
TRIP13,OIP5
TRIP13,MELK
TRIP13,AURKB
TRIP13,RRM2
TRIP13,SLC39A1
TRIP13,NCAPH
TRIP13,TTK
TRIP13,MAD2L1BP
TRIP13,ARHGAP11A
TRIP13,MAD2L1
TRIP13,FEN1
TRIP13,KIF23
TRIP13,CDC45
TRIP13,MCM2
MCM2,TRIP13
TRIP13,RAD51AP1
TRIP13,UBE2C
TRIP13,PLK1
TRIP13,BUB1
TRIP13,CEP55
TRIP13,KIF11
TRIP13,CENPA
TRIP13,KIF2C
TRIP13,ZWINT
TRIP13,GINS2
TRIP13,VRK1
TRIP13,SPO11
TRIP13,BIRC5
TRIP13,MSH4
TRIP13,ATR
TRIP13,UBXN7
TRIP13,RAD54L
TRIP13,STIL
TRIP13,NCAPG2
TRIP13,THRB
THRB,TRIP13
TRIP13,MCM4
MCM4,TRIP13
TRIP13,SKA1
TRIP13,RFC3
TRIP13,PLK4
EGFR,KRT14
NKX2-1,KRT20
CDX2,KRT20
BMP4,SPP2
MEN1,SPP2
CUX1,SPP2
IL6,SPP2
TARBP2,HSD17B10
BMP4,FGF4
EGFR,FGF4
NANOG,FGF4
SOS1,FGF4
CUX1,FGF4
ZMYM2,FGF4
EGF,FGF4
POU5F1,FGF4
SOX2,FGF4
CDX2,FGF4
MAPK3,FGF4
TRIM24,FGF4
MAPK1,FGF4
LRRFIP1,FGF4
BCR,FGF4
BMP4,BPIFB2
BPIFA1,BPIFB2
MEN1,BPIFB2
IL6,BPIFB2
TCEB3,REXO1
TCEA1,REXO1
EAPP,GPATCH1
CDC5L,GPATCH1
PLRG1,GPATCH1
MAF,KEAP1
RNF4,KEAP1
ASB9,KEAP1
WWP1,KEAP1
ASB6,KEAP1
COPS5,KEAP1
SMAD3,KEAP1
SMAD2,KEAP1
TCEB1,KEAP1
PRKCA,KEAP1
VHL,KEAP1
TCEB2,KEAP1
ZBTB16,KEAP1
TRIM21,KEAP1
NFE2L1,KEAP1
COPS2,KEAP1
NFE2,KEAP1
ASB4,KEAP1
FBXO7,KEAP1
RNF14,KEAP1
UBE2K,KEAP1
NFE2L2,KEAP1
RNF19A,KEAP1
SMAD7,KEAP1
ASB8,KEAP1
RLIM,KEAP1
TRIM32,KEAP1
IKBKB,KEAP1
SMAD1,KEAP1
SMURF2,KEAP1
NEIL2,KEAP1
RBCK1,KEAP1
F2,P2RY10
GNRH1,P2RY10
SRC,TNS1
EGFR,TNS1
TP53,TNS1
AKT1,TNS1
AKT2,TNS1
E2F1,NGFR
ZNF274,NGFR
MAPK8,NGFR
ECD,NGFR
TRAF6,NGFR
TP53,NGFR
NFKB1,NGFR
NFKBIA,NGFR
NDN,NGFR
SOS1,NGFR
EGF,NGFR
AATF,NGFR
PRDM4,NGFR
IKBKG,NGFR
MAPK9,NGFR
MAPK10,NGFR
SALL2,NGFR
NFIC,NGFR
IKBKB,NGFR
RELA,NGFR
SRC,NTN1
MNT,SIN3A
SIN3A,MNT
MNT,MXD4
MXD4,MNT
MNT,MXD1
MXD1,MNT
MNT,MLX
MLX,MNT
TRIB3,ASNS
ATF4,ASNS
POLR3D,ASNS
EGFR,PTPN18
SMAD3,PTPN18
EGF,PTPN18
TBX21,ITGAM
TBX21,IL5
