Gene1,Gene2
ARID3A,ARMH3
ARID3A,KLB
ARID3A,CLUL1
ARID3A,TANK
ARID3A,PSMD3
ARID3A,MRPS15
ARID3A,PRPF6
ARID3A,CSTF3
ARID3A,NDC1
ARID3A,NME1
ARID3A,IRF9
ARID3A,PRIM2
ARID3A,ATL2
ARID3A,SCN1A
ARID3A,CHD9
ARID3A,SLC20A2
ARID3A,ELF1
ARID3A,GAS2
ARID3A,BDH2
ARID3A,TTC5
ARID3A,USO1
ARID3A,SYBU
ARID3A,PPIP5K2
ARID3A,ALG10
ARID3A,SNRNP70
ARID3A,COMMD2
ARID3A,PROSER1
ARID3A,SHF
ARID3A,RNF5
ARID3A,DPP9
ARID3A,AGPAT1
ARID3A,NEK1
ARID3A,DTD2
ARID3A,COX7B
ARID3A,SRI
ARID3A,PPARD
ARID3A,LRP11
ARID3A,FABP1
ARID3A,CSTF1
ARID3A,AURKA
ARID3A,WDR36
ARID3A,TFPT
ARID3A,PRPF31
ARID3A,NKAP
ARID3A,HIST1H4C
ARID3A,RBM39
ARID3A,NFATC2IP
ARID3A,CD164
ARID3A,CNIH1
ARID3A,ATP6V0E1
ARID3A,ZNRF3
ARID3A,MUCL1
ARID3A,MRPL15
ARID3A,SACM1L
ARID3A,OGFOD2
ARID3A,ATP5MC2
ARID3A,APOA2
ARID3A,AP4E1
ARID3A,SHOC1
ARID3A,RBBP5
ARID3A,DNAJB4
ARID3A,NR0B2
ARID3A,TOP3B
ARID3A,TTI2
ARID3A,MCTS1
ARID3A,LMAN2L
ARID3A,RPL38
ARID3A,PIGM
ARID3A,RAB11A
ARID3A,ATG2A
ARID3A,E2F6
ARID3A,AGFG2
ARID3A,NDUFAF1
ARID3A,GFOD1
ARID3A,GBA
ARID3A,CCDC174
ARID3A,FASTKD1
ARID3A,PMM1
ARID3A,RNF43
ARID3A,KIAA0319L
ARID3A,HSD17B2
ARID3A,BRI3BP
ARID3A,HNMT
ARID3A,RPS7
ARID3A,NUF2
ARID3A,TTC31
ARID3A,GTF2H4
ARID3A,CCDC142
ARID3A,AARS2
ARID3A,YARS2
ARID3A,LRP10
ARID3A,F11
ARID3A,MYDGF
ARID3A,MED1
ARID3A,ADPGK
ARID3A,ACYP2
ARID3A,IL1RN
ARID3A,THUMPD1
ARID3A,ARHGEF1
ARID3A,SNRPD2
ARID3A,QPCTL
ARID3A,ADH4
ARID3A,VTN
ARID3A,SARM1
ARID3A,XKR9
ARID3A,LACTB2
ARID3A,ETV5
ARID3A,XRCC5
ARID3A,TMPPE
ARID3A,GLB1
ARID3A,STX16
ARID3A,NUP205
ARID3A,TTC37
ARID3A,SULT2A1
ARID3A,ARSK
ARID3A,MTF2
ARID3A,HNRNPL
ARID3A,MANSC1
ARID3A,ZNHIT3
ARID3A,RHOH
ARID3A,ECHDC1
ARID3A,KIF15
ARID3A,KIAA1143
ARID3A,CCDC59
ARID3A,CSDE1
ARID3A,TRNAU1AP
ARID3A,SUOX
ARID3A,LIMS1
ARID3A,SMG8
ARID3A,MTRNR2L6
ARID3A,MTMR4
ARID3A,GSTA4
ARID3A,GABARAPL1
ARID3A,C8orf37
ARID3A,MTO1
ARID3A,BACH1
ARID3A,APOH
ARID3A,AP1M1
ARID3A,GABARAP
ARID3A,IK
ARID3A,CLCN3
ARID3A,MRPL40
ARID3A,HIRA
ARID3A,COA6
ARID3A,RPS14
ARID3A,LGALSL
ARID3A,A1CF
ARID3A,ZBTB45
ARID3A,NPAS4
ARID3A,CEP70
ARID3A,TMEM205
ARID3A,MRPS23
ARID3A,CCDC159
ARID3A,TATDN3
ARID3A,NSL1
ARID3A,ABHD2
ARID3A,TRMT1
ARID3A,HPD
ARID3A,GPANK1
ARID3A,CSNK2B
ARID3A,TCERG1
ARID3A,ING1
ARID3A,LUC7L2
ARID3A,KRTAP3-1
ARID3A,FMC1
ARID3A,C7orf55-LUC7L2
ARID3A,C4BPA
ARID3A,DLC1
ARID3A,C2
ARID3A,CCR6
ARID3A,C8A
ARID3A,SRSF2
ARID3A,RPL36
ARID3A,NEURL3
ARID3A,RGS20
ARID3A,POLR2J3
ARID3A,ZNF100
ARID3A,CES3
ARID3A,VWA5A
ARID3A,HIST1H3E
ARID3A,FGD4
ARID3A,UGT2B10
ARID3A,RIOX1
ARID3A,DNAJC2
ARID3A,CACYBP
ARID3A,TMEM245
ARID3A,CCDC66
ARID3A,TTC3
ARID3A,TRIP4
ARID3A,TMEM259
ARID3A,MED16
ARID3A,IMP4
ARID3A,EIF2B5
ARID3A,CCDC115
ARID3A,G3BP1
ARID3A,SNRNP27
ARID3A,ZBTB41
ARID3A,CRB1
ARID3A,CAPS2
ARID3A,SF3A3
ARID3A,NFKBIZ
ARID3A,PALB2
ARID3A,EIF2B3
ARID3A,AKR1C3
ARID3A,HIST1H4H
ARID3A,NUP107
ARID3A,ETV4
ARID3A,KHDC4
ARID3A,WDR11
ARID3A,GALK2
ARID3A,COPS2
ARID3A,TNPO1
ARID3A,EXOSC8
ARID3A,BRCA1
ARID3A,ALG5
ARID3A,RSRC1
ARID3A,LIN54
ARID3A,DCAF15
ARID3A,TNFRSF19
ARID3A,SLC45A4
ARID3A,GSPT1
ARID3A,TCF7L2
ARID3A,PRRC2C
ARID3A,LOX
ARID3A,APOB
ARID3A,AIG1
ARID3A,MRPS33
ARID3A,HIST1H2BL
ARID3A,HIST1H2AI
ARID3A,EEF2
ARID3A,UBE2B
ARID3A,PCK1
ARID3A,CDKL3
ARID3A,AHCY
ARID3A,SMC4
ARID3A,PES1
ARID3A,MPND
ARID3A,IFT80
ARID3A,RPL22
ARID3A,KRR1
ARID3A,FBXO11
ARID3A,TRUB2
ARID3A,COQ4
ARID3A,ACVR1
ARID3A,KDM5D
ARID3A,WDR13
ARID3A,TMEM242
ARID3A,OSGEPL1
ARID3A,TAF7
ARID3A,LARP4
ARID3A,ZBTB5
ARID3A,RPL6
ARID3A,KIF22
ARID3A,SERPINA7
ARID3A,MOV10L1
ARID3A,KLHL20
ARID3A,UGT2B4
ARID3A,SCAF11
ARID3A,CDK5RAP1
ARID3A,UQCRH
ARID3A,TBX3
ARID3A,LRRC41
ARID3A,TMEM167B
ARID3A,SLC25A28
ARID3A,ABCC2
ARID3A,CPHXL
ARID3A,CLTA
ARID3A,AJUBA
ARID3A,FKBP14
ARID3A,UQCRC2
ARID3A,CGGBP1
ARID3A,COL4A6
ARID3A,COL4A5
ARID3A,ALS2
ARID3A,TYW1
ARID3A,SBDS
ARID3A,RFFL
ARID3A,POLQ
ARID3A,LSM5
ARID3A,CMC2
ARID3A,TSFM
ARID3A,MRPL54
ARID3A,MARCH2
ARID3A,APBA3
ARID3A,ZNF362
ARID3A,SP3
ARID3A,IL15RA
ARID3A,CCL16
ARID3A,BZW2
ARID3A,HIST1H2AK
ARID3A,TREX1
ARID3A,VTA1
ARID3A,NMBR
ARID3A,SYS1
ARID3A,RBSN
ARID3A,NRL
ARID3A,MRPS18C
ARID3A,HELQ
ARID3A,ALG10B
ARID3A,VPS25
ARID3A,TUBB4B
ARID3A,ZCCHC4
ARID3A,TMEM192
ARID3A,SERPIND1
ARID3A,PCBP2
ARID3A,ZNF473
ARID3A,VRK3
ARID3A,RPS3A
ARID3A,NFIA
ARID3A,NR1H3
ARID3A,CNIH4
ARID3A,ACP2
ARID3A,AGA
ARID3A,RRS1
ARID3A,PKM
ARID3A,MTMR14
ARID3A,EFCAB7
ARID3A,CASZ1
ARID3A,TOMM40
ARID3A,SHB
ARID3A,FGL1
ARID3A,YAP1
ARID3A,UTP14C
ARID3A,ZSCAN31
ARID3A,YLPM1
ARID3A,STK11IP
ARID3A,SLC11A2
ARID3A,EIF2AK3
ARID3A,RGPD5
ARID3A,HIST1H2AB
ARID3A,ZBTB20
ARID3A,JARID2
ARID3A,DRAP1
ARID3A,C11orf68
ARID3A,ZFAND3
ARID3A,OPN5
ARID3A,LENG9
ARID3A,BAG6
ARID3A,PLCB1
ARID3A,METTL9
ARID3A,SPAG7
ARID3A,RALGAPB
ARID3A,PHLDB2
ARID3A,HRG
ARID3A,MED18
ARID3A,EFNA1
ARID3A,CRK
ARID3A,CCNC
ARID3A,ATF6
ARID3A,ANP32E
ARID3A,ZNF623
ARID3A,WDR12
ARID3A,KIAA1217
ARID3A,CARF
ARID3A,PMVK
ARID3A,AP3S2
ARID3A,ABT1
ARID3A,NOXA1
ARID3A,EXD3
ARID3A,DAD1
ARID3A,CCN2
ARID3A,SNAP47
ARID3A,SLC44A1
ARID3A,JMJD4
ARID3A,TINF2
ARID3A,SLC24A1
ARID3A,INTS14
ARID3A,TMEM256
ARID3A,RIF1
ARID3A,CYB5R4
ARID3A,ZNF106
ARID3A,AURKB
ARID3A,TMEM69
ARID3A,LRIF1
ARID3A,JAML
ARID3A,AKTIP
ARID3A,CDK10
ARID3A,SLC22A10
ARID3A,SAR1B
ARID3A,RABGGTA
ARID3A,COPB2
ARID3A,ARSB
ARID3A,HIST1H4K
ARID3A,DNAJB12
ARID3A,CTNNB1
ARID3A,STARD10
ARID3A,SDR39U1
ARID3A,GORASP2
ARID3A,COIL
ARID3A,BMF
ARID3A,TARS
ARID3A,LPAR6
ARID3A,CBY3
ARID3A,CHD1L
ARID3A,TK1
ARID3A,HIST1H4J
ARID3A,AFMID
ARID3A,BMS1
ARID3A,TBPL1
ARID3A,MRPL1
ARID3A,INTS12
ARID3A,HIST1H4E
ARID3A,GSTCD
ARID3A,CASS4
ARID3A,SLC7A6
ARID3A,PSMB4
ARID3A,OPA1
ARID3A,SLC41A2
ARID3A,SF3B6
ARID3A,ADSS
ARID3A,ZNF165
ARID3A,EXOC2
ARID3A,PCDHGA12
ARID3A,TMEM101
ARID3A,TIMM44
ARID3A,AFM
ARID3A,PCDHB12
ARID3A,MFSD4B
ARID3A,GNB2
ARID3A,SUPT7L
ARID3A,SLC4A1AP
ARID3A,PMPCB
ARID3A,WDR81
ARID3A,SLC7A11
ARID3A,PSMA1
ARID3A,PHLPP1
ARID3A,DEDD
ARID3A,VPS45
ARID3A,TMC7
ARID3A,SERPINF1
ARID3A,LIN28B
ARID3A,MAT2B
ARID3A,INTS10
ARID3A,DHRS3
ARID3A,DCAF11
ARID3A,ZSCAN25
ARID3A,TMEM9
ARID3A,ZNF175
ARID3A,TSHZ1
ARID3A,TAF1C
ARID3A,ABLIM1
ARID3A,ZNF335
ARID3A,TIGD2
ARID3A,ARMC12
ARID3A,ZNF91
ARID3A,ZNF513
ARID3A,TACO1
ARID3A,MGST2
ARID3A,HDGFL2
ARID3A,TRIM28
ARID3A,RGPD8
ARID3A,POR
ARID3A,BAZ2A
ARID3A,MRPL44
ARID3A,KDSR
ARID3A,FRA10AC1
ARID3A,EPC1
ARID3A,DUSP6
ARID3A,DUSP11
ARID3A,PNKD
ARID3A,RNF8
ARID3A,NR5A2
ARID3A,NOL8
ARID3A,MADD
ARID3A,CENPP
ARID3A,BABAM1
ARID3A,ARID5B
ARID3A,HIST1H2BC
ARID3A,HAL
ARID3A,C12orf57
ARID3A,RPL35A
ARID3A,PLEKHB2
ARID3A,IQCG
ARID3A,HSP90AB1
ARID3A,GJB1
ARID3A,ZDHHC5
ARID3A,TRIB1
ARID3A,GRIPAP1
ARID3A,C11orf74
ARID3A,UAP1
ARID3A,TMBIM1
ARID3A,SPC24
ARID3A,RPS13
ARID3A,RBM48
ARID3A,PEX1
ARID3A,NIP7
ARID3A,COG8
ARID3A,ATG101
ARID3A,ASXL2
ARID3A,ZNF44
ARID3A,FMO4
ARID3A,PEAK1
ARID3A,PAK4
ARID3A,HMG20A
ARID3A,FLRT3
ARID3A,ZCCHC3
ARID3A,SPIDR
ARID3A,MYADM
ARID3A,KIF16B
ARID3A,GOT1
ARID3A,FGFR2
ARID3A,CDC25A
ARID3A,AURKAIP1
ARID3A,ARHGAP18
ARID3A,ZWILCH
ARID3A,SUPV3L1
ARID3A,RPL4
ARID3A,ZSCAN12
ARID3A,MEIS1
ARID3A,HSD17B14
ARID3A,EIF1AD
ARID3A,BANF1
ARID3A,RCL1
ARID3A,NBAS
ARID3A,CLTC
ARID3A,TTR
ARID3A,FAM126A
ARID3A,DCTN4
ARID3A,CCDC88A
ARID3A,CCDC198
ARID3A,USP30
ARID3A,UBA1
ARID3A,TAF15
ARID3A,COPS7A
ARID3A,B4GALT4
ARID3A,SPART
ARID3A,PCDHB13
ARID3A,MNAT1
ARID3A,SLC39A3
ARID3A,NLRC4
ARID3A,LENG1
ARID3A,FDXR
ARID3A,IL1R1
ARID3A,SUFU
ARID3A,STX2
ARID3A,PTCD3
ARID3A,POLR1A
ARID3A,CCAR2
ARID3A,ACTR1A
ARID3A,SLC25A23
ARID3A,ICA1L
ARID3A,DSTYK
ARID3A,CRADD
ARID3A,ACSL1
ARID3A,MBNL1
ARID3A,PCDHB4
ARID3A,MBNL3
ARID3A,IFT52
ARID3A,ZNF430
ARID3A,SNRPB
ARID3A,NFKB1
ARID3A,GOLT1A
ARID3A,PRR26
ARID3A,ATN1
ARID3A,NFATC2
ARID3A,MESP1
ARID3A,MED13
ARID3A,APOF
ARID3A,TJP3
ARID3A,RHBDD1
ARID3A,GTF2H2C_2
ARID3A,GTF2H2C
ARID3A,CASP10
ARID3A,ZNF787
ARID3A,RPL7
ARID3A,RDH10
ARID3A,GATA4
ARID3A,DCTPP1
ARID3A,SCNM1
ARID3A,LYSMD1
ARID3A,ZMPSTE24
ARID3A,SEC13
ARID3A,RINT1
ARID3A,OPTN
ARID3A,KATNB1
ARID3A,CCDC3
ARID3A,BCO2
ARID3A,DBP
ARID3A,COX7A2
ARID3A,TOX4
ARID3A,SGK1
ARID3A,RNF169
ARID3A,RAB2B
ARID3A,FCGRT
ARID3A,CADM2
ARID3A,AQR
ARID3A,WBP1L
ARID3A,TCF3
ARID3A,HIST1H2BG
ARID3A,HIST1H2AE
ARID3A,GOLPH3L
ARID3A,C11orf58
ARID3A,ZNF76
ARID3A,PLEKHM3
ARID3A,PRG4
ARID3A,METTL7B
ARID3A,IL4R
ARID3A,H3F3B
ARID3A,DENND4A
ARID3A,CDC20B
ARID3A,UGT2B7
ARID3A,HINT3
ARID3A,ZBTB10
ARID3A,PIP4P1
ARID3A,PIKFYVE
ARID3A,TFB1M
ARID3A,SELENOP
ARID3A,SEC23A
ARID3A,SCAND1
ARID3A,RAB37
ARID3A,EIF5A2
ARID3A,ZNF3
ARID3A,RPS26
ARID3A,KIF3B
ARID3A,ZSCAN9
ARID3A,SEC14L1
ARID3A,OPA3
ARID3A,INTS9
ARID3A,HMBOX1
ARID3A,SCML1
ARID3A,NOTCH2NLC
ARID3A,NOTCH2NLB
ARID3A,NOTCH2NLA
ARID3A,GPR39
ARID3A,EIF3G
ARID3A,RPS6
ARID3A,RAB33B
ARID3A,CFLAR
ARID3A,MYC
ARID3A,DENR
ARID3A,CDIPT
ARID3A,SLC28A1
ARID3A,PSMF1
ARID3A,HTR5A
ARID3A,ZNF670
ARID3A,SYT7
ARID3A,STN1
ARID3A,PRKDC
ARID3A,PI4K2B
ARID3A,NOP16
ARID3A,MCM4
ARID3A,KMT2B
ARID3A,HIGD2A
ARID3A,SPOP
ARID3A,RETSAT
ARID3A,RBM17
ARID3A,HIST2H4B
ARID3A,HIST2H4A
ARID3A,HIKESHI
ARID3A,GEMIN2
ARID3A,RPL3
ARID3A,PRND
ARID3A,NEK7
ARID3A,DHPS
ARID3A,TTC26
ARID3A,JMY
ARID3A,GTF2B
ARID3A,ZNF764
ARID3A,VPS51
ARID3A,TTC39C
ARID3A,NFX1
ARID3A,HNF4A
ARID3A,TBC1D9
ARID3A,SLC35B1
ARID3A,PRAC2
ARID3A,SRRM3
ARID3A,PCNA
ARID3A,COQ5
ARID3A,CDS2
ARID3A,GOSR1
ARID3A,ARMCX5-GPRASP2
ARID3A,TBC1D15
ARID3A,SUDS3
ARID3A,LGALS8
ARID3A,HSPA6
ARID3A,AP3M1
ARID3A,ADK
ARID3A,NBR1
ARID3A,MICA
ARID3A,FRYL
ARID3A,ANKRD28
ARID3A,YOD1
ARID3A,PWP1
ARID3A,ZC3H10
ARID3A,TMEM80
ARID3A,TDRD7
ARID3A,SPOCD1
ARID3A,SIN3B
ARID3A,RAD54L
ARID3A,MKRN2
ARID3A,LYRM1
ARID3A,GREB1
ARID3A,EGLN2
ARID3A,DEAF1
ARID3A,DCUN1D3
ARID3A,ADIPOR1
ARID3A,OGA
ARID3A,LAPTM4B
ARID3A,DCP1A
ARID3A,COMTD1
ARID3A,ERCC4
ARID3A,TRIM24
ARID3A,TMED6
ARID3A,RPL23
ARID3A,PAK1IP1
ARID3A,N4BP2L2
ARID3A,KAT7
ARID3A,DUS2
ARID3A,DGCR8
ARID3A,DDX28
ARID3A,C6orf52
ARID3A,SMLR1
ARID3A,NDUFB7
ARID3A,MAST4
ARID3A,HAVCR1
ARID3A,B4GAT1
ARID3A,SART3
ARID3A,RNF114
ARID3A,PLCH1
ARID3A,ISCU
ARID3A,GTF3C3
ARID3A,ZBTB40
ARID3A,PTPRG
ARID3A,IL9
ARID3A,ENPP3
ARID3A,SRSF3
ARID3A,SNRPD1
ARID3A,RPL37
ARID3A,PCNX3
ARID3A,KLHL12
ARID3A,KIAA2026
ARID3A,GOT2
ARID3A,SMARCC2
ARID3A,PRODH2
ARID3A,NUP153
ARID3A,GRN
ARID3A,COQ10B
ARID3A,CLIC1
ARID3A,AGO2
ARID3A,ZNF280A
ARID3A,SEMA4G
ARID3A,PRRG2
ARID3A,NOSIP
ARID3A,MOCS3
ARID3A,DPM1
ARID3A,C14orf119
ARID3A,ARHGEF12
ARID3A,ACIN1
ARID3A,TMEM170A
ARID3A,SNRPB2
ARID3A,EAPP
ARID3A,ALG9
ARID3A,OSBPL6
ARID3A,LOC391322
ARID3A,CLASP2
ARID3A,ARL8B
ARID3A,S100A8
ARID3A,RPL34
ARID3A,ERGIC2
ARID3A,CHMP7
ARID3A,SNRPE
ARID3A,MRO
ARID3A,FOXJ3
ARID3A,PPIL1
ARID3A,GFI1B
ARID3A,PUS10
ARID3A,PEX13
ARID3A,METTL5
ARID3A,FIP1L1
ARID3A,CNOT1
ARID3A,WDR92
ARID3A,PNO1
ARID3A,PHYHIPL
ARID3A,MRPL11
ARID3A,GOSR2
ARID3A,RNF38
ARID3A,NDUFS7
ARID3A,ACTR3
ARID3A,VPS53
ARID3A,SRP9
ARID3A,MYL12A
ARID3A,EPHB3
ARID3A,MAML2
ARID3A,FAM220A
ARID3A,ADGRF3
ARID3A,SNX18
ARID3A,PLXNA2
ARID3A,MTA3
ARID3A,KCNG3
ARID3A,FAM122A
ARID3A,CLDN14
ARID3A,C17orf75
ARID3A,VMAC
ARID3A,UEVLD
ARID3A,TSPYL4
ARID3A,SKIV2L
ARID3A,NELFE
ARID3A,NDUFA11
ARID3A,LRRC23
ARID3A,CLPB
ARID3A,UNC93A
ARID3A,MRPL30
ARID3A,MITD1
ARID3A,CD302
ARID3A,UNC79
ARID3A,RPS24
ARID3A,NOL11
ARID3A,BTBD7
ARID3A,AXIN2
ARID3A,ZNF799
ARID3A,UBE2D3
ARID3A,RBM8A
ARID3A,GALM
ARID3A,EIF2B4
ARID3A,CXXC1
ARID3A,CENPE
ARID3A,CDC42EP4
ARID3A,RAF1
ARID3A,CDK17
ARID3A,APOLD1
