Gene1,Gene2,Type
NFE2L1,BCL6,-
NFE2L1,PPARG,-
NFE2L1,TCF3,-
NFE2L1,ETS1,-
NFE2L1,HOXA10,-
NFE2L1,MYEF2,-
NFE2L1,SP3,-
NFE2L1,TFPT,-
NFYA,EGR2,-
NFYA,HOXA10,-
NFYA,IRF8,-
NFYA,KLF10,-
NFYA,MYEF2,-
NFYA,NFATC1,-
NFYA,PPARD,-
NFYA,PPARG,-
NFYA,RREB1,-
NFYC,BCL6,-
NFYC,ETS1,-
NFYC,FOS,-
NFYC,IRF8,-
NFYC,KLF10,-
NFYC,MAFB,-
NFYC,NFATC2,-
NFYC,PPARG,-
NFYC,PRDM1,-
NFYC,SMAD4,-
NFYC,SNAI3,-
NFYC,SPI1,-
NFYC,STAT1,-
NFYC,MYB,-
NFYC,TCFL5,-
PPARD,BCL6,-
PPARD,ETS1,-
PPARD,IRF8,-
PPARD,MAFB,-
PPARD,PPARG,-
PPARD,SNAI3,-
PPARD,MYB,-
PPARD,NFYA,-
PPARD,TCFL5,-
PPARG,BCL6,-
PPARG,ETS1,-
PPARG,IRF8,-
PPARG,MAFB,-
PPARG,NFATC2,-
PPARG,SNAI3,-
PPARG,STAT1,-
PPARG,MYB,-
PPARG,TCFL5,-
RREB1,BCL6,-
RREB1,ETS1,-
RREB1,FOS,-
RREB1,LMO2,-
RREB1,MAFB,-
RREB1,PPARG,-
RREB1,PRDM1,-
RREB1,SMAD4,-
RREB1,SNAI3,-
RREB1,MYB,-
RREB1,NFYA,-
RUNX1,PPARG,-
RXRB,BCL6,-
RXRB,ETS1,-
RXRB,MAFB,-
RXRB,NFATC2,-
RXRB,PRDM1,-
RXRB,MYB,-
RXRB,TCFL5,-
SMAD3,HOXA10,-
SMAD3,HOXA13,-
SMAD3,IRF8,-
SMAD3,NFATC2,-
SMAD3,PPARG,-
SMAD3,PRDM1,-
SMAD3,SNAI3,-
SMAD3,STAT1,-
SMAD3,TCFL5,-
SMAD4,ELK1,-
SMAD4,HOXA13,-
SMAD4,MAFB,-
SMAD4,NFATC2,-
SMAD4,PPARG,-
SMAD4,PRDM1,-
SMAD4,SNAI3,-
SMAD4,SPIB,-
SNAI1,BCL6,-
SNAI1,FLI1,-
SNAI1,HOXA10,-
SNAI1,IRF8,-
SNAI1,JUN,-
SNAI1,MAFB,-
SNAI1,NFATC2,-
SNAI1,PRDM1,-
SNAI1,RUNX1,-
SNAI1,STAT1,-
SNAI3,NFATC2,-
SNAI3,PPARG,-
SNAI3,SMAD3,-
SP3,BCL6,-
SP3,ETS1,-
SP3,IRF8,-
SP3,JUN,-
SP3,MAFB,-
SP3,SNAI3,-
SP3,CEBPD,-
SP3,MYB,-
SPI1,BCL6,-
SPI1,IRF8,-
SPI1,PPARG,-
SPI1,PRDM1,-
SPI1,SMAD3,-
SPI1,SPIB,-
SPIB,BCL6,-
SPIB,NFATC2,-
SPIB,PPARD,-
SPIB,PRDM1,-
SPIB,SMAD3,-
SPIB,SNAI3,-
STAT1,BCL6,-
STAT1,CBFB,-
STAT1,ETS1,-
STAT1,MAFB,-
STAT1,NFYC,-
STAT1,PPARD,-
STAT1,PPARG,-
STAT1,PRDM1,-
STAT1,SNAI3,-
STAT1,CEBPD,-
STAT1,SMAD3,-
TCF3,BCL6,-
TCF3,CEBPD,-
TCF3,FOS,-
TCF3,IRF8,-
TCF3,LMO2,-
TCF3,MAFB,-
TCF3,NFATC2,-
TCF3,PPARD,-
TCF3,PPARG,-
TCF3,PRDM1,-
TCF3,RREB1,-
TCF3,SMAD3,-
TCF3,SNAI3,-
TCF3,SPIB,-
TCF3,MYEF2,-
TCF3,NFYA,-
TCFL5,BCL6,-
TCFL5,EGR2,-
TCFL5,KLF13,-
TCFL5,MAFB,-
TCFL5,NFYC,-
TCFL5,STAT1,-
TFPT,BCL6,-
TFPT,ETS1,-
TFPT,IRF8,-
TFPT,MAFB,-
TFPT,NFATC2,-
TFPT,PPARD,-
TFPT,PRDM1,-
TFPT,MYB,-
TFPT,NFYA,-
TFPT,TCFL5,-
TRIM28,BCL6,-
TRIM28,ETS1,-
TRIM28,MAFB,-
TRIM28,PRDM1,-
TRIM28,SNAI3,-
TRIM28,MYB,-
UHRF1,MYEF2,-
UHRF1,PPARG,-
VDR,FOS,-
VDR,KLF13,-
VDR,NFATC2,-
VDR,PPARG,-
VDR,PRDM1,-
VDR,SNAI1,-
VDR,SNAI3,-
VDR,MYB,-
VDR,TCFL5,-
