Gene1,Gene2,Score
ATF4,IAH1,682
ATF4,UHRF1BP1,261
ATF4,RBM4,217
ATF4,UQCRQ,382
ATF4,RAD21,119
ATF4,OGFOD1,384
ATF4,NUDT21,384
ATF4,LRRK1,201
ATF4,GTPBP4,165
ATF4,SERTAD2,141
ATF4,HAX1,139
ATF4,SLC16A14,257
ATF4,DNMT3L,381
ATF4,AFF1,181
ATF4,HMOX1,383
ATF4,VPS54,186
ATF4,CLN5,255
ATF4,ERMARD,364
ATF4,PLEKHH3,320
ATF4,SPEN,309
ATF4,MIA2,500
ATF4,LGALS3,500
ATF4,STK25,556
ATF4,TNPO1,206
ATF4,DHRS7,323
ATF4,IFITM6,242
ATF4,MMP19,325
ATF4,CCDC77,755
ATF4,PKMYT1,286
ATF4,AAED1,127
ATF4,RUVBL2,367
ATF4,GYS1,367
ATF4,CAST,498
ATF4,TGIF1,391
ATF4,ITGB7,268
ATF4,ATXN2L,222
ATF4,ARHGAP24,814
ATF4,ACTR3,293
ATF4,ZSCAN26,276
ATF4,MFSD4B3,909
ATF4,UGT1A6A,117
ATF4,GM3448,255
ATF4,GM3417,255
ATF4,ZFP672,171
ATF4,SH3BP5L,171
ATF4,VRK1,741
ATF4,CSDE1,918
ATF4,HJURP,1072
ATF4,A730008H23RIK,1072
ATF4,MTHFD1L,242
ATF4,SSU72,616
ATF4,CRY2,456
ATF4,H2AFJ,876
ATF4,SIRPA,604
ATF4,ORAI2,456
ATF4,CALHM6,199
ATF4,CIART,122
ATF4,ATP6V1F,701
ATF4,MIB2,242
ATF4,TCTE3,166
ATF4,UBR4,158
ATF4,GSK3A,150
ATF4,APBA3,445
ATF4,DENND2D,450
ATF4,USP36,181
ATF4,PSMB3,799
ATF4,ISG20,517
ATF4,SPRY4,576
ATF4,IL1R1,222
ATF4,9930111J21RIK2,257
ATF4,GPATCH3,137
ATF4,KLHDC10,432
ATF4,GM3435,255
ATF4,FNBP4,286
ATF4,D5ERTD579E,111
ATF4,RAD23B,948
ATF4,9030025P20RIK,147
ATF4,SIAH2,221
ATF4,ZBTB44,933
ATF4,MSMO1,125
ATF4,TTI2,170
ATF4,SAA3,568
ATF4,HMGN2,420
ATF4,IER2,910
ATF4,THEM4,270
ATF4,SPTY2D1,731
ATF4,HOOK2,137
ATF4,DHRS9,403
ATF4,ATG10,218
ATF4,ATG9A,190
ATF4,BMS1,673
ATF4,BECN1,199
ATF4,SYNJ2,143
ATF4,FANCL,527
ATF4,CEP295,883
ATF4,GSTO1,193
ATF4,RPIA,879
ATF4,DIDO1,191
ATF4,FBXO32,282
ATF4,YBX3,408
ATF4,SLC20A1,414
ATF4,ETF1,445
ATF4,FDXR,456
ATF4,TRIB1,734
ATF4,9930111J21RIK1,257
ATF4,BCL6,148
ATF4,SPRED1,328
ATF4,D16ERTD472E,319
ATF4,TANK,830
ATF4,SLC45A4,575
ATF4,MFAP1B,147
ATF4,ZFP493,347
ATF4,IL6RA,533
ATF4,DHX33,274
ATF4,CHEK1,182
ATF4,CD2BP2,285
ATF4,AACS,590
ATF4,PI16,367
ATF4,NSUN4,482
ATF4,RPS6KB2,403
ATF4,GALNT9,803
ATF4,TEX261,362
ATF4,WASF1,251
ATF4,CDC40,251
ATF4,TMEM41B,143
ATF4,HDAC5,259
ATF4,HAL,789
ATF4,DCLRE1C,691
ATF4,MAFF,594
ATF4,KIZ,135
ATF4,HIPK3,780
ATF4,AKT1S1,184
ATF4,NEURL4,201
ATF4,2810408A11RIK,201
ATF4,ZBED3,137
ATF4,TREM2,763
ATF4,PREPL,553
ATF4,CAMKMT,553
ATF4,SEC23IP,762
ATF4,TRAK1,760
ATF4,SPNS1,370
ATF4,PPM1F,759
ATF4,PTGS2,630
ATF4,TNFAIP6,756
ATF4,PNKP,234
ATF4,RPL10A,753
ATF4,PITPNB,422
ATF4,HOXA1,324
ATF4,FAM13B,156
ATF4,ACSS2,750
ATF4,ABHD11,489
ATF4,RECQL4,191
ATF4,LRRC14,191
ATF4,CTSL,265
ATF4,PRSS21,736
ATF4,FCRLB,395
ATF4,DUS3L,356
ATF4,MAN1B1,729
ATF4,PRR5L,389
ATF4,TFE3,234
ATF4,HYLS1,186
ATF4,CYP51,333
ATF4,IKZF5,707
ATF4,BBS5,104
ATF4,ACADSB,707
ATF4,DGAT2,185
ATF4,XBP1,277
ATF4,LZTFL1,701
ATF4,SEPT11,140
ATF4,CLP1,212
ATF4,RAB40C,256
ATF4,PRKAG2,690
ATF4,HNRNPH1,689
ATF4,QTRT2,400
ATF4,CCDC191,400
ATF4,ATF4,686
ATF4,GPR84,189
ATF4,COTL1,685
ATF4,MOCOS,684
ATF4,LENG9,684
ATF4,TUBA1C,228
ATF4,TMEM268,291
ATF4,SNX10,177
ATF4,PRUNE1,478
ATF4,MINDY1,478
ATF4,NFKBIL1,246
ATF4,ATP6V1G2,246
ATF4,S100A8,674
ATF4,OGT,204
ATF4,IL3RA,130
ATF4,PRDX6,474
ATF4,IL6,255
ATF4,DTHD1,131
ATF4,PCGF1,210
ATF4,NAT9,659
ATF4,PRMT3,658
ATF4,PAFAH1B2,156
ATF4,PCNP,293
ATF4,MOCS1,651
ATF4,TARM1,649
ATF4,ZFP35,161
ATF4,PDSS1,645
ATF4,NT5DC3,104
ATF4,C5AR2,645
ATF4,2610008E11RIK,259
ATF4,NFE2,642
ATF4,GAS2L3,642
ATF4,WFDC21,641
ATF4,TBRG1,641
ATF4,MPC2,639
ATF4,DCAF6,639
ATF4,RETREG1,637
ATF4,TGM2,635
ATF4,EIF4A1,635
ATF4,BCL10,447
ATF4,ZCCHC2,297
ATF4,RC3H2,248
ATF4,FGD3,626
ATF4,XRCC6,402
ATF4,DESI1,402
ATF4,PTCH1,129
ATF4,CCNI,445
ATF4,ILF2,613
ATF4,NEIL1,490
ATF4,NPR1,410
ATF4,GSTT1,302
ATF4,ABCC5,599
ATF4,TBC1D13,598
ATF4,RAB7,184
ATF4,HNRNPA3,133
ATF4,SRSF2,595
ATF4,MFSD11,595
ATF4,ARPIN,455
ATF4,2010315B03RIK,286
ATF4,MMP8,591
ATF4,FPR1,591
ATF4,TTLL11,176
ATF4,CNDP2,590
ATF4,SMG8,272
ATF4,GAS7,587
ATF4,CD1D2,584
ATF4,RAB44,580
ATF4,RPE,297
ATF4,STX18,279
ATF4,SPHK2,225
ATF4,RPL18,225
ATF4,AHI1,460
ATF4,CCDC97,433
ATF4,9130023H24RIK,127
ATF4,CDK4,568
ATF4,SNF8,275
ATF4,NFKBIZ,416
ATF4,COX19,436
ATF4,ARHGEF1,282
ATF4,SNX27,559
ATF4,NAA25,320
ATF4,ABCF2,556
ATF4,CALCRL,121
ATF4,TMEM87B,553
ATF4,KLHL24,552
ATF4,TOMM6,551
ATF4,TIMM29,284
ATF4,PABPC1,404
ATF4,CEP120,102
ATF4,TTC41,185
ATF4,TAL1,549
ATF4,HSP90B1,185
ATF4,PLEKHG1,381
ATF4,EID2B,548
ATF4,RASGRP2,547
ATF4,MEA1,219
ATF4,KLHDC3,219
ATF4,SF1,540
ATF4,VNN3,538
ATF4,PCF11,537
ATF4,SMAD6,536
ATF4,FUT7,536
ATF4,RNASE2A,223
ATF4,HMBS,531
ATF4,OXSM,530
ATF4,MAN2C1,302
ATF4,IL1RN,526
ATF4,CLEC4E,525
ATF4,ATG16L1,205
ATF4,MAP3K8,522
ATF4,RAB11FIP1,520
ATF4,ADAR,226
ATF4,CAMP,519
ATF4,DDX50,170
ATF4,RNF149,514
ATF4,TNFSF13B,512
ATF4,NUP35,510
ATF4,LMAN2,173
ATF4,THOC6,205
ATF4,HCFC1R1,205
ATF4,MTR,114
ATF4,CTBS,505
ATF4,TRIM56,177
ATF4,FFAR4,503
ATF4,FLOT1,309
ATF4,TMEM150B,500
ATF4,UGT1A6B,203
ATF4,AKR1B3,131
ATF4,CMKLR1,490
ATF4,DTNBP1,489
ATF4,USP2,302
ATF4,TMBIM1,207
ATF4,ESRRA,183
ATF4,SERPINI1,368
ATF4,PDCD10,368
ATF4,GPR146,331
ATF4,CLEC12A,480
ATF4,TCHHL1,479
ATF4,SLC33A1,479
ATF4,HMGXB3,479
ATF4,DTX4,284
ATF4,MAPK14,478
ATF4,MNT,273
ATF4,FAM168A,261
ATF4,DEDD2,476
ATF4,ADORA2A,476
ATF4,P2RY6,475
ATF4,SYNCRIP,473
ATF4,PAQR7,472
ATF4,KAT7,234
ATF4,B230307C23RIK,331
ATF4,ATP7B,470
ATF4,ALG11,470
ATF4,ZUP1,239
ATF4,HSPA14,227
ATF4,CDNF,227
ATF4,SLC15A3,467
ATF4,PTCD1,350
ATF4,CPSF4,350
ATF4,E4F1,464
ATF4,ZRSR1,462
ATF4,COMMD1,462
ATF4,TFEC,460
ATF4,SUMO1,212
ATF4,GPR153,458
ATF4,AKT2,217
ATF4,MNDAL,214
ATF4,MEIS1,335
ATF4,CHPT1,457
ATF4,DEGS1,455
ATF4,AP5S1,335
ATF4,MT2,212
ATF4,GPRIN3,245
ATF4,NLRP3,450
ATF4,0610010K14RIK,313
ATF4,SF3B2,310
ATF4,DARS2,321
ATF4,GCC1,448
ATF4,TPR,157
ATF4,ODR4,157
ATF4,MIS18BP1,447
ATF4,CLCF1,145
ATF4,GPR137B,124
ATF4,NT5C3,138
ATF4,CYP4F18,445
ATF4,HYOU1,212
ATF4,GNS,237
ATF4,DNPEP,444
ATF4,UBE2M,442
ATF4,HMGB2,137
ATF4,GLIPR2,123
ATF4,MARCH1,440
ATF4,ZFAND3,239
ATF4,SERPINA3G,172
ATF4,HK2,132
ATF4,CD1D1,437
ATF4,AI987944,437
ATF4,TTC26,294
ATF4,CCDC47,145
ATF4,TMEM50A,435
ATF4,IFNGR2,434
ATF4,FAM111A,434
ATF4,DHRS7B,251
ATF4,LINS1,190
ATF4,ARL11,431
ATF4,ZFP516,126
ATF4,MGMT,245
ATF4,ALDH3A2,255
ATF4,ZFP750,426
ATF4,RASSF5,426
ATF4,TPCN1,425
ATF4,SMARCAD1,182
ATF4,IQCD,425
ATF4,DHPS,182
ATF4,RAB30,424
ATF4,FRRS1,422
ATF4,CARD9,422
ATF4,PEX16,421
ATF4,NUB1,146
ATF4,LTBR,231
ATF4,SORBS1,265
ATF4,ZFP607A,414
ATF4,TNFSF14,414
ATF4,SAMHD1,414
ATF4,GLIPR1,414
ATF4,COMMD4,316
ATF4,1700030J22RIK,204
ATF4,PER1,408
ATF4,NAXD,408
ATF4,MORF4L2,408
ATF4,MIIP,408
ATF4,FV1,408
ATF4,ATP5L,119
ATF4,HRH1,406
ATF4,SH3BP4,146
ATF4,GVIN1,207
ATF4,GM4070,207
ATF4,NDUFA13,187
ATF4,NARS2,173
ATF4,LRMDA,400
ATF4,KLRA2,212
ATF4,C3,400
ATF4,ORM1,398
ATF4,ANGPTL8,214
ATF4,SBF2,397
ATF4,RHOQ,180
ATF4,GCH1,300
ATF4,RELCH,238
ATF4,PIGN,238
ATF4,OXNAD1,156
ATF4,DPH3,156
ATF4,DLGAP4,396
ATF4,IRAK3,395
ATF4,ATP13A3,395
ATF4,CCRL2,392
ATF4,TRIM12A,391
ATF4,TCF3,145
ATF4,HSPA4,151
ATF4,MCM3,386
ATF4,E2F8,385
ATF4,HNRNPF,384
ATF4,HP,383
ATF4,FBXO42,155
ATF4,EHD1,383
ATF4,ATRNL1,383
ATF4,SMPD3,382
ATF4,MLLT11,382
ATF4,CDC42SE1,382
ATF4,SOS2,155
ATF4,LDHB,381
ATF4,GOSR1,381
ATF4,MARK2,379
ATF4,CTSE,379
ATF4,CERS2,379
ATF4,ACOT1,379
ATF4,XDH,378
ATF4,CYTH1,149
ATF4,RAB1A,165
ATF4,UGDH,160
ATF4,SIRPB1B,375
ATF4,MBNL1,375
ATF4,GTF2F1,375
ATF4,TIMM8B,374
ATF4,SMAD1,124
ATF4,SDHD,374
ATF4,IDS,374
ATF4,SPOP,373
ATF4,RAB7B,373
ATF4,TRIM13,370
ATF4,SLC35E3,370
ATF4,DRAM1,369
ATF4,PLSCR4,368
ATF4,WDR90,290
ATF4,CABYR,367
ATF4,LRRC61,201
ATF4,KLF5,203
ATF4,CLEC2D,121
ATF4,TECR,365
ATF4,SLC6A19,365
ATF4,PRMT5,170
ATF4,ASGR2,365
ATF4,BRAP,364
ATF4,ACAD10,364
ATF4,COLGALT1,363
ATF4,JMJD8,360
ATF4,BPIFC,140
ATF4,FLNA,206
ATF4,TPD52,356
ATF4,LRRC73,191
ATF4,WIPF1,216
ATF4,CLDN12,123
ATF4,GPAT3,353
ATF4,CDV3,353
ATF4,FAM161A,133
ATF4,ERO1L,154
ATF4,CNPY3,350
ATF4,ANAPC15,350
ATF4,1110012L19RIK,350
ATF4,SMARCA2,349
ATF4,CCNL1,348
ATF4,ZMAT5,186
ATF4,UQCR10,186
ATF4,SUCO,347
ATF4,CCND2,176
ATF4,HIST1H3F,345
ATF4,HIST1H2BH,345
ATF4,ELMO2,345
ATF4,DCAF11,345
ATF4,CHIT1,345
ATF4,STAT1,343
ATF4,MALT1,343
ATF4,TSSK6,187
ATF4,TMED2,342
ATF4,HIST2H2AA2,342
ATF4,HIST2H2AA1,342
ATF4,CCDC180,342
ATF4,ZNRF1,340
ATF4,ZFP617,110
ATF4,NDUFS7,115
ATF4,GBP7,338
ATF4,DOCK2,338
ATF4,TMC6,337
ATF4,RIOK1,102
ATF4,IFITM2,337
ATF4,CSF3,337
ATF4,CAGE1,102
ATF4,TCTEX1D2,336
ATF4,D230025D16RIK,336
ATF4,CD320,336
ATF4,ZFP207,335
ATF4,ZC2HC1A,335
ATF4,WDFY2,334
ATF4,SH2B2,334
ATF4,ZMYM6,333
ATF4,ACVR2B,333
ATF4,PSMB2,193
ATF4,PLK3,182
ATF4,ABCD3,332
ATF4,VAV3,331
ATF4,HSD17B7,331
ATF4,TRF,330
ATF4,CERS6,329
ATF4,PPIA,328
ATF4,PRKX,327
ATF4,TREM1,325
ATF4,ANXA3,213
ATF4,HDAC1,324
ATF4,WNT5B,129
ATF4,TCTA,323
ATF4,RHOA,323
ATF4,PNP,323
ATF4,DLD,323
ATF4,CDKN2AIPNL,323
ATF4,CD244A,323
ATF4,3830406C13RIK,322
ATF4,PNPLA8,182
ATF4,AI429214,321
ATF4,ZNRF2,183
ATF4,ELMOD2,319
ATF4,GBP6,158
ATF4,NFIL3,316
ATF4,CLINT1,316
ATF4,IRF2BP1,131
ATF4,DSE,315
ATF4,SLC39A1,114
ATF4,LNPEP,314
ATF4,FTSJ1,314
ATF4,CCNH,207
ATF4,TOP1,313
ATF4,TLR2,192
ATF4,RSAD1,313
ATF4,IKZF1,313
ATF4,CNOT8,201
ATF4,CHD1,313
ATF4,ZFP639,137
ATF4,TGM1,312
ATF4,DLX1,312
ATF4,CCND3,312
ATF4,NKTR,133
ATF4,LATS2,308
ATF4,IFT57,308
ATF4,HMGCL,308
ATF4,TIMELESS,306
ATF4,TMEM208,188
ATF4,LRRC29,188
ATF4,SLC38A10,304
ATF4,REXO1,303
ATF4,PDE4B,206
ATF4,CD300LF,303
ATF4,TTC21B,302
ATF4,CCNG2,302
ATF4,TM6SF1,301
ATF4,ZBTB48,300
ATF4,SLC22A4,300
ATF4,CUTC,300
ATF4,COX15,300
ATF4,OLFR229,299
ATF4,ING1,170
ATF4,I830077J02RIK,298
ATF4,CSF2RB,298
ATF4,ZFP1,219
ATF4,SLC7A7,158
ATF4,PSME2,297
ATF4,IFI203,169
ATF4,F10,297
ATF4,CCL6,297
ATF4,ABCA8B,122
ATF4,TMEM192,296
ATF4,TMCO6,296
ATF4,LETM2,296
ATF4,C1QBP,193
ATF4,ZKSCAN6,295
ATF4,HVCN1,294
ATF4,WDR7,131
ATF4,CYTIP,292
ATF4,CTSK,292
ATF4,ADSSL1,292
ATF4,NR4A2,131
ATF4,LIPH,290
ATF4,RHOH,288
ATF4,ACAT2,288
ATF4,UNC119,287
ATF4,RAB5IF,186
ATF4,FOXS1,286
ATF4,CSNK1G2,286
ATF4,BAZ1B,286
ATF4,PLIN1,285
ATF4,IRF2,285
ATF4,RNASE10,179
ATF4,DTYMK,166
ATF4,SASH1,157
ATF4,YEATS2,175
ATF4,UQCRFS1,282
ATF4,SLC36A4,282
ATF4,CD226,282
ATF4,BMF,282
ATF4,BIN1,282
ATF4,MYO1C,281
ATF4,GM12500,281
ATF4,AMPD2,281
ATF4,ADGRE1,281
ATF4,1600002K03RIK,280
ATF4,ZDHHC13,279
ATF4,ITPRIP,279
ATF4,NUF2,171
ATF4,NTRK1,277
ATF4,INSRR,277
ATF4,RAB3GAP2,275
ATF4,PPARG,275
ATF4,PGK1,125
ATF4,CSF3R,275
ATF4,PHIP,274
ATF4,LITAF,161
ATF4,DGLUCY,274
ATF4,TBC1D15,273
ATF4,POLE3,273
ATF4,NMT1,273
ATF4,4933430I17RIK,273
ATF4,PSME3,140
ATF4,IL12B,272
ATF4,CNTRL,272
ATF4,TBK1,271
ATF4,TMEM258,270
ATF4,FEN1,270
ATF4,TNFSF4,269
ATF4,SEMA4C,268
ATF4,MRPL12,105
ATF4,ZFP740,267
ATF4,PRR15,267
ATF4,HEXIM1,267
ATF4,FAS,166
ATF4,SLC17A8,168
ATF4,SCML4,265
ATF4,CCL3,265
ATF4,RIPOR2,264
ATF4,WNT2B,263
ATF4,EML2,263
ATF4,ECPAS,262
ATF4,TOR1AIP2,261
ATF4,TOR1AIP1,261
ATF4,STIL,260
ATF4,SAMD12,110
ATF4,HNRNPL,260
ATF4,1810010H24RIK,260
ATF4,TBP,130
ATF4,PTGER2,259
ATF4,2010003K11RIK,129
ATF4,FAIM,258
ATF4,SLC2A9,257
ATF4,CCDC174,160
ATF4,TNFRSF17,256
ATF4,MDN1,256
ATF4,MAP3K3,256
ATF4,IFI211,102
ATF4,FLVCR2,256
ATF4,CELF1,256
ATF4,SEPT2,255
ATF4,HDLBP,255
ATF4,ABCA1,255
ATF4,PARP8,254
ATF4,NAPEPLD,254
ATF4,PLEK,253
ATF4,PAK6,253
ATF4,SLC25A25,252
ATF4,PIGZ,251
ATF4,GBP2,251
ATF4,FIP1L1,251
ATF4,FBP2,251
ATF4,DDX5,251
ATF4,TRAM2,250
ATF4,ITGAL,250
ATF4,RPSA,249
ATF4,B3GALT6,249
ATF4,PHF21A,248
ATF4,TMEM237,247
ATF4,FAM193A,247
ATF4,ZFYVE26,245
ATF4,WDR41,245
ATF4,RAD51B,245
ATF4,CYB5R4,245
ATF4,TEDC2,242
ATF4,RGS18,242
ATF4,TNFSF13,241
ATF4,TNF,241
ATF4,RNASE4,241
ATF4,ANG,241
ATF4,SKA1,240
ATF4,KLHL22,240
ATF4,IGSF6,240
ATF4,GTF2H2,240
ATF4,GM4925,240
ATF4,CPEB1,240
ATF4,COQ5,240
ATF4,C1S1,240
ATF4,ARL1,240
ATF4,TENT5A,239
ATF4,PILRA,238
ATF4,CD302,238
ATF4,9830107B12RIK,238
ATF4,SLC11A1,237
ATF4,ASPH,237
ATF4,SFXN5,236
ATF4,RADIL,236
ATF4,GINS1,236
ATF4,ARHGEF37,236
ATF4,TIFAB,235
ATF4,TFPT,235
ATF4,PRPF31,235
ATF4,NAGK,235
ATF4,MAPRE2,235
ATF4,ZFP212,234
ATF4,JOSD1,234
ATF4,TECPR1,233
ATF4,IFITM7,233
ATF4,2900011O08RIK,233
ATF4,TNFRSF23,232
ATF4,TFB1M,232
ATF4,RRAS,232
ATF4,AVEN,232
ATF4,ZFP566,139
ATF4,RARB,231
ATF4,OLR1,231
ATF4,ZFP512B,230
ATF4,RIOX1,230
ATF4,LIPN,230
ATF4,JAGN1,230
ATF4,ENC1,229
ATF4,CREM,123
ATF4,USP1,228
ATF4,DLX4,228
ATF4,PKN3,227
ATF4,PIP4P1,141
ATF4,NAA35,227
ATF4,DCK,227
ATF4,CTPS2,227
ATF4,NNT,226
ATF4,KCNK13,226
ATF4,FAM227B,226
ATF4,DTWD1,226
ATF4,ATP2A2,226
ATF4,RFFL,225
ATF4,ZFP609,224
ATF4,TNFAIP8,224
ATF4,RPRD1A,224
ATF4,PEX10,224
ATF4,HCAR2,224
ATF4,FAF1,224
ATF4,AIRE,224
ATF4,N4BP2L1,223
ATF4,NDUFAF4,222
ATF4,IMPACT,101
ATF4,GM9733,222
ATF4,DMKN,222
ATF4,ARMC5,127
ATF4,PARVG,221
ATF4,APBB1IP,221
ATF4,SLFN2,220
ATF4,RAB21,220
ATF4,ZZEF1,219
ATF4,RGS20,219
ATF4,NQO2,219
ATF4,CYB5D2,219
ATF4,AIG1,218
ATF4,LRRC63,217
ATF4,LCP1,217
ATF4,GGNBP2,217
ATF4,CD47,217
ATF4,TTC39A,216
ATF4,TSNAXIP1,216
ATF4,SLC16A13,216
ATF4,SH3BP2,216
ATF4,RREB1,216
ATF4,RANBP10,216
ATF4,PILRB2,216
ATF4,MGST1,216
ATF4,MARVELD1,216
ATF4,LST1,216
ATF4,JUNB,216
ATF4,EXOSC9,216
ATF4,BC049762,216
ATF4,ALYREF2,216
ATF4,ACOT7,215
ATF4,ZFP984,214
ATF4,WNT9B,214
ATF4,VSIG8,214
ATF4,VKORC1L1,214
ATF4,MRPL55,214
ATF4,FYCO1,214
ATF4,CAR13,214
ATF4,SP140,213
ATF4,GRM8,213
ATF4,TRAPPC1,212
ATF4,PARP16,212
ATF4,KLHL5,212
ATF4,FGFR1OP,212
ATF4,ESR1,212
ATF4,CNTROB,212
ATF4,SCN3A,211
ATF4,KCNAB1,211
ATF4,ARHGAP26,211
ATF4,TIFA,210
ATF4,MON1B,210
ATF4,NSFL1C,209
ATF4,MAD2L2,209
ATF4,ISOC2A,209
ATF4,C9ORF72,209
ATF4,TXNIP,208
ATF4,ELOVL5,208
ATF4,CTSC,208
ATF4,ATAD2,208
ATF4,ZFP628,207
ATF4,ABCB1B,207
ATF4,ZFP748,205
ATF4,ZFP64,205
ATF4,POLR3E,205
ATF4,INTS12,205
ATF4,GSTCD,205
ATF4,LIMS1,204
ATF4,FTL1,204
ATF4,TNFRSF1A,203
ATF4,SYNE2,203
ATF4,SNX14,203
ATF4,NSA2,203
ATF4,GFM2,203
ATF4,CAMKK2,203
ATF4,METTL6,202
ATF4,EAF1,202
ATF4,BCL2A1C,202
ATF4,ARHGDIB,202
ATF4,SPIN1,201
ATF4,SLAIN2,201
ATF4,CFAP43,201
ATF4,STX6,200
ATF4,SGO1,200
ATF4,PIRA7,200
ATF4,PIRA6,200
ATF4,PIRA4,200
ATF4,PIRA11,200
ATF4,PCDHGB5,200
ATF4,GM14548,200
ATF4,RANGAP1,199
ATF4,PHGR1,199
ATF4,KLRA17,199
ATF4,AAK1,199
ATF4,TREM3,198
ATF4,SULT6B2,198
ATF4,STN1,198
ATF4,ATP6V0A1,198
ATF4,VAMP8,197
ATF4,TMBIM6,197
ATF4,PATL1,197
ATF4,MBD6,197
ATF4,EXTL3,197
ATF4,CYP27A1,197
ATF4,TUBGCP5,196
ATF4,SLC25A10,196
ATF4,SEL1L,196
ATF4,PILRB1,196
ATF4,PAX6,196
ATF4,MUC20,196
ATF4,IL1RL2,196
ATF4,AMN1,196
ATF4,TRIM35,195
ATF4,MSL1,195
ATF4,MOB3A,195
ATF4,IZUMO4,195
ATF4,ITPRIPL1,195
ATF4,DBP,195
ATF4,OPA3,194
ATF4,EBAG9,194
ATF4,ART3,194
ATF4,UEVLD,193
ATF4,RDH12,193
ATF4,PANX1,193
ATF4,OCIAD1,193
ATF4,NRF1,193
ATF4,GPAT4,193
ATF4,GNG7,193
ATF4,BCL2A1D,192
ATF4,NUDT18,191
ATF4,NR1H3,191
ATF4,NGDN,191
ATF4,HBS1L,189
ATF4,GSK3B,189
ATF4,DEK,189
ATF4,SLBP,188
ATF4,APC,188
ATF4,SARNP,187
ATF4,ORMDL2,187
ATF4,KCNB1,187
