Gene1,Gene2
BACH1,HBB
BACH1,HMOX1
BACH1,MMP1A
BACH1,TRP53
BACH2,PRDM1
BARX2,ACTA2
BARX2,L1CAM
BARX2,PAX1
BATF2,CCL5
BATF2,NOS2
BATF2,TNF
BATF3,IRF8
BCL11A,FRZB
BCL11B,AHR
BCL11B,BCL2L1
BCL11B,CDKN1B
BCL11B,FOXP3
BCL11B,GFI1
BCL11B,IL10
BCL11B,NOTCH1
BCL11B,RUNX3
BCL11B,ZBTB7B
BCL3,CCND1
BCL3,CTSL
BCL3,CXCL10
BCL3,FBXO32
BCL3,IFNG
BCL3,IL23A
BCL3,NFKB1
BCL3,NFKB2
BCL3,NOS1
BCL3,RUNX1
BCL3,TNF
BCL3,TNFAIP3
BCL3,TNFRSF12A
BCL3,TRIM63
BCL3,UBC
BCL6,BATF
BCL6,BCL6
BCL6,CDKN1A
BCL6,CDKN1B
BCL6,CDKN2B
BCL6,CSF1R
BCL6,GADD45A
BCL6,GATA3
BCL6,HDAC7
BCL6,IFNG
BCL6,IL17A
BCL6,IL9
BCL6,MIR21A
BCL6,MYC
BCL6,PRDM1
BCL6,RORC
BCL6,SOCS2
BCL6,TBX21
BCL6B,RBPJ
BHLHE40,IL2RA
BMI1,CDK1
BMI1,CDKN1A
BMI1,CDKN2A
BMI1,CDKN2D
BMI1,DKK1
BMI1,E4F1
BMI1,HMGA2
BMI1,IKZF1
BMI1,NANOG
BMI1,NFKB1
BMI1,PMAIP1
BMI1,PTEN
BMP4,CHST11
BMP6,MYCN
BRCA1,AKT1
BRCA1,CDKN1A
BRCA1,HMGA2
BRCA1,MAD2L1
BRCA1,MDM2
BRCA1,RAD51
BRCA1,SIRT1
BRCA1,TPT1
BRCA2,CDKN1A
BTG2,ATOH1
BTG2,CREB1
BUB3,APOD
CBFA2T3,EPB42
CBX6,CCNE1
CCND1,CDKN2A
CD7,NFKB1
CDX1,CCL25
CDX1,CDX2
CDX1,MAFB
CDX2,CCL25
CDX2,CDH17
CDX2,CDX1
CDX2,CDX4
CDX2,GLB1
CDX2,HEPH
CDX2,KITL
CDX2,MGAM
CDX2,NANOG
CDX2,POU5F1
CDX2,SHH
CDX2,SIS
CDX2,XIST
CDX4,HOXA9
CEBPA,ABCA3
CEBPA,ALB
CEBPA,ALDH3A1
CEBPA,AMELX
CEBPA,APOD
CEBPA,BCL2
CEBPA,CFLAR
CEBPA,CLU
CEBPA,CRABP2
CEBPA,ELANE
CEBPA,IL12B
CEBPA,IL4
CEBPA,LPIN1
CEBPA,MSTN
CEBPA,NFKB1
CEBPA,NOS2
CEBPA,NR1H3
CEBPA,PCK1
CEBPA,PRTN3
CEBPA,PTGS2
CEBPA,SCGB1A1
CEBPA,SLC2A4
CEBPA,SPI1
CEBPA,ZBTB16
CEBPB,ABL1
CEBPB,ABL2
CEBPB,ALB
CEBPB,ALDH3A1
CEBPB,ATF3
CEBPB,BCL2
CEBPB,BGLAP
CEBPB,BTG2
CEBPB,CDKN1A
CEBPB,CEBPA
CEBPB,CLU
CEBPB,CR2
CEBPB,CSF1R
CEBPB,CSF3
CEBPB,CSN2
CEBPB,CXCR4
CEBPB,CYR61
CEBPB,FOS
CEBPB,FOXF1
CEBPB,GSTA2
CEBPB,H2-K1
CEBPB,HGF
CEBPB,ID2
CEBPB,IL1B
CEBPB,IL5RA
CEBPB,IL6
CEBPB,INSR
CEBPB,MAFB
CEBPB,MYC
CEBPB,PCK1
CEBPB,PPARG
CEBPB,PPARGC1A
CEBPB,PTGS1
CEBPB,PTGS2
CEBPB,RUNX2
CEBPB,SCGB1A1
CEBPB,SERPINE1
CEBPB,SLC10A1
CEBPB,SNRPN
CEBPB,SOCS3
CEBPB,TRP53
CEBPB,UCP1
CEBPE,MXD1
CEBPG,CEBPA
CEBPG,CEBPB
CEBPG,IL6
CEBPZ,HSPA1B
CHD1,UBTFL1
CHD4,CD4
CHD4,ID2
CHD4,JUN
CHD4,NGFR
CHD7,GLI3
CHD7,JAG1
CHD7,MYCN
CHD7,SOX11
CHD7,SOX4
CHD8,BRCA1
CHD8,MYC
CHD8,STAT3
CHD8,TCF4
CIITA,COL1A2
CIITA,NFATC1
CIITA,OSCAR
CITED2,CEBPA
CITED2,FGF9
CITED2,LDHB
CITED2,LDHD
CITED2,MMP9
CITED2,NR5A1
CITED2,PDK2
CITED2,PDK4
CITED2,PPARG
CITED2,SMAD3
CITED2,WNT4
CLOCK,BHLHE40
CLOCK,BHLHE41
CLOCK,CRY1
CLOCK,CRY2
CLOCK,DBP
CLOCK,NR0B2
CLOCK,NAMPT
CLOCK,PER1
CLOCK,PER2
CLOCK,SCNN1A
CLOCK,SERPINE1
CLOCK,SERPINE2
CLOCK,THBD
CLOCK,TPO
CLOCK,VWF
CNOT3,MYC
CNOT3,ZFX
CNOT7,TOB1
COPS5,HAND2
CREB1,ACSL4
CREB1,BCL2
CREB1,CFTR
CREB1,CLDN11
CREB1,CRTC2
CREB1,ENTPD1
CREB1,ESR1
CREB1,ETV2
CREB1,ETV3
CREB1,FOS
CREB1,HSPA5
CREB1,IL10
CREB1,LDHA
CREB1,MIF
CREB1,MITF
CREB1,NF1
CREB1,NFKBIZ
CREB1,NMNAT2
CREB1,NOCT
CREB1,NRF1
CREB1,PDE3B
CREB1,PENK
CREB1,PPARGC1A
CREB1,PPM1D
CREB1,PRKCE
CREB1,PTGS2
CREB1,NECTIN2
CREB1,REN1
CREB1,SLC20A1
CREB1,SLC2A3
CREB1,TWIST1
CREB3,APOA4
CREB3,HERPUD1
CREB3L1,GCM1
CREB3L1,MMP3
CREB3L1,SLC1A4
CREB3L3,HAMP
CREB3L3,SMURF1
CREB3L4,EDEM1
CREBBP,ALX1
CREBBP,BCL2
CREBBP,BIRC5
CREBBP,TDGF1
CREBBP,CLOCK
CREBBP,CREBBP
CREBBP,CRX
CREBBP,CRYAB
CREBBP,CYP11A1
CREBBP,EP300
CREBBP,ESR1
CREBBP,F7
CREBBP,FOS
CREBBP,FOSB
CREBBP,FOXP3
CREBBP,FTH1
CREBBP,GH
CREBBP,GRIP1
CREBBP,HGF
CREBBP,HMOX1
CREBBP,IFNB1
CREBBP,IL6
CREBBP,KRT16
CREBBP,LDHA
CREBBP,MED1
CREBBP,HINFP
CREBBP,MT1
CREBBP,MYH1
CREBBP,NFKB1
CREBBP,NFYA
CREBBP,NFYB
CREBBP,NPAS2
CREBBP,PER1
CREBBP,RS1
CREBBP,SETDB1
CREBBP,SOCS3
CREBBP,SPIB
CREBBP,SST
CREBBP,STAR
CREBBP,TNF
CREBBP,TRP53
CREBZF,ADIPOQ
CREM,REN1
CRTC1,CREB1
CRX,FAM161A
CRX,KCNV2
CRX,NR2E3
CRX,PDE6A
CRX,PDE6B
CRX,RBP3
CRX,RHO
CRX,RS1
CRX,SAG
CRX,SAMD11
CRX,SAMD7
CRY1,PER2
CSF1,CD36
CSF2,ITGB3
CTCF,ATXN7
CTCF,CELSR3
CTCF,CSF2
CTCF,IGF2
CTCF,IRAK2
CTCF,MGAT5B
CTCF,PAX6
CTCFL,GAL3ST1
CTF1,TGFB1
CTNNB1,ATOH1
CTNNB1,AXIN2
CTNNB1,BCL2L1
CTNNB1,BGLAP
CTNNB1,BGLAP2
CTNNB1,BIRC5
CTNNB1,BMP4
CTNNB1,CASP3
CTNNB1,CCL7
CTNNB1,CCND1
CTNNB1,CCNE1
CTNNB1,CDH1
CTNNB1,CDX1
CTNNB1,CDX2
CTNNB1,CDX4
CTNNB1,CYP19A1
CTNNB1,CYP2B10
CTNNB1,E2F1
CTNNB1,EPHB2
CTNNB1,FAS
CTNNB1,FGF8
CTNNB1,FGFBP1
CTNNB1,VEGFD
CTNNB1,FOXA2
CTNNB1,FOXJ1
CTNNB1,GAST
CTNNB1,GJA1
CTNNB1,GLUL
CTNNB1,GREM2
CTNNB1,IHH
CTNNB1,INHA
CTNNB1,ISL1
CTNNB1,LECT2
CTNNB1,LEF1
CTNNB1,LHB
CTNNB1,MET
CTNNB1,MITF
CTNNB1,MMP13
CTNNB1,MMP7
CTNNB1,MYC
CTNNB1,MYCN
CTNNB1,MYF5
CTNNB1,NANOG
CTNNB1,NEUROG1
CTNNB1,NR0B1
CTNNB1,OTX2
CTNNB1,PDGFRA
CTNNB1,PITX2
CTNNB1,PML
CTNNB1,PPARD
CTNNB1,PTGS2
CTNNB1,RAPSN
CTNNB1,RUNX2
CTNNB1,SLC2A1
CTNNB1,SMC3
CTNNB1,TBX3
CTNNB1,TCF4
CTNNB1,TWIST1
CTNNB1,VEGFA
CTNNB1,WISP1
CTNNB1,WNT1
CTNNB1,WNT4
CTR9,IL6
CUX1,ATP6V1E2
CUX1,CCNA2
CUX1,CDKN1A
CUX1,CDKN1B
CUX1,DCTN6
CUX1,FAM89B
CUX1,HIST2H4
CUX1,MAR1
CUX1,MYC
CUX1,NCAM1
CUX1,POLA1
CUX1,RUNX2
CUX1,SIS
CUX2,CDKN1B
DAB2,AXIN1
DACH1,CCND1
DACH1,CDKN1B
DACH1,CXCL15
DACH1,KLF4
DACH1,LIN28A
DACH1,NANOG
DACH1,SOX2
DACH2,MYOG
DAXX,BIRC2
DAXX,BIRC3
DAXX,NR5A1
DAXX,MAPK8IP1
DAXX,TRP53
DBP,ARNT
DBP,BIK
DBP,PER1
DDIT3,BBC3
DDIT3,NOS3
DDX5,IGF2
DDX54,MBP
DDX58,IFNB1
DEAF1,EIF4G3
DLX1,ARX
DLX2,AMELX
DLX2,ARX
DLX2,DLX6
DLX2,FOXJ1
DLX2,NRP2
DLX2,PAGR1A
DLX3,BGLAP
DLX3,DSPP
DLX3,HSD3B6
DLX3,MMP9
DLX3,PGF
DLX3,RUNX2
DLX5,ALPL
DLX5,DSPP
DLX5,GBX2
DLX5,IBSP
DLX5,IGFBP3
DLX5,MYC
DLX5,RUNX2
DLX5,SP7
DLX5,WNT5A
DMAP1,BMI1
DMBX1,CRX
DMBX1,OTX1
DMBX1,OTX2
DMP1,TRP53
DMRT1,SOX2
DMRT2,MYF5
DMTF1,AREG
DMTF1,CCND2
DMTF1,CDKN2A
DMTF1,EGR1
DMTF1,ETS1
DMTF1,ETS2
DMTF1,JUNB
DMTF1,TSP1
DNAJC2,ID1
DNMT1,CDKN1A
DNMT1,DNMT1
DNMT1,MT1
DNMT1,EPCAM
DNMT1,TRP53
DNMT3A,DPP6
DNMT3A,IFNG
DNMT3A,MDM2
DNMT3A,MT1
DNMT3A,NANOG
DNMT3A,POU5F1
DNMT3A,RB1
DNMT3A,VTN
DNMT3B,NANOG
DNMT3B,POU5F1
DNMT3B,VTN
DOT1L,SCNN1A
DTX1,SMARCC1
E2F1,APAF1
E2F1,ATM
E2F1,ATP6V1E2
E2F1,BCL2
E2F1,BID
E2F1,BIN1
E2F1,BMI1
E2F1,CCNA2
E2F1,CCND1
E2F1,CDKN1A
E2F1,CDKN2A
E2F1,CDKN2C
E2F1,DDB2
E2F1,DHFR
E2F1,DLX1
E2F1,DLX2
E2F1,DNMT1
E2F1,EGR1
E2F1,FBN2
E2F1,GINS3
E2F1,HINFP
E2F1,HMGA1
E2F1,MCL1
E2F1,MCM8
E2F1,MERTK
E2F1,MXD3
E2F1,MYCN
E2F1,MYH10
E2F1,NFE2L2
E2F1,NFKB1
E2F1,NOS2
E2F1,NOX4
E2F1,NPAT
E2F1,NRP1
E2F1,PCNA
E2F1,PDGFRA
E2F1,PDK4
E2F1,POLA1
E2F1,PURA
E2F1,RB1
E2F1,SIVA1
E2F1,TAPBP
E2F1,TGFB2
E2F1,TK1
E2F1,TLR3
E2F1,TPT1
E2F1,TRP53
E2F1,TRP73
E2F1,VEGFA
E2F2,CDKN2A
E2F2,CHEK1
E2F2,ECE1
E2F2,FGFR2
E2F2,MCM5
E2F3,CDKN2A
E2F3,DDB2
E2F3,FGF2
E2F3,IGF2
E2F3,MYCN
E2F3,PMP2
E2F3,TFE3
E2F4,BRCA1
E2F4,E2F2
E2F4,FGF2
E2F4,MAP1LC3B
E2F4,MYBL2
E2F4,MYCN
E2F4,PLK4
E2F4,RAD51
E2F4,RB1
E2F4,STMN1
E2F5,MIR449A
E2F8,E2F1
E4F1,CCNA2
E4F1,IDS
EBF1,BLK
EBF1,CD79A
EBF1,IGLL1
EBF1,OMP
EBF1,PAX5
EBF1,PPARG
EBF1,TAC4
EBF1,ZFP423
EBF1,ZFP521
EDN1,REN1
EGR1,ACHE
EGR1,BAX
EGR1,BIRC5
EGR1,BNIP3
EGR1,CACNA1H
EGR1,CAT
EGR1,CCL2
EGR1,CCND1
EGR1,CCND2
EGR1,CDK5R1
EGR1,CDKN1C
EGR1,CDKN2D
EGR1,CHRNA7
EGR1,CREBBP
EGR1,CXCL2
EGR1,ENO1
EGR1,EPO
EGR1,F3
EGR1,FAS
EGR1,FGF2
EGR1,GADD45A
EGR1,GADD45B
EGR1,GGPS1
EGR1,GNRH1
EGR1,HSD11B2
EGR1,ICAM1
EGR1,ID3
EGR1,IFNGR1
EGR1,IGF1R
EGR1,IL1B
EGR1,IL2
EGR1,IL4
EGR1,ITGA7
EGR1,ITGB6
EGR1,JUN
EGR1,JUND
EGR1,LHB
EGR1,LTB
EGR1,MAP1LC3B
EGR1,MAPK14
EGR1,MAPK8
EGR1,MET
EGR1,MMP14
EGR1,MMP9
EGR1,NDRG1
EGR1,NGB
EGR1,NGFR
EGR1,NR4A1
EGR1,NTRK1
EGR1,PDX1
EGR1,PNMT
EGR1,PPP1R1B
EGR1,PTEN
EGR1,PTGES
EGR1,PTGES2
EGR1,PTPRZ1
EGR1,RCAN1
EGR1,SERPINE1
EGR1,SMAD7
EGR1,SOCS1
EGR1,STIM1
EGR1,SYN2
EGR1,TGFBR2
EGR1,TH
EGR1,THBS1
EGR1,TK1
EGR1,TNF
EGR1,TRP53
EGR1,TRP73
EGR1,WNT4
EGR1,IL12A
EGR2,CBL
EGR2,CEBPB
EGR2,FASL
EGR2,HOXA2
EGR2,HOXB1
EGR2,HOXB2
EGR2,ID2
EGR2,ID4
EGR2,IL2RB
EGR2,MPZ
EGR2,NAB1
EGR2,NAB2
EGR2,NCMAP
EGR2,ZBTB16
EGR3,FASL
EGR3,IFNGR1
EGR3,NGFR
EGR4,NFKB1
EGR4,SLC12A5
EHF,TLR11
EHMT1,CCND1
EHMT2,CCND1
EHMT2,CDKN1A
EHMT2,FGF21
EHMT2,POU5F1
EHMT2,PPARG
EHMT2,WNT10A
EIF2AK2,STAT1
ELF1,CD1D1
ELF1,CSF1R
ELF1,DNTT
ELF1,EPHA7
ELF1,FCER1A
ELF1,FCER1G
ELF1,FLI1
ELF1,IL3
ELF1,LYL1
ELF1,RHOX5
ELF1,TAL1
ELF1,TOLLIP
ELF2,CD3D
ELF3,ANGPT1
ELF3,TGFB1
ELF3,TGFBR2
ELF3,TLR11
ELF4,BGLAP
ELF4,DLX5
ELF4,MAB21L1
ELF4,MSX2
ELF4,TRP53
ELF5,CCND2
ELF5,STAT5A
ELK1,EGR1
ELK1,FOS
ELK1,HMOX1
ELK1,IL6
ELK1,MYLK
ELK1,MYLK3
ELK1,TBP
ELK3,NOS2
ELK3,PCYT1A
ELK3,SERPINE1
ELL3,TRP53
ELL3,ZEB1
ELL3,ZEB2
ELP2,POU5F1
ELP3,POU5F1
EMX2,ALX1
EMX2,PAX6
EN1,ELF1
EN1,GBX2
EN1,PAX5
EN1,WNT7A
EN2,PAX5
EOMES,EBF1
EOMES,IL17A
EOMES,MESP1
EOMES,PRF1
EOMES,RORC
EOMES,SOX2
EP300,ALDH3A1
EP300,AXIN2
EP300,BGLAP
EP300,BIRC5
EP300,COX2
EP300,CAV3
EP300,CCNB2
EP300,CCND1
EP300,CDKN1A
EP300,CHRNE
EP300,CLOCK
EP300,COL1A2
EP300,COL2A1
EP300,CPT1B
EP300,CREB1
EP300,CRYAB
EP300,DNMT1
EP300,EDN1
EP300,F7
EP300,FASN
EP300,FLT4
EP300,FN1
EP300,FOS
EP300,GATA4
EP300,HMOX1
EP300,HRH4
EP300,IL6
EP300,IRF2
EP300,IRS1
EP300,KLF5
EP300,LDHA
EP300,MEF2C
EP300,HINFP
EP300,MMP2
EP300,MMP9
EP300,MT1
EP300,MYB
EP300,MYOD1
EP300,NEUROD1
EP300,NOS2
EP300,NPAS2
EP300,NPR1
EP300,NR0B2
EP300,NR1H4
EP300,POU5F1
EP300,PPARG
EP300,PTGS2
EP300,RARB
EP300,RS1
EP300,SCD1
EP300,SMAD3
EP300,SOCS3
EP300,SPP1
EP300,STAT5A
EP300,TAPBP
EP300,TFF2
EP300,TNFSF10
EP300,TNFSF13B
EP300,TXNIP
EP300,WNT4
EPAS1,ABCG2
EPAS1,CDH5
EPAS1,CITED2
EPAS1,COL10A1
EPAS1,EFNA1
EPAS1,EPO
EPAS1,FLT1
EPAS1,FXN
EPAS1,KDR
EPAS1,POU5F1
EPAS1,RUNX2
EPAS1,SERPINE1
EPAS1,VCAM1
EPC1,TAGLN
EPO,OSM
EPOR,CISH
ERF,UTRN
ERG,CDH5
ERG,ERG
ERG,ICAM2
ERG,LYL1
ERG,SNAI1
ERG,SNAI2
ERG,VIM
ERG,VWF
ESR1,BMP2
ESR1,CASP12
ESR1,CCND1
ESR1,CDKN1A
ESR1,CYP19A1
ESR1,ESRRA
ESR1,F12
ESR1,FASL
ESR1,FOS
ESR1,H19
ESR1,IGF1
ESR1,LTF
ESR1,MYC
ESR1,NELL2
ESR1,NR0B2
ESR1,NRF1
ESR1,PIK3R1
ESR1,POU3F1
ESR1,PPARG
ESR1,PTGS1
ESR1,SLC2A4
ESR1,SLC7A1
ESR1,SREBF1
ESR1,STAT3
ESR1,STAT5A
ESR1,TAC2
ESR1,TH
ESR1,TNFSF11
ESR1,VEGFA
ESR2,AKT1
ESR2,AR
ESR2,BCL2
ESR2,BMP2
ESR2,CASP3
ESR2,CASP8
ESR2,IGF1R
ESR2,MAPK1
ESR2,MAPK3
ESR2,MAPK8
ESR2,NELL2
ESR2,PPARG
ESR2,PTGDS
ESR2,PTGS1
ESR2,SLC2A4
ESR2,STAT5A
ESR2,VEGFA
ESRRA,ACADM
ESRRA,APOA4
ESRRA,NRIP1
ESRRA,PPARA
ESRRA,PPARGC1A
ESRRA,RB1CC1
ESRRA,SPP1
ESRRA,TRP53
ESRRB,NANOG
ESRRB,NR0B1
ESRRB,USP17LE
ESRRG,MIR127
ESRRG,MIR433
ESRRG,NR0B1
ESRRG,YY1
ETS1,EMSY
ETS1,ANGPT2
ETS1,ANPEP
ETS1,BMP4
ETS1,CCL2
ETS1,CD3D
ETS1,CD4
ETS1,CDH5
ETS1,CDKN2A
ETS1,CSF1R
ETS1,CSF3R
ETS1,CTGF
ETS1,PF4
ETS1,EBF1
ETS1,EGR1
ETS1,ERG
ETS1,FLI1
ETS1,FOS
ETS1,FOXP3
ETS1,HMOX1
ETS1,IGHM
ETS1,IKZF1
ETS1,IL10
ETS1,IL5
ETS1,IL7R
ETS1,ITGA2B
ETS1,KDR
ETS1,KRT8
ETS1,LTBR
ETS1,MET
ETS1,MIR126A
ETS1,MMP13
ETS1,MMP1A
ETS1,MMP3
ETS1,MMP9
ETS1,NOS3
ETS1,NPR1
ETS1,NR2F1
ETS1,NR2F2
ETS1,OPRD1
ETS1,PCYT1A
ETS1,PRDM1
ETS1,PTGS2
ETS1,RETNLA
ETS1,RNF11
ETS1,RUNX2
ETS1,RUNX3
ETS1,SELL
ETS1,SERPINB5
ETS1,SH2D1A
ETS1,SPP1
ETS1,TBX21
ETS1,TGFBR2
ETS1,THBD
ETS1,TIMP1
ETS1,TLR4
ETS1,VEGFA
ETS1,VWF
ETS1,ZEB1
ETS2,BCL2L1
ETS2,CD4
ETS2,CDKN2A
ETS2,CSF1R
ETS2,CSF3R
ETS2,DUSP6
ETS2,EGR1
ETS2,ERG
ETS2,ETV4
ETS2,FLI1
ETS2,FLT4
ETS2,HMOX1
ETS2,HMOX2
ETS2,IFNE
ETS2,JUN
ETS2,KIT
ETS2,KRT8
ETS2,MDM2
ETS2,MIR126A
ETS2,NAB2
ETS2,NOS2
ETS2,PCYT1A
ETS2,SETDB1
ETS2,SH2D1A
ETS2,STAB1
ETS2,TLR13
ETV1,EBF1
ETV1,FGF10
ETV1,NAB2
ETV1,POMC
ETV1,TH
ETV2,FLI1
ETV2,LMO2
ETV2,PLAU
ETV2,SOX9
ETV2,SPI1
ETV2,TEK
ETV4,CCND2
ETV4,DUSP6
ETV4,ERBB2
ETV4,GPX5
ETV4,MMP3
ETV4,MMP7
ETV4,MMP9
ETV4,MTA2
ETV4,PLAU
ETV4,PTGS2
ETV4,TERT
ETV4,TGFBR2
ETV4,TWIST1
ETV4,VIM
ETV4,ZHX1
ETV5,CAV1
ETV5,ELMO1
ETV5,IL17A
ETV5,IL17F
ETV5,PARG
ETV5,PTGS2
ETV6,FLI1
ETV6,MMP3
EWSR1,FGF10
EWSR1,TERT
EWSR1,UPP1
EYA1,ATOH1
EYA2,MTOR
EZH1,TOLLIP
EZH2,BAD
EZH2,BCL2L11
EZH2,CCNA2
EZH2,CREB3L1
EZH2,DKK1
EZH2,HEY2
EZH2,IL17A
EZH2,IL17F
EZH2,IL9
EZH2,NANOG
EZH2,NEUROG1
EZH2,TBX21
EZH2,TRP53
EZH2,UNC5B
FHL2,FOS
FLI1,CCL2
FLI1,CYR61
FLI1,ERG
FLI1,EZH2
FLI1,FLI1
FLI1,INPP5D
FLI1,ITGA2B
FLI1,LYL1
FLI1,MMP13
FLI1,RB1
FLI1,SMAD6
FLI1,TERT
FLI1,UPP1
FMR1,RAC1
FOS,ACP5
FOS,BDNF
FOS,BMP2
FOS,CCL5
FOS,CRH
FOS,CSF3
FOS,CXCL15
FOS,DCSTAMP
FOS,EGR1
FOS,FAM89B
FOS,FOS
FOS,GNRH1
FOS,GRIA1
FOS,GRIK2
FOS,H2-K1
FOS,HMGCR
FOS,IFNE
FOS,IGK
FOS,IL1RL1
FOS,IL2
FOS,IL27
FOS,IL6
FOS,JUN
FOS,KRT18
FOS,MAPK8
FOS,MMP2
FOS,MMP9
FOS,MT1
FOS,NACC1
FOS,NCK2
FOS,NEFL
FOS,NFATC1
FOS,NFE2L2
FOS,NGF
FOS,NOS2
FOS,NR3C1
FOS,PDPN
FOS,PENK
FOS,PLAU
FOS,POMC
FOS,PPP1R3B
FOS,SPI1
FOS,SLC10A2
FOS,SOCS3
FOS,SRC
FOS,SRR
FOS,SRXN1
FOS,STAR
FOS,STIM1
FOS,TFF2
FOS,TGFB1
FOS,TINAGL1
FOS,TPSAB1
FOS,TRP53
FOS,TSLP
FOS,WEE1
FOSB,CDH1
FOSB,FOS
FOSB,MMP2
FOSL1,FOS
FOSL1,JUN
FOSL1,MMP2
FOSL1,NFE2L2
FOSL1,PRDM1
FOSL1,THBS1
FOSL1,THBS2
FOSL2,ADIPOQ
FOSL2,RELB
FOSL2,TCIRG1
FOSL2,TGFB1
FOSL2,TGFB3
FOXA1,AFP
FOXA1,CBX5
FOXA1,GCG
FOXA1,MUC2
FOXA1,PDX1
FOXA1,SCGB1A1
FOXA1,SFTPA1
FOXA1,SFTPB
FOXA1,SFTPC
FOXA1,SFTPD
FOXA2,ASCL1
FOXA2,BIRC2
FOXA2,CBX5
FOXA2,CCL11
FOXA2,CCL20
FOXA2,CDC73
FOXA2,CPT1A
FOXA2,CUL2
FOXA2,FERD3L
FOXA2,G6PC
FOXA2,G6PC2
FOXA2,GCG
FOXA2,GLI2
FOXA2,HADH
FOXA2,HCRT
FOXA2,HELT
FOXA2,HHEX
FOXA2,HMGCS2
FOXA2,IL13
FOXA2,IL33
FOXA2,IL4
FOXA2,LCN5
FOXA2,LMX1A
FOXA2,LMX1B
FOXA2,MAP1B
FOXA2,MCHR1
FOXA2,MSX1
FOXA2,MUC2
FOXA2,OTX1
FOXA2,OTX2
FOXA2,PDX1
FOXA2,PGF
FOXA2,REG3G
FOXA2,SOX17
FOXA2,SOX2
FOXA2,ST18
FOXA2,TBX1
FOXA2,TLE4
FOXA2,VTN
FOXA2,WNT7B
FOXA3,CDX2
FOXC1,CXCL12
FOXC1,CXCR4
FOXC1,DLL4
FOXC1,HEY2
FOXC1,MSX2
FOXC1,RUNX2
FOXC1,SNAI1
FOXC1,TBX1
FOXC2,CXCR4
FOXC2,DLL4
FOXC2,GJA4
FOXC2,HAND1
FOXC2,HEY2
FOXC2,ITGB3
FOXC2,TBX1
FOXD1,LHB
FOXD1,PGF
FOXD3,GRB2
FOXG1,CDKN1A
FOXG1,CDKN2B
FOXG1,DMRT3
FOXG1,DMRTA1
