	cl
E1027_13	0
E1028_13	0
E1029_13	0
E1030_13	0
E1031_13	0
E1032_13	0
E1033_13	0
E1034_13	0
E1035_13	0
E1036_13	0
E1037_13	0
E1038_13	0
E1039_15	0
E1040_15	0
E1041_15	0
E1042_15	0
E1043_15	0
E1044_15	0
E1045_15	0
E1046_15	0
E1047_15	0
E1048_15	0
E1049_15	0
E1050_15	0
E1051_15	0
E1052_15	0
E1053_15	0
E1054_15	0
E1055_15	0
E1056_15	0
E1057_15	0
E1058_15	0
E1059_15	0
E1060_15	0
E1061_15	0
E1062_15	0
E1063_15	0
E1064_15	0
E1065_15	0
E1066_15	0
E1067_15	0
E1068_15	0
E1069_15	0
E1070_15	1
E1071_15	0
E1072_15	0
E1073_15	0
E1074_15	0
E1075_15	0
E1076_15	0
E1077_15	0
E1078_15	0
E1079_15	0
E1080_15	0
E1081_15	0
E1082_15	0
E1083_15	0
E1084_15	0
E1085_15	0
E1086_15	0
E1087_15	0
E1088_15	0
E1089_15	0
E1090_15	0
E1091_15	0
E1092_15	0
E1093_15	0
E1094_15	0
E1095_15	0
E1096_15	0
E1097_15	0
E1098_15	0
E1099_15	0
E1100_15	0
E1101_15	0
E1102_15	0
E1103_15	0
E1104_15	0
E1105_15	0
E1106_15	0
E1107_15	0
E1108_15	0
E1109_15	0
E1110_15	0
E1111_15	0
E1112_15	0
E1113_15	0
E1114_15	0
E1115_15	0
E1116_15	0
E1117_15	0
E1118_15	0
E1119_16	0
E1120_16	0
E1121_16	0
E1122_16	0
E1123_16	0
E1124_16	0
E1125_16	0
E1126_16	0
E1127_16	0
E1128_16	0
E1129_16	0
E1130_16	0
E1131_16	0
E1132_16	0
E1133_16	0
E1134_16	0
E1135_16	0
E1136_16	0
E1137_16	0
E1138_16	0
E1139_16	0
E1140_16	0
E1141_16	0
E1142_16	0
E1143_16	0
E1144_16	0
E1145_16	1
E1146_16	0
E1147_16	0
E1148_16	0
E1149_16	0
E1150_16	0
E1151_16	0
E1152_16	0
E1153_16	0
E1154_16	0
E1155_16	0
E1156_16	0
E1157_16	0
E1158_16	0
E1159_17	1
E1160_17	0
E1161_17	0
E1162_17	0
E1163_17	0
E1164_17	0
E1165_17	0
E1166_17	0
E1167_17	0
E1168_17	0
E1169_17	0
E1170_17	0
E1171_17	0
E1172_17	0
E1173_17	0
E1174_17	0
E1175_17	0
E1176_17	0
E1177_17	0
E1178_17	0
E1179_17	0
E1180_17	0
E1181_17	0
E1182_17	0
E1183_17	0
E1184_17	0
E1185_17	0
E1186_17	0
E1187_17	0
E1188_17	0
E1189_17	0
E1190_17	0
E1191_17	0
E1192_17	0
E1193_17	0
E1194_17	0
E1195_17	0
E1196_17	0
E1197_17	0
E1198_17	0
E1199_17	0
E1200_17	0
E1201_17	0
E1202_17	0
E1203_17	0
E1204_17	0
E1205_17	0
E1206_18	0
E1207_18	0
E1208_18	0
E1209_18	0
E1210_18	0
E1211_18	0
E1212_18	0
E1213_18	0
E1214_18	0
E1215_18	0
E1216_18	0
E1217_18	0
E1218_18	0
E1219_18	0
E1220_18	0
E1221_18	0
E1222_18	0
E1223_18	0
E1224_18	0
E1225_18	0
E1226_18	0
E1227_18	0
E1228_18	0
E1229_18	0
E1230_18	0
E1231_18	0
E1232_18	0
E1233_18	0
E1234_18	0
E1235_18	0
E1236_18	0
E1237_18	0
E1238_18	0
E1239_18	0
E1240_18	0
E1241_18	0
E1242_18	0
E1243_18	0
E1244_18	0
E1245_18	0
E1246_18	0
E1247_18	0
E1248_18	0
E1249_18	0
E1250_18	0
E1251_18	0
E1252_18	0
E1253_18	0
E1254_18	0
E1255_18	0
E1256_18	0
E1257_18	0
E1258_18	0
E1259_18	0
E1260_18	0
E1261_18	0
E1262_18	0
E1263_18	0
E1264_18	0
E1265_18	0
E1266_18	0
E1267_18	0
E1268_18	0
E1269_18	0
E1270_18	0
E1271_18	0
E1272_19	0
E1273_19	0
E1274_19	0
E1275_19	0
E1276_19	0
E1277_19	0
E1278_19	0
E1279_19	0
E1280_19	0
E1281_19	0
E1282_19	0
E1283_19	0
E1284_19	0
E1285_19	0
E1286_19	0
E1287_19	0
E1288_19	0
E1289_19	0
E1290_19	0
E1291_19	0
E1292_19	0
E1293_19	0
E1294_19	0
E1295_19	0
E1296_19	0
E1297_19	0
E1298_19	0
E1299_19	0
E1300_19	0
E1301_19	0
E1302_19	0
E1303_19	0
E1304_19	0
E1305_19	0
E1306_19	0
E1307_19	0
E1308_19	0
E1309_19	0
E1310_19	0
E1311_19	0
E1312_19	0
E1313_19	0
E1314_19	0
E1315_19	0
E1316_19	0
E1317_19	0
E1318_19	0
E1319_19	0
E1320_19	0
E1321_19	0
E1322_19	0
E1323_19	0
E1324_19	0
E1325_19	0
E1326_19	0
E1327_19	0
E1328_19	0
E1329_19	0
E1330_19	0
E1331_19	0
E1332_19	0
E1333_19	0
E1334_19	0
E1335_19	0
E1336_19	0
E1337_19	0
E1338_19	0
E1339_19	0
E1340_19	0
E1341_19	0
E1342_19	0
E1343_19	0
E1344_19	0
E1345_19	0
E1346_19	0
E1347_19	0
E1348_19	0
E1349_19	0
E1350_19	0
E1351_19	0
E1352_19	0
E1353_19	0
E1354_19	0
E1355_19	0
E1356_19	0
E1357_19	0
E1358_19	0
E1359_19	0
E1360_19	0
E1361_19	0
E1362_19	0
E1363_19	0
E1364_19	0
E1365_19	0
E1366_19	0
E1367_19	0
E1368_19	0
E1369_19	0
E1370_19	0
E1371_19	0
E1372_19	0
E1373_19	0
E1374_19	0
E1375_19	0
E1376_19	0
E1377_19	0
E1378_19	0
E1379_19	0
E1380_19	0
E1381_19	0
E1382_19	0
E1383_19	0
E1384_19	0
E1385_19	0
E1386_19	0
E1387_19	0
E1388_19	0
E1389_19	0
E1390_19	0
E1391_19	0
E1392_19	0
E1393_19	0
E1394_19	0
E1395_21	0
E1396_21	0
E1397_21	0
E1398_21	0
E1399_21	0
E1400_21	0
E1401_21	0
E1402_21	0
E1403_21	0
E1404_21	0
E1405_21	0
E1406_21	0
E1407_21	0
E1408_21	0
E1409_21	0
E1410_21	0
E1411_21	0
E1412_21	0
E1413_21	0
E1414_21	0
E1415_21	0
E1416_21	0
E1417_21	0
E1418_21	0
E1419_21	0
E1420_21	0
E1421_21	0
E1422_21	0
E1423_21	0
E1424_21	0
E1425_21	0
E1426_21	0
E1427_21	0
E1428_21	0
E1429_21	0
E1430_21	0
E1431_21	0
E1432_21	0
E1433_21	0
E1434_21	0
E1435_21	0
E1436_21	0
E1437_21	0
E1438_21	0
E1439_21	0
E1440_21	0
E1441_21	0
E1442_21	0
E1443_21	0
E1444_21	0
E1445_21	0
E1446_21	0
E1447_21	0
E1448_21	0
E1449_21	0
E1450_21	0
E1451_21	1
E1452_21	0
E1453_21	0
E1454_21	0
E1455_21	0
E1456_21	0
E1457_21	0
E1458_21	0
E1459_21	0
E1460_21	0
E1461_21	0
E1462_21	0
E1463_21	0
E1464_21	0
E1465_21	0
E1466_21	0
E1467_21	0
E1468_21	0
E1469_21	0
E1470_21	0
E1471_21	0
E1472_21	0
E1473_21	0
E1474_21	0
E1475_21	0
E1476_21	0
E1477_21	0
E1478_21	0
E1479_21	0
E1480_21	0
E1481_21	0
E1482_21	0
E1483_21	0
E1484_21	0
E1485_21	0
E1486_21	0
E1487_21	0
E1488_21	0
E1489_21	0
E1490_21	0
E1491_21	0
E1492_21	0
E1493_22	0
E1494_22	0
E1495_22	0
E1496_22	0
E1497_22	0
E1498_22	0
E1499_22	0
E1500_22	0
E1501_22	0
E1502_22	0
E1503_22	0
E1504_22	0
E1505_22	0
E1506_22	0
E1507_22	0
E1508_22	0
E1509_22	0
E1510_22	0
E1511_22	0
E1512_22	0
E1513_22	0
E1514_22	0
E1515_22	0
E1516_22	0
E1517_22	0
E1518_22	0
E1519_22	1
E1520_22	0
E1521_22	0
E1522_22	0
E1523_22	0
E1524_22	0
E1525_22	0
E1526_22	0
E1527_22	0
E1528_22	0
E1529_22	0
E1530_22	0
E1531_22	0
E1532_22	0
E1533_22	0
E1534_22	0
E1535_22	0
E1536_22	0
E1537_22	0
E1538_22	0
E1539_22	0
E1540_22	0
E1541_22	0
E1542_22	0
E1543_22	0
E1544_22	0
E1545_22	0
E1546_22	0
E1547_22	0
E1548_22	0
E1549_22	0
E1550_22	0
E1551_22	0
E1552_22	0
E1553_22	0
E1554_22	0
E1555_23	0
E1556_23	0
E1557_23	0
E1558_23	0
E1559_23	0
E1560_23	0
E1561_23	0
E1562_23	0
E1563_23	0
E1564_23	0
E1565_23	0
E1566_23	0
E1567_23	0
E1568_23	0
E1569_23	0
E1570_23	0
E1571_23	0
E1572_23	0
E1573_23	0
E1574_23	0
E1575_23	0
E1576_23	0
E1577_23	0
E1578_23	0
E1579_23	0
E1580_23	0
E1581_23	0
E1582_23	0
E1583_23	0
E1584_23	0
E1585_23	0
E1586_23	0
E1587_23	0
E1588_23	0
E1589_23	0
E1590_23	0
E1591_23	0
E1592_23	0
E1593_23	0
E1594_23	0
E1595_23	0
E1596_23	0
E1597_23	0
E1598_23	0
E1599_23	0
E1600_23	0
E1601_23	0
E1602_23	0
E1603_23	0
E1604_23	0
E1605_23	0
E1606_23	1
E1607_23	0
E1608_23	0
E1609_23	0
E1610_23	0
E1611_23	0
E1612_23	0
E1613_23	0
E1614_23	0
E1615_23	0
E1616_23	0
E1617_23	0
E1618_23	0
E1619_23	0
E1620_23	0
E1621_23	0
E1622_23	0
E1623_23	0
E1624_23	0
E1625_23	0
E1626_23	0
E1627_23	0
E1628_23	0
E1629_23	0
E1630_23	0
E1631_23	0
E1632_23	0
E1633_23	0
E1634_23	0
E1635_23	0
E1636_23	0
E1637_23	0
E1638_23	0
E1639_23	0
E1640_23	0
E1641_23	0
E1642_23	0
E1643_23	0
E1644_23	0
E1645_23	0
E1646_23	0
E1647_23	0
E1648_23	0
E1649_23	0
E1650_23	0
E1651_23	0
E1652_23	0
E1653_23	0
E1654_23	0
E1655_23	0
E1656_23	0
E1657_23	0
E1658_23	0
E1659_23	0
E1660_23	0
E1661_23	0
E1662_23	0
E1663_23	0
E1664_23	0
E1665_23	0
E1666_23	0
E1667_23	0
E1668_23	0
E1669_23	0
E1670_23	0
E1671_23	0
E1672_23	0
E1673_23	0
E1674_23	0
E1675_23	0
E1676_23	0
E1677_23	0
E1678_23	0
E1679_23	0
E1680_23	0
E1681_23	0
E1682_23	0
E1683_23	0
E1684_23	0
E1685_23	0
E1686_23	0
E1687_23	0
E1688_23	0
E1689_23	0
E1690_23	0
E1691_23	0
E1692_23	0
E1693_23	0
E1694_23	0
E1695_23	0
E1696_23	0
E1697_23	0
E1698_23	0
E1699_23	0
E1700_23	0
E1701_23	0
E1702_23	0
E1703_23	0
E1704_23	0
E1705_23	0
E1706_23	0
E1707_23	0
E1708_23	0
E1709_23	0
E1710_23	0
E1711_23	0
E1712_23	0
E1713_23	0
E1714_23	0
E1715_23	0
E1716_23	0
E1717_23	0
E1718_23	0
E1719_23	0
E1720_23	0
E1721_23	0
E1722_23	0
E1723_23	0
E1724_23	0
E1725_23	0
E1726_23	0
E1727_23	0
E1728_23	0
E1729_23	0
E1730_23	0
E1731_23	0
E1732_23	0
E1733_23	0
E1734_23	0
E1735_23	0
E1736_23	0
E1737_23	0
E1738_23	0
E1739_23	0
E1740_23	0
E1741_23	0
E1742_23	0
E1743_23	0
E1744_23	0
E1745_23	0
E1746_23	0
E1747_23	0
E1748_23	0
E1749_23	0
E1750_23	0
E1751_23	0
E1752_23	0
E1753_23	0
E1754_23	0
E1755_23	0
E1756_23	0
E1757_23	0
E1758_23	0
E1759_23	0
E1760_23	0
E1761_23	0
E1762_23	0
E1763_23	0
E1764_23	0
E1765_23	0
E1766_23	0
E1767_23	0
E1768_23	0
E1769_23	0
E1770_23	0
E1771_23	0
E1772_23	0
E1773_23	0
E1774_23	0
E1775_23	0
E1776_23	0
E1777_23	0
E1778_23	0
E1779_23	0
E1780_23	0
E1781_23	0
E1782_23	0
E1783_23	0
E1784_23	0
E1785_23	0
E1786_23	0
E1787_23	0
E1788_23	0
E1789_23	0
E1790_23	0
E1791_23	0
E1792_23	0
E1793_23	0
E1794_23	0
E1795_23	0
E1796_23	0
E1797_23	0
E1798_23	0
E1799_23	0
E1800_23	0
E1801_23	0
E1802_23	0
E1803_23	0
E1804_23	0
E1805_23	0
E1806_23	0
E1807_23	0
E1808_23	0
E1809_23	0
E1810_23	0
E1811_23	0
E1812_23	0
E1813_23	0
E1814_23	0
E1815_23	0
E1816_23	0
E1817_23	0
E1818_23	0
E1819_23	0
E1820_23	0
E1821_23	0
E1822_23	0
E1823_23	0
E1824_23	0
E1825_23	0
E1826_23	0
E1827_23	0
E1828_23	0
E1829_23	0
E1830_23	0
E1831_23	0
E1832_23	0
E1833_23	0
E1834_23	0
E1835_23	0
E1836_23	0
E1837_23	0
E1838_23	0
E1839_23	0
E1840_23	0
E1841_23	0
E1842_23	0
E1843_23	0
E1844_23	0
E1845_23	0
E1846_23	0
E1847_23	0
E1848_23	0
E1849_23	0
E1850_23	0
E1851_23	0
E1852_23	0
E1853_23	0
E1854_23	0
E1855_23	0
E1856_23	0
E1857_23	0
E1858_23	0
E1859_23	0
E1860_23	0
E1861_23	0
E1862_23	0
E1863_23	0
E1864_23	0
E1865_23	0
E1866_23	0
E1867_23	0
E1868_23	0
E1869_23	0
E1870_23	0
E1871_23	0
E1872_23	0
E1873_23	0
