Gene1,Gene2,Type
ASCL1,ATF4,+
EGR1,ATF4,+
ETS1,ATF4,+
FOS,ATF4,+
FOSB,ATF4,+
FOSL1,ATF4,+
FOSL2,ATF4,+
IRF9,ATF4,+
JUN,ATF4,+
JUNB,ATF4,+
KLF4,ATF4,+
NFE2L1,ATF4,+
NFIA,ATF4,+
NFIC,ATF4,+
NFYB,ATF4,+
NR2F2,ATF4,+
SP1,ATF4,+
STAT1,ATF4,+
STAT6,ATF4,+
TCF12,ATF4,+
TCF4,ATF4,+
EGR1,SP1,+
ETS1,SP1,+
KLF4,SP1,+
MAF,SP1,+
NFYB,SP1,+
NR2F2,SP1,+
SP1,SP1,+
TGIF1,SP1,+
TRP53,SP1,+
EBF1,TGIF1,+
EGR1,TGIF1,+
FOS,TGIF1,+
FOSB,TGIF1,+
FOSL1,TGIF1,+
FOSL2,TGIF1,+
IRF9,TGIF1,+
JUN,TGIF1,+
JUNB,TGIF1,+
KLF4,TGIF1,+
MAF,TGIF1,+
MYC,TGIF1,+
NFE2L1,TGIF1,+
NFIA,TGIF1,+
NFIC,TGIF1,+
NR2F2,TGIF1,+
RELA,TGIF1,+
SOX11,TGIF1,+
SOX9,TGIF1,+
SP1,TGIF1,+
TGIF1,TGIF1,+
ATF4,EGR1,+
EBF1,EGR1,+
EGR1,EGR1,+
ETS1,EGR1,+
FOS,EGR1,+
FOSB,EGR1,+
FOSL1,EGR1,+
FOSL2,EGR1,+
JUN,EGR1,+
JUNB,EGR1,+
KLF4,EGR1,+
MAF,EGR1,+
MYC,EGR1,+
NFYB,EGR1,+
NR2F2,EGR1,+
RELA,EGR1,+
SP1,EGR1,+
STAT1,EGR1,+
ZFP238,EGR1,+
EBF1,TCF4,+
EGR1,TCF4,+
KLF4,TCF4,+
MEF2A,TCF4,+
SP1,TCF4,+
EGR1,FOSL1,+
FOS,FOSL1,+
FOSB,FOSL1,+
FOSL1,FOSL1,+
FOSL2,FOSL1,+
JUN,FOSL1,+
JUNB,FOSL1,+
KLF4,FOSL1,+
NFIA,FOSL1,+
NFIC,FOSL1,+
SP1,FOSL1,+
TFDP1,FOSL1,+
EGR1,RELA,+
IRF9,RELA,+
NFIC,RELA,+
SP1,RELA,+
STAT1,RELA,+
ATF3,FOSL2,+
ATF4,FOSL2,+
EBF1,FOSL2,+
EGR1,FOSL2,+
ETS1,FOSL2,+
KLF4,FOSL2,+
MYC,FOSL2,+
NFYB,FOSL2,+
PLAGL1,FOSL2,+
SOX11,FOSL2,+
SOX9,FOSL2,+
SP1,FOSL2,+
EGR1,FOSB,+
HMGA2,FOSB,+
KLF4,FOSB,+
NFYB,FOSB,+
SP1,FOSB,+
STAT1,FOSB,+
TFDP1,FOSB,+
TGIF1,FOSB,+
MEF2A,MEF2A,+
MEF2C,MEF2A,+
EGR1,TFDP1,+
KLF4,TFDP1,+
MYC,TFDP1,+
NFYB,TFDP1,+
SP1,TFDP1,+
TGIF1,TFDP1,+
TRP53,TFDP1,+
ASCL1,JUNB,+
DDIT3,JUNB,+
EBF1,JUNB,+
EGR1,JUNB,+
ETS1,JUNB,+
FOS,JUNB,+
FOSB,JUNB,+
FOSL1,JUNB,+
FOSL2,JUNB,+
JUN,JUNB,+
JUNB,JUNB,+
KLF4,JUNB,+
MAF,JUNB,+
MYC,JUNB,+
NFIA,JUNB,+
NFIC,JUNB,+
NFYB,JUNB,+
NR2F2,JUNB,+
PLAGL1,JUNB,+
RELA,JUNB,+
SP1,JUNB,+
STAT1,JUNB,+
STAT6,JUNB,+
TCF12,JUNB,+
TCF4,JUNB,+
TFDP1,JUNB,+
TGIF1,JUNB,+
TRP53,JUNB,+
EGR1,ETS1,+
KLF4,ETS1,+
NFYB,ETS1,+
SP1,ETS1,+
EGR1,TCF12,+
FOS,TCF12,+
FOSB,TCF12,+
FOSL1,TCF12,+
FOSL2,TCF12,+
JUN,TCF12,+
JUNB,TCF12,+
KLF4,TCF12,+
MYC,TCF12,+
NFIA,TCF12,+
NFIC,TCF12,+
SP1,TCF12,+
STAT1,TCF12,+
ZFP238,TCF12,+
EGR1,STAT1,+
SP1,PRRX1,+
ASCL1,ZFP238,+
NR2F2,ZFP238,+
STAT1,ZFP238,+
TCF12,ZFP238,+
TCF4,ZFP238,+
NR2F2,ATF3,+
ETS1,NFIC,+
NR2F2,NFYB,+
SOX11,NFYB,+
EBF1,ASCL1,+
MYC,ASCL1,+
SP1,ASCL1,+
EGR1,HMGA2,+
NFIA,HMGA2,+
NFIC,HMGA2,+
NFYB,HMGA2,+
NR2F2,HMGA2,+
SP1,HMGA2,+
EGR1,EBF1,+
HMGA2,EBF1,+
KLF4,EBF1,+
NFE2L1,EBF1,+
NFYB,EBF1,+
SP1,EBF1,+
STAT1,EBF1,+
STAT6,EBF1,+
TRP53,EBF1,+
IRF9,NFE2L1,+
DDIT3,SOX9,+
EGR1,SOX9,+
ETS1,SOX9,+
FOS,SOX9,+
FOSB,SOX9,+
FOSL1,SOX9,+
FOSL2,SOX9,+
JUN,SOX9,+
JUNB,SOX9,+
KLF4,SOX9,+
MYC,SOX9,+
NFYB,SOX9,+
SP1,SOX9,+
STAT1,SOX9,+
EGR1,SOX11,+
MYC,SOX11,+
PLAGL1,SOX11,+
SP1,SOX11,+
NR2F2,IRF9,+
SOX11,IRF9,+
FOS,SP1,+
FOSB,SP1,+
FOSL1,SP1,+
FOSL2,SP1,+
JUN,SP1,+
JUNB,SP1,+
STAT1,SP1,+
NR2F2,TCF4,+
PLAGL1,TCF4,+
TRP53,FOSL1,+
KLF4,RELA,+
EGR1,KLF4,+
FOS,KLF4,+
FOSB,KLF4,+
FOSL1,KLF4,+
FOSL2,KLF4,+
JUN,KLF4,+
JUNB,KLF4,+
KLF4,KLF4,+
MYC,KLF4,+
SP1,KLF4,+
ATF3,JUN,+
EGR1,JUN,+
ETS1,JUN,+
MEF2A,JUN,+
MEF2C,JUN,+
NFIA,JUN,+
NFIC,JUN,+
PLAGL1,JUN,+
SP1,JUN,+
STAT1,JUN,+
STAT1,FOSL2,+
STAT6,FOSL2,+
EGR1,NR2F2,+
KLF4,NR2F2,+
MAF,NR2F2,+
NFE2L1,NR2F2,+
NR2F2,NR2F2,+
SP1,NR2F2,+
TRP53,NR2F2,+
NR2F2,TFDP1,+
NR2F2,MAF,+
SP1,MAF,+
STAT1,MAF,+
TGIF1,MAF,+
HBP1,ETS1,+
TRP53,ETS1,+
ETS1,TCF12,+
EGR1,PRRX1,+
ASCL1,NFIC,+
TCF4,NFIC,+
ASCL1,EBF1,+
MYC,EBF1,+
TCF12,EBF1,+
TCF4,EBF1,+
EBF1,SOX9,+
NR2F2,SOX9,+
EBF1,SOX11,+
FOS,SOX11,+
FOSB,SOX11,+
FOSL1,SOX11,+
FOSL2,SOX11,+
JUN,SOX11,+
JUNB,SOX11,+
KLF4,SOX11,+
TCF12,HBP1,+
TGIF1,HBP1,+
EGR1,FOS,+
KLF4,IRF9,+
NFYB,IRF9,+
SP1,IRF9,+
EBF1,MYC,+
STAT1,TGIF1,+
MYC,TCF4,+
ATF4,KLF4,+
TCF12,KLF4,+
ASCL1,FOSB,+
MYC,FOSB,+
TCF12,FOSB,+
TCF4,FOSB,+
EGR1,MEF2A,+
SP1,MEF2A,+
ATF3,MAF,+
ATF4,MAF,+
EGR1,MAF,+
KLF4,MAF,+
EBF1,TCF12,+
MYC,PLAGL1,+
SP1,PLAGL1,+
ETS1,NFYB,+
EGR1,ASCL1,+
ETS1,ASCL1,+
SOX11,HBP1,+
SOX9,HBP1,+
MYC,RELA,+
NR2F2,KLF4,+
IRF9,JUN,+
PLAGL1,NR2F2,+
PLAGL1,TCF12,+
ATF3,NFIC,+
STAT1,NFIC,+
TFDP1,NFIC,+
TRP53,NFIC,+
PLAGL1,HMGA2,+
NR2F2,STAT6,+
PLAGL1,SOX9,+
RELA,SOX9,+
TGIF1,SOX9,+
NR2F2,FOS,+
MAF,MYC,+
TGIF1,ATF4,+
ETS1,FOSL1,+
IRF9,FOSL1,+
MEF2A,FOSL1,+
NR2F2,FOSL1,+
STAT1,FOSL1,+
EBF1,KLF4,+
SOX9,KLF4,+
IRF9,FOSL2,+
NR2F2,FOSL2,+
KLF4,MEF2A,+
IRF9,NR2F2,+
MAF,ETS1,+
SOX11,TCF12,+
SOX9,TCF12,+
STAT1,HMGA2,+
MAF,HBP1,+
ATF3,FOS,+
MEF2A,TGIF1,+
ASCL1,EGR1,+
STAT6,EGR1,+
TCF12,EGR1,+
TCF4,EGR1,+
IRF9,JUNB,+
PLAGL1,STAT1,+
ETS1,ATF3,+
NFIC,STAT6,+
RELA,STAT6,+
ETS1,EBF1,+
IRF9,EBF1,+
RELA,NFE2L1,+
HMGA2,MEF2C,+
IRF9,MEF2C,+
TCF12,MEF2C,+
TCF12,TGIF1,+
IRF9,TCF4,+
RELA,TCF4,+
STAT1,TCF4,+
STAT6,TCF4,+
ASCL1,RELA,+
TCF12,RELA,+
TCF4,RELA,+
RELA,FOSL2,+
NR2F2,STAT1,+
MEF2A,ZFP238,+
EBF1,ATF3,+
FOS,PLAGL1,+
FOSB,PLAGL1,+
FOSL1,PLAGL1,+
FOSL2,PLAGL1,+
JUN,PLAGL1,+
JUNB,PLAGL1,+
NFYB,PLAGL1,+
IRF9,NFIC,+
ASCL1,DDIT3,+
RELA,DDIT3,+
TCF12,DDIT3,+
ETS1,FOS,+
NFIC,FOS,+
ZFP238,FOS,+
ASCL1,IRF9,+
TCF12,IRF9,+
TCF4,IRF9,+
TRP53,MYC,+
NFIA,EGR1,+
NFIC,EGR1,+
ETS1,TCF4,+
FOS,RELA,+
FOSB,RELA,+
FOSL1,RELA,+
FOSL2,RELA,+
JUN,RELA,+
JUNB,RELA,+
DDIT3,JUN,+
KLF4,JUN,+
NFYB,JUN,+
NR2F2,JUN,+
ATF4,FOSB,+
IRF9,FOSB,+
NR2F2,FOSB,+
RELA,FOSB,+
TRP53,FOSB,+
PLAGL1,TFDP1,+
EBF1,MAF,+
IRF9,MAF,+
NFYB,MAF,+
TCF12,MAF,+
TRP53,MAF,+
EBF1,ETS1,+
NFIA,ETS1,+
NFIC,ETS1,+
NR2F2,ETS1,+
STAT1,ETS1,+
KLF4,STAT1,+
MAF,ATF3,+
NFE2L1,ATF3,+
SOX11,STAT6,+
SOX11,FOS,+
HMGA2,IRF9,+
RELA,MYC,+
MAF,FOSL1,+
SOX11,MAF,+
MEF2A,ETS1,+
SOX11,ETS1,+
SOX9,ETS1,+
SOX11,EBF1,+
SOX9,EBF1,+
EBF1,FOS,+
NFYB,MYC,+
DDIT3,FOSB,+
MAF,FOSB,+
NFE2L1,FOSB,+
RELA,EBF1,+
STAT1,NFYB,+
STAT6,NFYB,+
EBF1,NFE2L1,+
MEF2A,NFE2L1,+
NR2F2,SOX11,+
ASCL1,NFE2L1,+
TCF12,NFE2L1,+
TCF4,NFE2L1,+
ATF3,ATF3,+
SOX9,ATF3,+
TGIF1,ATF3,+
HMGA2,PLAGL1,+
TRP53,PLAGL1,+
FOS,NFYB,+
FOSB,NFYB,+
FOSL1,NFYB,+
FOSL2,NFYB,+
JUN,NFYB,+
JUNB,NFYB,+
ATF4,DDIT3,+
EBF1,STAT6,+
SOX9,STAT6,+
MAF,NFE2L1,+
HMGA2,SOX11,+
MEF2A,HBP1,+
MEF2C,HBP1,+
EBF1,SP1,+
DDIT3,KLF4,+
RELA,KLF4,+
EBF1,JUN,+
PLAGL1,MEF2A,+
MYC,NR2F2,+
RELA,NR2F2,+
STAT1,NR2F2,+
FOS,TFDP1,+
FOSB,TFDP1,+
FOSL1,TFDP1,+
FOSL2,TFDP1,+
JUN,TFDP1,+
JUNB,TFDP1,+
MAF,TFDP1,+
NFE2L1,TFDP1,+
STAT1,TFDP1,+
KLF4,PRRX1,+
NR2F2,RELA,+
PRRX1,JUN,+
NFIA,FOSL2,+
NFIC,FOSL2,+
STAT1,ATF3,+
NFIA,FOSB,+
NFIC,FOSB,+
NFIA,NR2F2,+
NFIC,NR2F2,+
HBP1,ATF3,+
HBP1,DDIT3,+
ZFP238,HBP1,+
STAT1,MEF2A,+
STAT6,MEF2A,+
SOX11,JUNB,+
SOX9,JUNB,+
STAT1,STAT6,+
HBP1,KLF4,+
TCF4,KLF4,+
NFIA,PRRX1,+
NFIC,PRRX1,+
FOS,HMGA2,+
FOSB,HMGA2,+
FOSL1,HMGA2,+
FOSL2,HMGA2,+
JUN,HMGA2,+
JUNB,HMGA2,+
KLF4,HMGA2,+
EBF1,NR2F2,+
SOX11,NR2F2,+
SOX9,NR2F2,+
IRF9,ETS1,+
FOS,ASCL1,+
FOSB,ASCL1,+
FOSL1,ASCL1,+
FOSL2,ASCL1,+
JUN,ASCL1,+
JUNB,ASCL1,+
NFIA,ASCL1,+
NFIC,ASCL1,+
NFYB,ASCL1,+
TRP53,SOX9,+
TRP53,TCF4,+
EGR1,NFIA,+
KLF4,NFIA,+
SP1,NFIA,+
ZFP238,STAT1,+
TGIF1,FOS,+
MEF2C,TCF4,+
PLAGL1,FOSB,+
MAF,KLF4,+
TGIF1,JUN,+
HBP1,STAT1,+
TRP53,ZFP238,+
HMGA2,HMGA2,+
SOX11,TCF4,+
SOX9,TCF4,+
MEF2A,NFIA,+
MYC,NFIA,+
