	dim1	dim2
E4_12_51	12.798941	-24.96754
E4_12_52	14.699924	-25.439766
E4_12_53	13.338911	-25.855228
E4_12_54	20.59418	-24.822115
E4_12_55	17.627434	-27.6885
E4_12_56	14.506292	-26.320702
E4_12_57	15.520753	-27.753174
E4_12_58	17.371094	-26.42173
E4_12_59	18.041304	-22.313461
E4_12_60	15.473397	-22.273022
E4_12_61	9.655111	-25.441374
E4_12_62	15.908442	-21.522655
E4_12_63	12.833332	-25.469807
E4_12_64	20.02734	-23.688963
E4_12_65	19.996561	-26.818293
E4_12_66	19.72085	-28.84113
E4_12_67	19.26099	-19.03361
E4_12_68	15.370779	-25.445663
E4_12_69	14.413932	-23.022589
E4_12_70	16.52965	-21.041979
E4_12_71	19.888487	-20.273066
E4_12_72	16.254227	-28.13712
E4_12_73	18.821001	-21.568443
E4_12_74	15.018604	-24.243052
E4_12_75	22.463964	-26.804964
E4_12_76	18.90934	-18.978914
E4_12_77	17.093092	-24.863317
E4_12_78	16.613987	-29.549906
E4_12_79	15.878203	-23.988472
E4_12_80	20.093864	-28.84183
E4_12_81	16.738907	-16.79653
E4_12_82	18.740118	-29.750854
E4_12_83	18.655964	-25.34032
E4_12_84	15.017314	-24.975088
E4_12_85	21.726875	-21.992552
E4_12_86	17.654648	-25.593853
E4_12_87	20.505135	-22.603632
E4_12_88	19.01833	-28.382286
E4_12_89	15.988715	-27.897478
E4_12_90	19.17561	-23.865822
E4_12_91	13.744734	-28.25854
E4_12_92	18.093714	-25.871933
E4_12_93	19.103619	-28.618736
E4_12_94	16.132067	-26.819223
E4_12_95	14.788489	-26.52983
E4_12_96	16.586025	-21.750475
E4_12_97	17.454947	-28.028826
E4_12_98	18.10459	-28.860119
E4_12_99	17.924915	-24.635908
E4_12_100	18.099827	-28.61467
E4_12_101	17.504848	-28.795252
E5_24_0	10.078962	-30.544596
E5_24_1	10.356072	-30.717522
E5_24_2	15.604127	-21.42597
E5_24_3	10.072042	-29.583221
E5_24_4	7.804152	-31.750465
E5_24_5	9.384771	-28.906607
E5_24_6	12.143695	-33.395744
E5_24_7	8.291331	-29.627438
E5_24_8	13.644777	-31.390547
E5_24_9	7.7699327	-34.388725
E5_24_10	9.964533	-31.375914
E5_24_11	6.4009557	-32.705677
E5_24_12	7.893796	-30.48626
E5_24_13	11.044334	-30.468966
E5_24_14	11.616076	-28.186535
E5_24_15	8.661038	-29.89165
E5_24_16	9.069769	-30.701519
E5_24_17	11.477674	-31.481556
E5_24_18	11.789859	-30.13315
E5_24_19	10.100205	-26.830061
E5_24_20	9.74748	-33.777264
E5_24_21	10.180436	-30.72518
E5_24_22	7.937815	-31.51011
E5_24_23	10.63996	-31.701344
E5_24_24	13.407364	-29.666868
E5_24_25	9.4280815	-31.333866
E5_24_26	8.211593	-28.960583
E5_24_27	11.214593	-31.601587
E5_24_28	7.4549494	-29.737846
E5_24_29	10.377435	-31.567486
E5_24_30	5.4640675	-32.45313
E5_24_31	6.6811767	-29.78373
E5_24_32	6.526815	-31.330925
E5_24_33	9.678268	-30.055222
E5_24_34	11.297272	-32.898167
E5_24_35	11.719467	-30.620432
E5_24_36	8.055535	-26.341696
E5_24_37	11.276316	-31.261673
E5_24_38	7.6077614	-30.380949
E5_24_39	11.083072	-28.952446
E5_24_40	7.352043	-31.989775
E5_24_41	9.292556	-32.12175
E5_24_42	12.1472435	-32.22624
E5_24_43	9.8602085	-32.81695
E5_24_44	11.8717	-31.713097
E5_24_45	8.252376	-26.420227
E5_24_46	7.870422	-32.369114
E5_24_47	10.564394	-34.3755
E5_24_48	11.62504	-29.671312
E5_24_49	8.340259	-28.510498
E5_24_50	10.133674	-28.024128
E5_24_51	7.133098	-30.820766
E5_24_52	7.801693	-34.324024
E5_24_53	9.259984	-33.121708
E5_24_54	6.991915	-28.183092
E5_24_55	6.478175	-29.927845
E5_24_56	5.729146	-30.206863
E5_24_57	13.54706	-29.721365
E5_24_58	9.02591	-32.47963
E5_24_59	8.636008	-26.487295
E5_24_60	15.355758	-30.82702
E5_24_61	8.360798	-31.333176
E5_24_62	10.861866	-32.33936
E5_24_63	9.003032	-29.299328
E5_24_64	5.649177	-32.420803
E5_24_65	7.5734324	-33.246643
E2_36_0	2.4176269	11.434655
E2_36_1	1.2675898	11.297909
E2_36_2	-3.7718117	12.606392
E2_36_3	-3.686649	14.696451
E2_36_4	-0.97831315	12.999087
E2_36_5	-1.489678	11.713379
E2_36_6	1.9225597	20.967781
E2_36_7	-17.39195	3.5248995
E2_36_8	-3.9636433	11.344949
E2_36_9	0.76250595	25.084904
E2_36_10	-0.31124204	25.398687
E2_36_11	3.845998	22.79081
E2_36_12	2.8616018	24.393324
E2_36_13	-0.8321478	11.354783
E2_36_14	0.86762726	22.608496
E2_36_15	2.6157672	19.137655
E2_36_16	2.4801826	11.29829
E2_36_17	1.439061	18.227423
E2_36_18	-2.5959113	22.623846
E2_36_19	-12.02476	12.307756
E2_36_20	-8.613477	12.678499
E2_36_21	1.3754846	21.956396
E2_36_22	2.1199174	17.747847
E2_36_23	-1.1995817	14.801974
E2_36_24	1.4319121	23.63028
E2_36_25	-2.778304	12.558218
E2_36_26	-1.5440853	11.465918
E2_36_27	0.3831659	23.942099
E2_36_28	4.2190785	21.764563
E2_36_29	1.2608382	10.029681
E2_36_30	-2.0477667	13.604457
E2_36_31	-1.4677277	12.718938
E2_36_32	-1.417109	14.537819
E2_36_33	6.4629855	23.453575
E2_36_34	0.14343621	20.91168
E2_36_35	-2.029236	22.778982
E2_36_36	-8.732814	11.664677
E2_36_37	-0.41253957	16.62613
E2_36_38	10.403057	16.253384
E2_36_39	-1.2085007	21.732319
E2_36_40	-3.8654428	12.790565
E2_36_41	-4.6042633	10.926944
E2_36_42	9.006566	16.858873
E2_36_43	-0.1796483	25.307117
E2_36_44	4.081579	9.845826
E2_36_45	-1.8512276	22.611202
E2_36_46	-0.30560657	18.404427
E2_36_47	-12.390509	13.759227
E2_36_48	-4.176608	11.468946
E2_36_49	-1.255797	9.198506
E2_36_50	9.089636	21.488056
E2_36_51	8.48877	17.215597
E2_36_52	1.6998525	18.114288
E2_36_53	0.021285621	13.275008
E2_36_54	2.2580326	23.61832
E2_36_55	9.398091	14.526464
E2_36_56	-0.091636896	19.299969
E2_36_57	2.7696545	24.199356
E2_36_58	9.42462	14.515102
E2_36_59	-0.11815091	19.303694
E2_36_60	-3.074981	14.8057995
E2_36_61	5.862553	15.474179
E2_36_62	7.488424	20.358526
E2_36_63	5.821426	19.378582
E2_36_64	6.782088	20.958174
E2_36_65	1.8188667	16.45077
E2_36_66	-2.091091	19.239006
E2_36_67	7.3297634	18.58449
E2_36_68	5.872801	21.412163
E2_36_69	6.6035347	18.907936
E2_36_70	7.305392	16.542889
E2_36_71	-11.960588	13.401012
E2_36_72	3.8276486	12.890272
E2_36_73	-5.786505	20.408424
E2_36_74	7.2229824	17.033037
E2_36_75	7.121463	17.901669
E2_36_76	-1.7881886	15.772477
E2_36_77	1.225893	20.93746
E2_36_78	6.2760987	11.686818
E2_36_79	3.8281856	15.731331
E2_36_80	-12.100918	13.799619
E2_36_81	3.9623253	19.297817
E2_36_82	5.847251	19.973457
E2_36_83	4.170017	15.766596
E2_36_84	4.2338514	20.699596
E2_36_85	-11.328708	13.842819
E2_36_86	8.8344145	19.85768
E2_36_87	7.055667	17.849052
E2_36_88	-5.787126	20.373047
E2_36_89	0.6259885	14.084568
E2_36_90	3.7278938	12.535855
E2_36_91	7.396734	21.876928
E2_36_92	-2.3647397	15.487625
E2_36_93	-2.5066009	15.998304
E2_36_94	4.9598174	17.56958
E2_36_95	2.1710942	12.886128
E2_36_96	5.2697644	14.130809
E2_36_97	-0.5993904	19.676332
E2_36_98	5.4944625	18.810833
E2_36_99	2.7776961	18.680843
E2_36_100	1.9940025	15.407124
E2_36_101	3.1303098	19.869144
E2_36_102	2.3738437	19.772112
E2_36_103	6.3019037	22.805624
E2_36_104	8.505371	18.277807
E2_36_105	2.9468224	20.462048
E2_36_106	2.7730937	16.401392
E2_36_107	2.652976	14.838599
E2_36_108	0.01018361	15.316252
E2_36_109	5.7038326	17.115387
E2_36_110	-4.774409	9.192508
E2_36_111	7.009929	14.272217
E2_36_112	4.564304	19.471579
E2_36_113	-1.769858	12.081038
E2_36_114	3.4501529	18.045036
E2_36_115	5.1149917	13.981896
E2_36_116	5.3870263	16.002892
E2_36_117	2.6346357	18.188326
E2_36_118	5.3779445	16.740967
E2_36_119	5.201735	19.849785
E2_36_120	3.8655267	17.060081
E2_36_121	8.810267	18.92572
E2_36_122	5.727147	18.25841
E2_36_123	3.0709763	17.912342
E2_36_124	0.6736585	17.917645
E2_36_125	4.43986	18.135029
E2_36_126	-7.560249	11.961746
E2_36_127	-0.10044882	23.943731
E2_36_128	4.972307	24.731636
E2_36_129	4.8718677	18.535519
E2_36_130	0.72083455	10.486575
E2_36_131	1.4196118	17.119972
E2_36_132	0.41466317	13.1435
E2_36_133	6.795194	13.2622595
E2_36_134	5.877641	18.713665
E2_36_135	3.3626256	17.160423
E2_36_136	1.4468374	15.621045
E2_36_137	1.8363218	15.008789
E2_36_138	3.1258364	18.668856
E2_36_139	0.45226648	16.950695
E2_36_140	4.328655	12.910234
E2_36_141	6.7442155	14.966514
E2_36_142	3.008811	19.247927
E2_36_143	7.2232513	14.089566
E2_36_144	2.0267673	21.399002
E2_36_145	-0.007329968	16.743717
E2_36_146	-6.9007964	19.573391
E2_36_147	-1.1209224	12.925205
E2_36_148	3.688257	13.831144
E2_36_149	4.105087	18.463049
E2_36_150	2.7706196	21.907932
E2_36_151	1.8658303	19.375427
E2_36_152	5.20754	18.346424
E2_36_153	4.5480103	16.63108
E2_36_154	5.2400355	21.01565
E2_36_155	3.774934	14.006196
E2_36_156	6.3909254	17.302109
E2_36_157	6.3208985	22.642838
E2_36_158	4.967146	12.427164
E2_36_159	2.3049538	12.961567
E2_36_160	2.1747513	16.855455
E2_36_161	2.6823664	17.00518
E2_36_162	-6.1498017	15.31067
E2_36_163	-5.327969	20.697184
E2_36_164	-11.560114	13.751245
E2_36_165	9.935692	14.739936
E2_36_166	5.9738693	16.138826
E2_36_167	-12.130807	12.645152
E2_36_168	3.2517676	16.303202
E2_36_169	3.8014517	14.289681
E2_36_170	4.068179	17.566273
E2_36_171	3.9613686	21.457281
E3_72_0	-15.682828	11.952951
E3_72_1	-13.826896	-2.660124
E3_72_2	-10.3563595	1.4584292
E3_72_3	-16.973368	13.257154
E3_72_4	-10.050816	1.0210904
E3_72_5	-20.132872	1.9364399
E3_72_6	-13.61112	4.0753355
E3_72_7	-10.320607	-0.05134964
E3_72_8	-15.007267	7.007659
E3_72_9	-17.228865	0.02071129
E3_72_10	-6.975909	3.3530416
E3_72_11	-19.669394	-0.8542962
E3_72_12	-5.5214725	6.1376615
E3_72_13	-13.548595	2.6912792
E3_72_14	-15.275685	1.8783277
E3_72_15	-21.766125	11.481509
E3_72_16	-15.4271555	6.146595
E3_72_17	-13.403675	-5.0588336
E3_72_18	-13.193689	2.0186224
E3_72_19	-20.309124	8.374557
E3_72_20	-18.500563	10.457565
E3_72_21	-19.19987	11.145663
E3_72_22	-15.287009	-0.9657799
E3_72_23	-9.137133	7.5298133
E3_72_24	-12.26177	0.83493966
E3_72_25	-12.795406	-1.8696756
E3_72_26	-11.480575	0.18842854
E3_72_27	-14.767566	3.3723657
E3_72_28	-17.494085	7.046015
E3_72_29	-11.405293	-4.6878495
E3_72_30	-5.1787014	17.344156
E3_72_31	-16.828392	2.0780842
E3_72_32	-5.417905	-0.64777476
E3_72_33	-6.748176	-0.8071711
E3_72_34	-10.653407	-1.6449413
E3_72_35	-4.302899	-0.24099146
E3_72_36	-15.423906	-1.1110556
E3_72_37	-19.5684	4.3957334
E3_72_38	-18.502111	2.2256696
E3_72_39	-4.728661	4.506596
E3_72_40	-17.072498	2.9504755
E3_72_41	-14.784306	-1.1340152
E3_72_42	-13.987788	-1.54772
E3_72_43	-14.230322	-0.61078894
E3_72_44	-6.556154	11.0136175
E3_72_45	-9.634644	2.433253
E3_72_46	-16.543804	1.5663092
E3_72_47	-13.755071	2.4269104
E3_72_48	-14.193052	-1.9402544
E3_72_49	-9.78672	4.658951
E3_72_50	-20.583038	3.7270968
E3_72_51	-9.648534	2.6536193
E3_72_52	-16.882166	-0.07249101
E3_72_53	-18.503832	0.5235804
E3_72_54	-19.124672	5.7834344
E3_72_55	-6.919298	1.8290738
E3_72_56	-18.356441	-0.5929863
E3_72_57	-17.63906	1.3772166
E3_72_58	-18.532927	-2.778112
E3_72_59	-13.105386	-2.0132642
E3_72_60	-18.36649	3.0712616
E3_72_61	-11.331159	0.71121264
E3_72_62	-9.254783	3.471786
E3_72_63	-8.141133	-6.2166467
E3_72_64	-13.764888	0.33356333
E3_72_65	-4.802423	4.978609
E3_72_66	-25.270983	-1.9330205
E3_72_67	-7.9254336	2.1595979
E3_72_68	-8.840087	1.9622228
E3_72_69	-18.09422	7.6789527
E3_72_70	-13.809075	6.8389273
E3_72_71	-12.349454	2.0946584
E3_72_72	-8.828534	-2.3090153
E3_72_73	-5.875354	-3.3209536
E3_72_74	-18.371094	4.63009
E3_72_75	-0.40087637	8.064664
E3_72_76	-9.673895	4.756081
E3_72_77	-15.903684	3.747345
E3_72_78	-6.7498875	3.4530914
E3_72_79	-15.279311	-5.2696958
E3_72_80	-6.1890035	-0.9910708
E3_72_81	-16.002012	5.078638
E3_72_82	-23.446941	8.275648
E3_72_83	-17.319632	9.634185
E3_72_84	-14.819467	-0.4105082
E3_72_85	-11.348517	2.174628
E3_72_86	-6.707808	7.303755
E3_72_87	-13.1932125	1.3584244
E3_72_88	-18.15745	11.463381
E3_72_89	-21.22221	8.02996
E3_72_90	-6.7990694	6.585909
E3_72_91	-0.80864626	8.008324
E3_72_92	-7.191884	9.661212
E3_72_93	-12.224706	-0.6518523
E3_72_94	-16.787796	-4.1415844
E3_72_95	-12.019431	-2.9345627
E3_72_96	-7.794728	6.050008
E3_72_97	-11.399615	4.7119465
E3_72_98	-13.943348	10.91218
E3_72_99	-14.577107	1.9974635
E3_72_100	-7.9837074	2.9674754
E3_72_101	-19.038942	1.4730638
E3_72_102	-6.8631315	4.511446
E3_72_103	-12.208197	-1.6315618
E3_72_104	-11.518216	-1.3470683
E3_72_105	-15.63174	4.005781
E3_72_106	-4.242275	17.598207
E3_72_107	-20.041924	1.9542873
E3_72_108	-20.750359	2.047404
E3_72_109	-5.776076	1.186072
E3_72_110	-15.580696	8.298455
E3_72_111	-18.165546	3.4541614
E3_72_112	-10.818253	-3.3211334
E3_72_113	-7.008565	9.847711
E3_72_114	-17.65059	2.6199894
E3_72_115	-11.682107	7.65482
E3_72_116	-13.033305	-0.337173
E3_72_117	-10.79019	2.4767091
E3_72_118	-17.369091	6.170751
E3_72_119	-8.853878	2.1933503
E3_72_120	-4.133192	16.746601
E3_72_121	-13.649199	7.0412064
E3_72_122	-12.827324	-0.64246607
E3_72_123	-8.354768	1.6207855
E3_72_124	-16.58662	2.3275795
E3_72_125	-10.309069	3.106445
E3_72_126	-10.794364	-0.028664773
E3_72_127	-10.112225	8.406331
E3_72_128	-5.6640596	1.2438468
E3_72_129	-7.1910396	12.394802
E3_72_130	-10.3503895	4.743947
E3_72_131	-12.71798	3.0289693
E3_72_132	-14.345221	2.1872432
E3_72_133	-13.631826	4.1741495
E3_72_134	-10.325425	-3.5355105
E3_72_135	-15.0244665	2.088498
E3_72_136	-20.393013	2.418621
E3_72_137	-7.1301293	-2.7927933
E1_96_0	-20.314703	-5.4233594
E1_96_1	-20.615566	14.392266
E1_96_2	-24.518406	3.828534
E1_96_3	-19.08079	-8.018196
E1_96_4	-25.134388	4.001048
E1_96_5	-24.668776	9.395269
E1_96_6	-25.482475	3.3473823
E1_96_7	-0.2904798	5.637554
E1_96_8	-12.371203	5.9929376
E1_96_9	-23.0929	-3.6266472
E1_96_10	-11.360123	3.5982215
E1_96_11	-8.805314	-3.4071755
E1_96_12	-20.562922	-5.0095057
E1_96_13	-22.787598	2.78968
E1_96_14	-20.827763	13.346909
E1_96_15	-22.103397	-3.8050046
E1_96_16	-14.486314	14.094696
E1_96_17	-23.189554	1.6322395
E1_96_18	-5.591792	-1.7854751
E1_96_19	-21.23692	-3.5842948
E1_96_20	-13.068005	-5.5614753
E1_96_21	-24.887888	0.9236093
E1_96_22	-20.16854	15.255315
E1_96_23	-2.0643473	17.95492
E1_96_24	-8.780481	0.40598997
E1_96_25	-23.292725	14.287067
E1_96_26	-16.22876	-8.6979265
E1_96_27	-17.64695	-5.0410624
E1_96_28	-26.027134	1.380047
E1_96_29	-14.734351	-6.8321333
E1_96_30	-2.470641	19.986502
E1_96_31	-1.3649445	17.444822
E1_96_32	-18.57972	-1.3262007
E1_96_33	-20.284904	0.8195397
E1_96_34	-19.580097	3.222339
E1_96_35	-25.294357	-1.9610531
E1_96_36	-13.655821	16.942293
E1_96_37	-14.8668375	9.784605
E1_96_38	-2.9559686	19.246416
E1_96_39	-23.890556	9.298225
E1_96_40	-24.65862	0.77340555
E1_96_41	-19.830767	-3.235811
E1_96_42	-4.468619	14.501866
E1_96_43	-8.4021435	16.335318
E1_96_44	-22.811462	2.864151
E1_96_45	-23.398846	4.0814185
E1_96_46	-19.637959	-7.8342266
E1_96_47	-20.717169	15.4103565
E1_96_48	-21.648933	-5.7887645
E1_96_49	-21.880821	12.909079
E1_96_50	-26.20553	8.853583
E1_96_51	-14.154456	13.863463
E1_96_52	-16.126093	10.767397
E1_96_53	-17.212997	-5.4121757
E1_96_54	-17.779991	-1.991822
E1_96_55	-12.510761	17.399488
E1_96_56	-16.060051	9.075302
E1_96_57	-17.084259	-7.5115156
E1_96_58	1.1699795	19.494343
E1_96_59	-0.94170505	7.8059564
E1_96_60	-14.053859	8.536804
E1_96_61	-24.666735	10.04636
E1_96_62	-8.830751	-0.48143196
E1_96_63	-18.495876	-6.431311
E1_96_64	-16.102448	-5.992142
E1_96_65	-16.679098	4.463751
E1_96_66	-19.919142	16.123604
E1_96_67	-19.58686	12.879521
E1_96_68	-23.053022	9.684723
E1_96_69	-20.649773	14.445655
E1_96_70	-11.956308	-7.418231
E1_96_71	-15.684762	17.29
E1_96_72	-24.668394	4.7440634
E1_96_73	-18.405083	14.86384
E1_96_74	2.6999922	7.0097437
E1_96_75	-14.170244	17.880411
E1_96_76	-16.934143	-2.5011904
E1_96_77	-10.985785	6.327394
E1_96_78	-22.33081	10.40501
E1_96_79	-12.869632	-3.6727085
E1_96_80	-17.659822	10.615936
E1_96_81	-14.6156435	1.0134398
E1_96_82	-20.33916	-5.0993023
E1_96_83	-18.518328	11.547547
E1_96_84	-6.75394	-0.9686386
E1_96_85	-14.793025	-2.380498
E1_96_86	-16.724176	1.7057875
E1_96_87	-14.164737	1.5476633
E1_96_88	-19.321362	11.55914
E1_96_89	-19.811749	-0.8874315
E1_96_90	-15.721973	-2.9439673
E1_96_91	-7.395002	13.516251
E1_96_92	-22.041166	-0.8547108
E1_96_93	-15.573549	5.4509788
E1_96_94	-7.0539064	12.22027
E1_96_95	-9.118029	6.370021
E1_96_96	-4.620886	4.236986
E1_96_97	-16.161364	1.053879
E1_96_98	-20.024355	7.0044403
E1_96_99	-17.505604	8.434893
E1_96_100	-7.511255	-1.1850922
E1_96_101	-12.480966	15.386188
E1_96_102	-13.974128	3.0059905
E1_96_103	-18.216522	14.228179
E1_96_104	-17.114153	-0.6162476
E1_96_105	-9.7157135	-0.9614289
E1_96_106	-14.730671	2.6893537
E1_96_107	-15.043635	6.9987464
E1_96_108	-17.793804	4.998408
E1_96_109	-16.222515	-2.074077
E1_96_110	-8.104009	-6.26013
E1_96_111	-15.511863	-6.274734
E1_96_112	-14.82743	16.384626
E1_96_113	-21.822836	10.745958
E1_96_114	-19.366354	11.316542
E1_96_115	-17.809795	7.991734
E1_96_116	-19.587696	8.439643
E1_96_117	-15.230442	0.13021009
E1_96_118	-15.075264	15.989142
E1_96_119	-7.5553894	6.128607
E1_96_120	-17.619942	-3.616651
E1_96_121	-18.091476	-3.639065
E1_96_122	-21.433628	11.184114
E1_96_123	-5.848597	0.027160997
E1_96_124	-16.38499	11.39009
E1_96_125	-8.905938	6.6053386
E1_96_126	-17.129143	-1.7962024
E1_96_127	-16.607319	-2.0596628
E1_96_128	-20.27501	7.0050116
E1_96_129	-24.712763	11.844762
E1_96_130	-14.619393	16.838676
E1_96_131	-14.175946	0.48839203
E1_96_132	-18.72792	7.574459
E1_96_133	-18.625214	-4.144979
E1_96_134	-26.942686	6.818972
E1_96_135	-20.191246	9.673925
E1_96_136	-22.628412	5.5941095
E1_96_137	-22.056425	13.126296
E1_96_138	-23.219501	6.784655
E1_96_139	-12.069406	9.388661
E1_96_140	-10.082976	10.435922
E1_96_141	-8.020602	8.301488
E1_96_142	-24.370827	6.6175365
E1_96_143	-12.385261	9.159594
E1_96_144	-20.099518	11.596739
E1_96_145	-21.055693	3.9372578
E1_96_146	-21.615507	6.054096
E1_96_147	-26.022493	7.5492477
E1_96_148	-19.489342	6.1471767
E1_96_149	-5.770525	13.273047
E1_96_150	-21.046047	11.169483
E1_96_151	-12.92739	17.228374
E1_96_152	-14.835527	16.709938
E1_96_153	-21.250439	9.560187
E1_96_154	-23.193577	11.204635
E1_96_155	-11.063339	10.108815
E1_96_156	-16.000298	-0.39854
E1_96_157	-14.779495	14.2960005
E1_96_158	-21.978186	8.155409
E1_96_159	-14.728249	-4.8459
E1_96_160	-25.972965	7.6759133
E1_96_161	-21.643095	5.111768
E1_96_162	-16.406218	7.4385066
E1_96_163	-18.557419	12.127226
E1_96_164	-21.918993	7.130831
E1_96_165	-24.172022	6.3471346
E1_96_166	-25.092365	6.6562443
E1_96_167	-14.326154	4.4325566
E1_96_168	-20.881033	5.9340534
E1_96_169	-14.059386	6.1703544
E1_96_170	-14.36117	-3.68679
E1_96_171	-16.427908	3.4848392
E1_96_172	-19.760153	-3.1838148
E1_96_173	-22.039904	6.417473
E1_96_174	-17.419664	12.089211
E1_96_175	-27.2566	5.5169425
E1_96_176	-14.304726	-4.567727
E1_96_177	-10.701304	-6.1500525
E1_96_178	-22.329067	0.5006316
E1_96_179	-23.024137	12.84483
E1_96_180	-22.320848	-0.949839
E1_96_181	-20.853682	5.8362556
E1_96_182	-19.593906	10.006387
E1_96_183	-21.121145	-1.6899453
E1_96_184	-15.472066	-3.1510181
E1_96_185	-21.118046	9.730652
E1_96_186	-20.833176	6.6061645
E1_96_187	-16.116203	0.7713488
