Gene1,Gene2,Type
SOX2,ETV6,+
BHLHE40,LEF1,+
HAND1,LEF1,+
MYCN,LEF1,+
LEF1,MAF,+
MEIS2,MAF,+
TCF7,MAF,+
CEBPZ,MYCN,+
E2F4,MYCN,+
NANOG,MYCN,+
PRDM1,MYCN,+
TFAP2A,MYCN,+
ZFX,MYCN,+
MAF,T,+
NFE2L3,T,+
BHLHE40,ARID3A,+
HAND1,ARID3A,+
MYCN,ARID3A,+
E2F4,MEIS2,+
TFAP2A,SOX11,+
TFAP2A,TFAP2A,+
NANOG,ZFX,+
NANOG,ARID3A,+
CEBPZ,ETV6,+
NFIB,ETV6,+
SMAD2,ETV6,+
SMAD7,ETV6,+
SRF,ETV6,+
GATA4,LEF1,+
SOX11,LEF1,+
SOX2,LEF1,+
SOX5,LEF1,+
SRF,T,+
TFAP2A,T,+
ZEB1,T,+
ZFX,T,+
PRDM1,TFAP2A,+
PRDM1,ZEB1,+
JUND,E2F4,+
JUND,FOXH1,+
JUND,GATA3,+
PITX2,GATA3,+
GATA3,GATA6,+
SATB1,GATA6,+
MEIS2,HOXB6,+
SHOX2,NFE2L3,+
TFAP2A,PITX2,+
LEF1,SMAD2,+
TCF7,SMAD2,+
MYCN,SOX11,+
JUND,TCF7,+
CEBPZ,GATA3,+
NFIB,GATA3,+
TFAP2A,HAND1,+
ZFX,HAND1,+
BHLHE40,IRX3,+
HAND1,IRX3,+
MYCN,IRX3,+
ZIC3,MEIS2,+
TFAP2A,MSX2,+
JUND,NFE2L3,+
NANOG,NFE2L3,+
POU5F1,NFE2L3,+
NANOG,NFIB,+
MAF,SOX11,+
CEBPZ,SOX2,+
IRX3,SOX2,+
NANOG,SOX2,+
SHOX2,SOX2,+
ZIC3,SRF,+
MAF,TCF7,+
NFE2L3,TCF7,+
ZFP42,ZIC3,+
ZFX,ZIC3,+
CEBPZ,GATA4,+
PRDM1,GATA4,+
SMAD2,JUND,+
SMAD2,HBP1,+
SMAD7,HBP1,+
ZIC3,BHLHE40,+
FOXF1,HBP1,+
FOXH1,HBP1,+
PRDM1,MSX1,+
PRDM1,SOX11,+
CEBPZ,EOMES,+
POU5F1,SOX2,+
SOX2,SOX2,+
ZEB1,TFAP2A,+
BHLHE40,PITX2,+
CEBPZ,TFAP2A,+
NFIB,TFAP2A,+
MAF,ZFP42,+
LEF1,HBP1,+
NANOG,MSX1,+
ZEB1,IRX3,+
GATA3,EOMES,+
OTX2,MSX1,+
POU5F1,ETV6,+
MYCN,FOXH1,+
SOX2,NFE2L3,+
GATA3,BHLHE40,+
SRF,SOX17,+
SRF,PITX2,+
PRDM1,FOXF1,+
SOX2,MSX1,+
EOMES,ELK3,+
SRF,NFIB,+
PITX2,E2F4,+
TFAP2A,HOXB6,+
POU5F1,ZEB1,+
ZEB1,BHLHE40,+
GATA3,CDX1,+
POU5F1,CDX1,+
ZEB1,FOXF1,+
LEF1,GATA4,+
POU5F1,GATA4,+
TCF7,GATA4,+
SMAD2,PITX2,+
SMAD7,PITX2,+
ZIC3,ARID3A,+
SRF,SOX5,+
CEBPZ,FOXH1,+
NFIB,FOXH1,+
PRDM1,HBP1,+
CEBPZ,HOXB6,+
ZIC3,ETV6,+
ZFP42,IRX3,+
NANOG,CDX1,+
PRDM1,MAF,+
CDX1,SOX2,+
PRDM1,GATA3,+
HOXB6,SOX11,+
NANOG,SOX11,+
SOX2,SOX11,+
GATA3,PITX2,+
SMAD2,SHOX2,+
SMAD7,SHOX2,+
SRF,MEIS2,+
ZEB1,GATA4,+
LEF1,GATA6,+
ZEB1,HAND1,+
ZFP42,HAND1,+
MAF,IRX3,+
ZEB1,MAF,+
GATA3,SRF,+
MAF,ZEB1,+
NFE2L3,ZEB1,+
ZIC3,FOXF1,+
CEBPZ,LEF1,+
MAF,LEF1,+
GATA6,MAF,+
NANOG,MAF,+
POU5F1,MAF,+
SOX2,MAF,+
LEF1,NFIB,+
MSX1,NFIB,+
MSX2,NFIB,+
SHOX2,NFIB,+
FOXH1,HOXB3,+
CEBPZ,MSX2,+
GATA3,MSX2,+
NFIB,MSX2,+
CEBPZ,NANOG,+
NFIB,NANOG,+
POU5F1,NANOG,+
SOX2,NANOG,+
ZEB1,NFE2L3,+
FOXF1,OTX2,+
FOXH1,OTX2,+
NANOG,OTX2,+
POU5F1,OTX2,+
TERF1,OTX2,+
ZFX,OTX2,+
NANOG,POU5F1,+
POU5F1,POU5F1,+
SMAD2,POU5F1,+
SMAD7,POU5F1,+
SOX2,POU5F1,+
T,POU5F1,+
TERF1,POU5F1,+
ZFX,POU5F1,+
HOXB3,SOX2,+
SOX17,SOX2,+
ZEB1,SOX2,+
CDX1,T,+
BHLHE40,ZFP42,+
HAND1,ZFP42,+
MYCN,ZFP42,+
PITX2,ZFP42,+
TFAP2A,ZFP42,+
ZFX,ZFP42,+
POU5F1,ZIC3,+
PRDM1,ZIC3,+
TFAP2A,ZIC3,+
PRDM1,ETV6,+
MAF,GATA3,+
NFE2L3,GATA3,+
ZEB1,SATB1,+
