G96,G15,G94,G92,G47,G56,G85,G87,G88,G93,Time,Experiment
0.1268863,0.4012643,0.3109973,0.5612151,0.0558661,0.6477763,0.0819391,0.7012551,0.0700439,0.830043,150,1
0.2127592,0.397388,0.3546464,0.5244618,0.0556661,0.6786596,0.1072067,0.574095,0.1130578,0.9333861,200,1
0.2208855,0.4657043,0.4756938,0.4987112,0.0695298,0.5501868,0.0920387,0.5153272,0.1368545,0.8778688,250,1
0.2522704,0.5730083,0.542878,0.5337253,0.0707523,0.6024285,0.1058719,0.5524783,0.0796344,0.826579,300,1
0.2172687,0.6387813,0.6169839,0.5667712,0.0755934,0.5549776,0.1603677,0.5559248,0.092835,0.8368725,350,1
0.2475563,0.64606,0.5704576,0.6281585,0.1106965,0.5120483,0.1943425,0.3168142,0.1776827,0.8590114,400,1
0.2536073,0.6808486,0.6572778,0.6497455,0.1027963,0.5415642,0.1732691,0.3338193,0.1569443,0.8560449,450,1
0.2693321,0.6704964,0.7847434,0.7051948,0.1049866,0.4635195,0.1884491,0.3004706,0.2053537,0.8811761,500,1
0.5684056,0.7361483,0.8009742,0.5861977,0.4366328,0.5395011,0.2285526,0.2816608,0.2359305,0.4540245,550,1
0.641441,0.6406019,0.732701,0.528408,0.5210441,0.5921726,0.1999552,0.3629245,0.1931517,0.314244,600,1
0.6611767,0.6015414,0.6852885,0.4674754,0.5154631,0.7417427,0.1583918,0.3500747,0.1537351,0.2165247,650,1
0.5264551,0.6005112,0.6769673,0.3663851,0.48703,0.8843771,0.1250449,0.6078455,0.0796805,0.1472827,700,1
0.5273636,0.537173,0.6737249,0.2816661,0.5548858,0.8464726,0.0974845,0.6941554,0.0766563,0.0826978,750,1
0.4993144,0.4990198,0.63827,0.2173464,0.5277473,0.8686399,0.062883,0.7942527,0.0640504,0.0547487,800,1
0.3927163,0.490925,0.608862,0.2908149,0.4920622,0.9120745,0.1128147,0.9142036,0.0648879,0.0482799,850,1
0.391824,0.5156125,0.6252608,0.2077576,0.4405834,0.9660689,0.0979598,0.9084536,0.068341,0.0247938,900,1
0.379625,0.4351121,0.4866334,0.2308443,0.5076423,0.9384847,0.1142108,0.9091697,0.0499244,0.0298749,950,1
0.3025216,0.5735313,0.3857163,0.1936133,0.4878738,0.9753485,0.0929657,0.9044216,0.0880428,0.0239242,1000,1
0.3121044,0.4463703,0.2851571,0.1164409,0.5114862,1.0753031,0.0853687,0.8670377,0.0592991,0.0197872,0,2
0.2656991,0.3575939,0.5079675,0.1240626,0.4646011,0.9575107,0.0761401,1.0166201,0.0606939,0.6088127,50,2
0.2430636,0.4903354,0.5390793,0.1610587,0.480424,0.8187358,0.0431548,0.9305128,0.0603602,0.7567215,100,2
0.3246954,0.5936429,0.5860767,0.248167,0.5428013,0.6882843,0.0742229,0.8547399,0.0446883,0.7417265,150,2
0.433888,0.5768603,0.5826714,0.3270422,0.4402591,0.6446191,0.0753794,0.8570617,0.0535761,0.7440738,200,2
0.4584903,0.578923,0.6447095,0.3833671,0.5230401,0.6116802,0.0669079,0.8323608,0.0683106,0.7613866,250,2
0.5738199,0.5443539,0.6042067,0.3096234,0.5356894,0.6590171,0.098335,0.7751725,0.0612442,0.7102221,300,2
0.5891477,0.5129069,0.5712911,0.3672991,0.5104894,0.6255343,0.1070769,0.7195963,0.0756914,0.7549545,350,2
0.68925,0.4999411,0.6096621,0.3457425,0.5792571,0.6005725,0.064681,0.7165568,0.0574521,0.7061742,400,2
0.609012,0.5085417,0.6545556,0.3088855,0.6001284,0.6447298,0.083675,0.6778242,0.0624147,0.7859478,450,2
0.5889352,0.4811404,0.691479,0.2425087,0.5555718,0.5662268,0.0799286,0.7129066,0.0678976,0.7495407,500,2
0.6360555,0.416608,0.4789017,0.2462393,0.5445712,0.5417872,0.1056283,0.6772626,0.0523111,0.2463447,550,2
0.6438901,0.4413221,0.3525296,0.2041576,0.5354626,0.7249157,0.103253,0.7542439,0.0401777,0.0965717,600,2
0.5926095,0.3521606,0.2985848,0.1585,0.5082176,0.8792531,0.1014441,0.7818209,0.0449855,0.0580248,650,2
0.4704442,0.3447027,0.2625894,0.1254104,0.556304,0.8729975,0.0890291,0.8700134,0.0616482,0.0416638,700,2
0.4172801,0.3900185,0.3320922,0.0714681,0.5005639,1.0017352,0.0572994,0.9154238,0.0805149,0.0568489,750,2
0.3478377,0.3477681,0.3167499,0.0665776,0.4545624,0.9238006,0.0755544,0.9253379,0.0709364,0.0329133,800,2
0.3348868,0.3806569,0.3310798,0.0739294,0.4775451,0.9589829,0.0896572,0.8963971,0.0754505,0.0240151,850,2
0.3335733,0.4131395,0.3406442,0.1068244,0.4143776,0.9476195,0.0695845,0.9628808,0.061029,0.0248542,900,2
0.3545093,0.3872092,0.4442516,0.1086559,0.4742116,0.9709064,0.0807635,0.9171255,0.0772378,0.0355933,950,2
0.2681075,0.4367151,0.4039812,0.1054349,0.4939931,0.9852363,0.0933392,0.9352171,0.0741969,0.0234666,1000,2
0.3121044,0.4463703,0.2851571,0.1164409,0.5114862,1.0753031,0.0853687,0.8670377,0.0592991,0.0197872,0,3
0.1921792,0.3376701,0.3138672,0.0474682,0.5407563,0.5021369,0.064284,0.9135825,0.0437604,0.0277987,50,3
0.3409094,0.3937277,0.2445993,0.0428171,0.5630509,0.2332393,0.0675487,0.9194569,0.0624661,0.0435666,100,3
0.5181688,0.3019235,0.2918314,0.0702525,0.6969105,0.0968275,0.1195142,0.8690312,0.0651967,0.0389274,150,3
0.5579344,0.2574539,0.3302874,0.0682608,0.8320934,0.05896,0.0727315,0.8078713,0.049106,0.0242844,200,3
0.6381753,0.2255291,0.3622688,0.0600914,0.9303699,0.0664625,0.0972007,0.6962033,0.0529855,0.0189674,250,3
0.7128052,0.2340349,0.3232206,0.0519033,0.9250099,0.0572489,0.0482704,0.8082122,0.0702739,0.031297,300,3
0.6938135,0.208619,0.294789,0.0482369,0.9092529,0.0463537,0.0607218,0.7873076,0.076661,0.0261667,350,3
0.7031546,0.2308283,0.2948812,0.0342287,0.9427904,0.0465232,0.0805952,0.6860805,0.0512847,0.0286542,400,3
0.6244131,0.2588298,0.3028896,0.0211389,0.9884966,0.0501184,0.1104215,0.7442872,0.0592143,0.0280488,450,3
0.6679153,0.2065019,0.2365019,0.0165922,0.99792,0.0357153,0.0893991,0.6917732,0.0600429,0.0433332,500,3
0.8873595,0.1283517,0.3115048,0.0187367,0.9437613,0.6050004,0.1015003,0.1828384,0.0579894,0.0325016,550,3
0.7976085,0.1599365,0.3022511,0.0157775,0.642012,0.8501865,0.0745443,0.5557149,0.049845,0.0313509,600,3
0.5828611,0.1832099,0.2624,0.0152274,0.4956779,0.9398258,0.1129571,0.8446328,0.052813,0.0264965,650,3
0.4124258,0.2249792,0.3262815,0.0034074,0.5688279,0.9103191,0.0753891,0.8817406,0.0509167,0.0439593,700,3
0.3570688,0.293235,0.2673934,0.0283336,0.5153524,0.911247,0.0643686,0.8448918,0.0545212,0.0390223,750,3
0.3594979,0.3165421,0.2524644,0.0236012,0.5753446,0.9797418,0.06868,0.892514,0.0520964,0.0134793,800,3
0.3362173,0.2749692,0.2982045,0.0321948,0.4895377,1.041466,0.0675906,0.9555743,0.082504,0.0239583,850,3
0.2863953,0.3420036,0.3256909,0.0288044,0.4745886,0.9427532,0.0664631,0.9589504,0.0469811,0.0305408,900,3
0.2972556,0.4633633,0.279398,0.055811,0.4843184,0.9644229,0.0750463,0.8982927,0.0516038,0.0411275,950,3
0.2989541,0.4539587,0.2310021,0.088586,0.4377302,0.9735829,0.0737121,0.9067046,0.0413134,0.0283865,1000,3
0.3121044,0.4463703,0.2851571,0.1164409,0.5114862,1.0753031,0.0853687,0.8670377,0.0592991,0.0197872,0,4
0.164062,0.3694079,0.3871533,0.1167126,0.4757647,0.3859886,0.0753233,0.9147502,0.0725702,0.040046,50,4
0.2351432,0.382088,0.4451444,0.1011176,0.5497052,0.1427569,0.087293,0.8224673,0.089536,0.0494204,100,4
0.3054239,0.410154,0.4690372,0.0817118,0.6769439,0.0343928,0.1138292,0.7259827,0.0581455,0.0307207,150,4
0.3344814,0.4113846,0.4086809,0.1217339,0.9243584,0.0173799,0.0837242,0.6196971,0.0541718,0.0426022,200,4
0.328669,0.3720182,0.4171545,0.1721404,1.0316518,0.0073812,0.0572704,0.6220191,0.0314547,0.0332019,250,4
0.372111,0.3952126,0.3885858,0.1231778,1.0213187,0.012826,0.0631533,0.5927072,0.0244928,0.0206892,300,4
0.3072392,0.3519689,0.3280142,0.0984713,1.0431613,0.0114436,0.0648248,0.5969752,0.0538084,0.0372301,350,4
0.3450507,0.3165556,0.3250994,0.0693049,0.9822793,0.0123703,0.0715318,0.6132453,0.0495399,0.0422332,400,4
0.3508353,0.2813714,0.2955833,0.0625276,1.0534149,0.0048836,0.0606362,0.665898,0.0380827,0.0430055,450,4
0.326964,0.2967867,0.3650176,0.04798,1.0450671,0.0058379,0.0764495,0.6822846,0.0530278,0.0225754,500,4
0.8672264,0.3317675,0.2891012,0.0388381,0.9828168,0.6853114,0.0833321,0.1567482,0.0745442,0.0163096,550,4
0.7797755,0.2607381,0.2357655,0.0339939,0.7060217,0.8685241,0.105024,0.5690714,0.0637203,0.0221834,600,4
0.5011905,0.1979098,0.2059014,0.0216696,0.5726847,0.9480091,0.0630066,0.787176,0.0551498,0.0511387,650,4
0.440058,0.2117397,0.251818,0.0154415,0.4721176,0.8951314,0.0754889,0.8636688,0.0558643,0.045754,700,4
0.3941994,0.236072,0.3007276,0.0139073,0.4421182,0.8970318,0.0909482,0.9556197,0.0534996,0.0288703,750,4
0.3865181,0.2472377,0.2581358,0.0281996,0.5010845,0.9154922,0.0927049,0.9356795,0.0541989,0.0373888,800,4
0.3235142,0.2578346,0.1772305,0.022495,0.5292149,0.9836717,0.076846,1.0174382,0.057898,0.0304843,850,4
0.3335282,0.255066,0.1958895,0.0235816,0.490202,1.1090839,0.0888109,0.9144823,0.051161,0.0343772,900,4
0.3081706,0.276655,0.2601143,0.0280249,0.4502641,1.0242858,0.0747706,0.9208148,0.0564166,0.0280205,950,4
0.3106147,0.328415,0.3326953,0.0194819,0.4962092,0.9848217,0.0744949,1.0163607,0.0401989,0.0112093,1000,4
0.3121044,0.4463703,0.2851571,0.1164409,0.5114862,1.0753031,0.0853687,0.8670377,0.0592991,0.0197872,0,5
0.2570952,0.3055343,0.2720062,0.0724071,0.3146855,1.0114314,0.0588413,0.9513143,0.0652729,0.2783191,50,5
0.3057268,0.2257309,0.3382197,0.0584886,0.3232543,0.9034518,0.1046051,0.92819,0.0835389,0.344651,100,5
0.3215854,0.2304653,0.3871516,0.0352292,0.3367246,0.8937482,0.0941551,0.940081,0.0489681,0.3580603,150,5
0.3372154,0.2540513,0.3675375,0.0249289,0.2764573,0.9114448,0.0693338,0.9259871,0.0503911,0.3690577,200,5
0.2540969,0.3321438,0.3459928,0.0232252,0.358473,0.7881764,0.0795643,0.860365,0.0466423,0.3679503,250,5
0.2929601,0.318314,0.3690798,0.0333751,0.3488264,0.8278459,0.087731,0.8311765,0.0525416,0.3844196,300,5
0.360679,0.3063003,0.2624983,0.0304651,0.3810034,0.8033623,0.096618,0.9270199,0.0422415,0.432094,350,5
0.342409,0.2728961,0.2318474,0.0270322,0.297018,0.8244081,0.0848207,0.8998485,0.0442819,0.3737516,400,5
0.3956419,0.1570158,0.2209927,0.0310468,0.3381391,0.8088595,0.0735009,0.9249944,0.0665485,0.3206118,450,5
0.431415,0.1819007,0.2534077,0.0259313,0.3520518,0.8139012,0.0986826,0.8606687,0.0490376,0.3688759,500,5
0.4210047,0.2900328,0.2724905,0.0205879,0.5119653,0.8639674,0.1054953,0.9076526,0.0857547,0.1577096,550,5
0.4165819,0.3301315,0.3382621,0.0308191,0.5094805,0.8794244,0.0781061,0.9370663,0.0884818,0.0661117,600,5
0.3761183,0.3628936,0.3537937,0.0389686,0.5243316,0.9548814,0.1023181,0.8954735,0.078536,0.0418196,650,5
0.3903735,0.3392701,0.3625229,0.0700769,0.5665208,0.9277717,0.1089994,0.9574935,0.0439828,0.0290624,700,5
0.3419057,0.3094407,0.3203466,0.0607213,0.5261098,0.8934258,0.0665644,0.8920439,0.0588081,0.0483832,750,5
0.3405313,0.3772056,0.3035508,0.0807412,0.5081737,0.8745181,0.0837876,0.8751346,0.0581442,0.0331721,800,5
0.3465359,0.338836,0.3314302,0.0778375,0.4576175,0.9573733,0.0621486,0.983639,0.0551671,0.0302336,850,5
0.3705494,0.3150605,0.3845858,0.0560504,0.417073,0.972851,0.0819939,0.8878077,0.0780774,0.0320738,900,5
0.381964,0.3760239,0.391389,0.052951,0.4567247,1.0163452,0.0616106,0.8315619,0.0659938,0.0242993,950,5
0.3025404,0.4568912,0.3301323,0.0438281,0.458483,0.9690684,0.0482126,0.9583272,0.0464894,0.0374755,1000,5
0.3121044,0.4463703,0.2851571,0.1164409,0.5114862,1.0753031,0.0853687,0.8670377,0.0592991,0.0197872,0,6
0.1052424,0.4537622,0.35696,0.0699172,0.2920865,0.9901819,0.0642779,0.9196545,0.0528945,0.0274075,50,6
0.122004,0.5342338,0.4288177,0.1002785,0.218397,1.0094653,0.0918031,0.928773,0.043153,0.0277397,100,6
0.1023589,0.611444,0.3625118,0.1919213,0.2469769,0.9928885,0.0871923,1.0062152,0.0489701,0.0207793,150,6
0.1012485,0.6027096,0.374964,0.3484954,0.2293012,1.0047472,0.0891457,1.0340097,0.0486397,0.0216169,200,6
0.1286966,0.6518284,0.415927,0.2974444,0.1934085,0.9660631,0.0582124,0.9076241,0.0622693,0.0449355,250,6
0.0891602,0.6830547,0.3726477,0.4184668,0.2358915,1.0543336,0.0753924,0.9088623,0.0514496,0.0428684,300,6
0.0780885,0.7577319,0.467751,0.4604732,0.1648785,0.9573255,0.0826019,0.8296692,0.0787931,0.0679392,350,6
0.0707638,0.839625,0.524787,0.5930367,0.2242363,0.9364868,0.0757405,0.6889853,0.0882009,0.115616,400,6
0.0966764,0.8885323,0.6179289,0.5695304,0.2431343,0.9145234,0.0929655,0.5870854,0.1155946,0.1185953,450,6
0.1165358,0.8323706,0.6093006,0.6821882,0.2171517,0.9561905,0.1735651,0.4318153,0.1834788,0.1873991,500,6
0.3571202,0.8388869,0.7004008,0.795815,0.463881,0.8192787,0.1932355,0.266622,0.2543202,0.2482165,550,6
0.4178812,0.7257738,0.8032164,0.7775711,0.3773925,0.8367958,0.2646872,0.1535121,0.3813359,0.3342777,600,6
0.4465418,0.6503519,0.9358123,0.6960494,0.3920723,0.8258917,0.3439628,0.1792275,0.4219876,0.399735,650,6
0.3693481,0.6462512,0.9091188,0.5750945,0.4545034,0.8310039,0.2999712,0.1996937,0.3632999,0.442644,700,6
0.3902936,0.6920194,0.9324995,0.4792634,0.45169,0.8321195,0.2168499,0.3434961,0.225038,0.2841705,750,6
0.4308048,0.6553336,0.8604689,0.4523853,0.532054,0.8239411,0.178016,0.6457228,0.1408879,0.1530198,800,6
0.4245289,0.6741466,0.7524023,0.5201658,0.4503861,0.8579875,0.1595354,0.6922745,0.1258585,0.1370434,850,6
0.3843516,0.5953011,0.7172454,0.5144726,0.5045335,0.8627958,0.2190808,0.5218787,0.0899315,0.1684262,900,6
0.3871757,0.6327676,0.650187,0.4286326,0.4333005,0.9642071,0.1796874,0.4503904,0.1097195,0.1646729,950,6
0.3046172,0.6087308,0.6091937,0.4320475,0.4708955,0.9179794,0.1129283,0.8161715,0.1034059,0.1082946,1000,6
0.3121044,0.4463703,0.2851571,0.1164409,0.5114862,1.0753031,0.0853687,0.8670377,0.0592991,0.0197872,0,7
0.2639137,0.3473169,0.3669853,0.4137233,0.441256,0.7854549,0.0704845,0.9285716,0.0722272,0.1586054,50,7
0.3652055,0.2767261,0.350932,0.5912577,0.4566081,0.6963662,0.0810638,0.614764,0.1115024,0.2361475,100,7
0.4696976,0.1948873,0.4755603,0.5968182,0.4976125,0.6424275,0.0945446,0.4248726,0.1303584,0.2940753,150,7
0.4981245,0.2654915,0.6374155,0.580917,0.5650872,0.5881732,0.1667384,0.424682,0.2131907,0.3516793,200,7
0.5306082,0.3429199,0.7521091,0.6446748,0.4687516,0.4952829,0.1886712,0.3131686,0.2446389,0.4108576,250,7
0.6355466,0.3148356,0.8768357,0.6435206,0.4892224,0.5248395,0.2558995,0.2361675,0.2204845,0.4183245,300,7
0.739576,0.2919925,0.7540066,0.6307974,0.5382738,0.5371889,0.2734394,0.2183472,0.2816596,0.4093983,350,7
0.6952061,0.254657,0.7248708,0.5990329,0.525614,0.5247244,0.2755014,0.2506468,0.2978255,0.3795153,400,7
0.6578066,0.2226674,0.7601841,0.6383601,0.5198532,0.4826739,0.2812232,0.2560144,0.2733228,0.4826089,450,7
0.7574326,0.2163742,0.8510006,0.6117521,0.543687,0.5038429,0.248175,0.2088134,0.2059142,0.4407897,500,7
0.6580947,0.4523119,0.9144505,0.283961,0.5668062,0.6451243,0.2404322,0.4712604,0.1776963,0.3231114,550,7
0.6034453,0.5108192,0.8587702,0.2162919,0.492946,0.7398148,0.1144454,0.6835481,0.1171695,0.1834378,600,7
0.5126292,0.5142438,0.7624113,0.222275,0.536587,0.9188917,0.1025413,0.8204918,0.0699834,0.0714037,650,7
0.43504,0.5492775,0.5615248,0.1836506,0.481488,0.8947441,0.0988923,0.8943449,0.0519272,0.0636648,700,7
0.3151355,0.5896065,0.4384331,0.2142411,0.506167,0.9520883,0.1042842,0.9833233,0.0351375,0.0472694,750,7
0.2850325,0.6206155,0.3183561,0.2551151,0.4411189,1.0141533,0.0758734,0.8918389,0.0461705,0.0485709,800,7
0.3078291,0.499263,0.2158077,0.2590246,0.4405302,1.0373848,0.0820985,0.966985,0.042501,0.053434,850,7
0.2419984,0.4022349,0.2828131,0.1845337,0.4179799,0.9729327,0.0567205,0.9191593,0.0503687,0.0380952,900,7
0.2778816,0.3807385,0.260996,0.1658988,0.488867,1.0499852,0.0884046,0.9534308,0.0531834,0.0401044,950,7
0.2760301,0.3335534,0.2679023,0.157419,0.457242,1.0519219,0.0975482,0.9177033,0.0431031,0.0432443,1000,7
0.3121044,0.4463703,0.2851571,0.1164409,0.5114862,1.0753031,0.0853687,0.8670377,0.0592991,0.0197872,0,8
0.2902004,0.4357627,0.254459,0.1558685,0.4753294,1.0158364,0.2215078,0.9712102,0.044639,0.1348071,50,8
0.24624,0.4294063,0.243515,0.101979,0.4209017,0.8338465,0.2419074,0.9026985,0.0502432,0.1894546,100,8
0.2680373,0.4005911,0.3239158,0.0994159,0.4933003,0.9086583,0.2305057,0.8686493,0.077657,0.1506085,150,8
0.3522402,0.3617316,0.3306325,0.1026404,0.4543867,0.8657743,0.2116177,0.8729445,0.0583317,0.1412595,200,8
0.3540683,0.3893801,0.3371197,0.0948682,0.4987026,0.8601036,0.2519426,0.8940049,0.0504854,0.177324,250,8
0.4080467,0.4475092,0.3498856,0.0793226,0.4785922,0.8269647,0.2135222,0.8373466,0.0568884,0.1550222,300,8
0.4458255,0.4149091,0.3234907,0.1247378,0.4579419,0.8196623,0.196154,0.8657155,0.0569094,0.1757577,350,8
0.4448526,0.363495,0.2362818,0.0968545,0.4709903,0.8660844,0.2209629,0.8360719,0.0469872,0.177944,400,8
0.3976453,0.2659198,0.2032118,0.0979508,0.4555337,0.8122185,0.1963928,0.8904752,0.0717479,0.1295487,450,8
0.3557314,0.1975084,0.1880216,0.0522523,0.4237262,0.8607523,0.1985473,0.8754112,0.0490592,0.1740018,500,8
0.307281,0.2178372,0.1982441,0.0286529,0.4946449,0.8376052,0.0926744,0.8774833,0.0664485,0.0679021,550,8
0.3776462,0.2246265,0.2847692,0.0165018,0.4980852,1.0086558,0.0736592,0.8422045,0.045705,0.0337632,600,8
0.3039931,0.2662021,0.2494194,0.0140411,0.5183671,0.9962243,0.0606653,1.0295138,0.0481799,0.0265541,650,8
0.3617159,0.2624317,0.1749559,0.0380701,0.5278259,1.0062044,0.086262,0.7438524,0.0539619,0.0256902,700,8
0.2734013,0.2153455,0.1968602,0.018488,0.4517641,0.9590846,0.0827116,0.9146772,0.0536795,0.0336329,750,8
0.2855474,0.1794979,0.2095589,0.0067077,0.4921377,0.9452298,0.0571343,0.9565006,0.0542742,0.033188,800,8
0.3030828,0.2074605,0.2858802,0.0174816,0.4735628,0.9478457,0.0627383,0.9150693,0.0341333,0.0398783,850,8
0.3089505,0.3383377,0.333205,0.0205134,0.5013419,0.9050752,0.0695696,1.0048352,0.0492664,0.0290694,900,8
0.3591009,0.2721199,0.3247136,0.0284137,0.4528855,0.9300841,0.0972721,0.8335693,0.0503303,0.0282821,950,8
0.3855806,0.3554183,0.3672608,0.0329845,0.4357323,0.9172711,0.0926317,0.8315509,0.0385749,0.043036,1000,8
0.3121044,0.4463703,0.2851571,0.1164409,0.5114862,1.0753031,0.0853687,0.8670377,0.0592991,0.0197872,0,9
0.2844028,0.1936709,0.6280569,0.0509088,0.4561463,0.8848164,0.4072797,0.9401262,0.0379736,0.6972538,50,9
0.3280002,0.1321352,0.6070707,0.0378014,0.4422455,0.7540749,0.4824893,0.9617805,0.0544537,0.8459988,100,9
0.4493532,0.1552048,0.6679826,0.0211432,0.4706083,0.6111033,0.426332,0.8769878,0.0547029,0.8805274,150,9
0.5523691,0.1404474,0.7648903,0.0145136,0.551938,0.5623027,0.4479886,0.763457,0.0623345,0.921805,200,9
0.6796607,0.1196538,0.7432673,0.0168846,0.5994376,0.586612,0.4453266,0.6912935,0.0558367,0.9800414,250,9
0.6441637,0.1228518,0.7364741,0.014325,0.5576783,0.5606763,0.464635,0.6610615,0.0545405,1.0632831,300,9
0.6549953,0.1695502,0.7329638,0.0091864,0.5937594,0.5449479,0.428408,0.7446731,0.0399888,1.0362508,350,9
0.7386252,0.114384,0.6859816,0.0141466,0.5809025,0.5436741,0.3789549,0.5013486,0.0456258,0.9811419,400,9
0.7710276,0.1140281,0.7139166,0.0193622,0.5638298,0.5444756,0.4629869,0.5398455,0.0519921,1.0239748,450,9
0.7112439,0.1052388,0.6984813,0.0078696,0.6136346,0.5334898,0.4414371,0.617758,0.0441142,0.9740361,500,9
0.6860081,0.3241857,0.3571122,0.0069897,0.5186082,0.6197206,0.1412484,0.7353952,0.0507061,0.4743057,550,9
0.5930371,0.3766653,0.3163183,0.0408244,0.5715781,0.6785076,0.0872249,0.6948473,0.0423338,0.1824423,600,9
0.6461376,0.3256928,0.2794339,0.0455792,0.4966463,0.7078077,0.0814647,0.7604433,0.0679181,0.0942589,650,9
0.4590457,0.2858628,0.3337997,0.0548524,0.4900292,0.834644,0.0836491,0.7238091,0.0565842,0.0512844,700,9
0.401529,0.3103643,0.386462,0.030229,0.4655008,0.9350298,0.0957882,0.9477586,0.0426088,0.0469242,750,9
0.3906448,0.4111027,0.3405096,0.0298183,0.4982419,0.9445683,0.0835216,0.9266874,0.0451914,0.0377269,800,9
0.3561731,0.3951392,0.2630834,0.0606157,0.5220449,0.925743,0.0863624,1.0098609,0.0460979,0.046188,850,9
0.4191216,0.3882753,0.2947115,0.0697692,0.5521393,0.9835554,0.0929534,0.8444256,0.0632132,0.0296873,900,9
0.376229,0.3775268,0.2963588,0.0643111,0.5044043,0.9008352,0.0899867,0.9292744,0.0491063,0.0368797,950,9
0.3939019,0.4522234,0.2605509,0.1047723,0.508495,0.9756942,0.0626184,0.9733766,0.0699598,0.041693,1000,9
