TF,Sources
HOXD12,RegNetwork
HOXD13,RegNetwork|TRRUST
HOXD3,RegNetwork
HOXD4,RegNetwork
HOXD9,RegNetwork
HR,RegNetwork|TRRUST
HSBP1,RegNetwork
HSF1,RegNetwork|TRRUST
HSF2,RegNetwork
HSF2BP,RegNetwork
HSF4,RegNetwork|TRRUST
HSFY2,RegNetwork
HSPB1,TRRUST
HTATIP2,RegNetwork|TRRUST
HTT,RegNetwork
ID1,RegNetwork|TRRUST|ESCAPE
ID2,RegNetwork|TRRUST
ID3,RegNetwork|TRRUST
ID4,RegNetwork|TRRUST
IFI204,TRRUST
IFIH1,TRRUST
IFNG,RegNetwork
IGHMBP2,RegNetwork
IKBKB,RegNetwork|TRRUST
IKBKG,RegNetwork
IKZF1,RegNetwork|TRRUST
IKZF2,RegNetwork|TRRUST
IKZF3,RegNetwork|TRRUST
IL10,TRRUST
IL17A,TRRUST
IL4,TRRUST
ILF2,RegNetwork|TRRUST
ILF3,RegNetwork|TRRUST
ILK,TRRUST
ING1,RegNetwork|TRRUST
ING2,RegNetwork
ING3,RegNetwork
ING4,RegNetwork|TRRUST
INSM1,RegNetwork|TRRUST
INTS12,RegNetwork
IRF1,RegNetwork|TRRUST
IRF2,RegNetwork|TRRUST
IRF3,RegNetwork|TRRUST
IRF4,RegNetwork|TRRUST
IRF5,RegNetwork|TRRUST
IRF6,RegNetwork|TRRUST
IRF7,RegNetwork|TRRUST
IRF8,RegNetwork|TRRUST
IRF9,RegNetwork|TRRUST
IRX3,RegNetwork|TRRUST
IRX5,RegNetwork|TRRUST
IRX6,RegNetwork
ISL1,RegNetwork|TRRUST
ISL2,RegNetwork
IVNS1ABP,RegNetwork
JARID1A,ESCAPE
JARID2,RegNetwork|TRRUST|ESCAPE
JAZF1,TRRUST
JDP2,RegNetwork|TRRUST
JMJD1C,RegNetwork|TRRUST
JUN,RegNetwork|TRRUST
JUNB,RegNetwork|TRRUST
JUND,RegNetwork|TRRUST
JUP,RegNetwork
KANK2,RegNetwork
KAT2B,RegNetwork|TRRUST
KAT5,RegNetwork|TRRUST
KCNIP3,RegNetwork|TRRUST
KDM2B,RegNetwork
KDM4A,RegNetwork
KDM4B,RegNetwork
KDM4C,RegNetwork
KDM5A,RegNetwork
KDM5B,RegNetwork
KDM5C,RegNetwork
KDM5D,RegNetwork
KDM6B,TRRUST
KEAP1,TRRUST
KHDRBS1,RegNetwork|TRRUST
KLF1,RegNetwork|TRRUST
KLF10,RegNetwork|TRRUST
KLF11,RegNetwork|TRRUST
KLF12,TRRUST
KLF13,RegNetwork|TRRUST
KLF15,TRRUST
KLF16,TRRUST
KLF2,RegNetwork|TRRUST|ESCAPE
KLF3,RegNetwork|TRRUST
KLF4,RegNetwork|TRRUST|ESCAPE
KLF5,RegNetwork|TRRUST|ESCAPE
KLF6,RegNetwork|TRRUST
KLF7,TRRUST
KLF8,TRRUST
KLF9,TRRUST
KNTC1,RegNetwork
KPNA2,TRRUST
KRBA1,RegNetwork
L3MBTL2,RegNetwork
LASS2,RegNetwork
LASS3,RegNetwork
LASS4,RegNetwork
LASS5,RegNetwork
LBX1,RegNetwork|TRRUST
LDB1,RegNetwork|TRRUST
LDB2,RegNetwork|TRRUST
LEF1,RegNetwork|TRRUST
LHX1,RegNetwork
LHX2,RegNetwork|TRRUST
LHX3,RegNetwork|TRRUST
LHX4,RegNetwork
LHX5,RegNetwork
LHX9,RegNetwork|TRRUST
LIN28A,RegNetwork
LMO1,RegNetwork
LMO2,RegNetwork|TRRUST
LMO3,RegNetwork
LMO4,RegNetwork|TRRUST
LMO7,TRRUST
LMX1A,RegNetwork
LMX1B,RegNetwork|TRRUST
LOC100047997,RegNetwork
LYL1,RegNetwork|TRRUST
LZTS1,RegNetwork
MAF,RegNetwork|TRRUST
MAFA,RegNetwork|TRRUST
MAFB,RegNetwork|TRRUST
MAFF,RegNetwork
MAFG,RegNetwork|TRRUST
MAFK,RegNetwork|TRRUST
MAML1,RegNetwork
MAML3,RegNetwork
MAP3K7,TRRUST
MAPK1,RegNetwork|TRRUST
MAPK10,RegNetwork
MAPK11,RegNetwork
MAPK12,RegNetwork
MAPK13,RegNetwork
MAPK14,RegNetwork|TRRUST
MAPK3,RegNetwork
MAPK8,RegNetwork
MAPK9,RegNetwork
MATR3,RegNetwork
MAX,RegNetwork|TRRUST|ESCAPE
MAZ,RegNetwork|TRRUST
MBD1,RegNetwork|TRRUST
MBD2,RegNetwork|TRRUST
MBD3,RegNetwork|TRRUST
MCM2,RegNetwork
MCM3,RegNetwork|TRRUST
MCM4,RegNetwork
MCM5,RegNetwork
MCM6,RegNetwork|TRRUST
MCM7,RegNetwork
MDM2,TRRUST
MDM4,RegNetwork|TRRUST
MECOM,RegNetwork
MECP2,RegNetwork|TRRUST
MED1,RegNetwork|TRRUST
MED12,RegNetwork
MED13,RegNetwork
MED14,RegNetwork
MED15,RegNetwork
MED16,RegNetwork
MED17,RegNetwork
MED20,RegNetwork
MED21,RegNetwork
MED23,RegNetwork|TRRUST
MED26,RegNetwork
MED27,RegNetwork
MED30,RegNetwork
MED31,RegNetwork
MED4,RegNetwork
MED6,RegNetwork|TRRUST
MED8,RegNetwork|TRRUST
MEF2A,RegNetwork|TRRUST
MEF2C,RegNetwork|TRRUST|ESCAPE
MEF2D,RegNetwork|TRRUST
MEIS1,RegNetwork|TRRUST
MEIS2,RegNetwork|TRRUST
MEIS3,RegNetwork
MEN1,RegNetwork|TRRUST
MEOX1,RegNetwork|TRRUST
MEOX2,RegNetwork|TRRUST
MIS18BP1,RegNetwork
MITF,RegNetwork|TRRUST
MIXL1,RegNetwork|TRRUST
MKI67IP,RegNetwork
MKL1,RegNetwork|TRRUST
MKL2,RegNetwork
MKX,TRRUST
MLL1,RegNetwork
MLL2,RegNetwork
MLL3,RegNetwork
MLLT1,RegNetwork
MLLT10,RegNetwork
MLLT3,RegNetwork|TRRUST
MLX,RegNetwork
MLXIP,RegNetwork
MLXIPL,RegNetwork|TRRUST
MMP9,TRRUST
MMS19,RegNetwork
MNT,RegNetwork|TRRUST
MNX1,RegNetwork
MPHOSPH8,RegNetwork
MSC,RegNetwork|TRRUST|ESCAPE
MSX1,RegNetwork|TRRUST
MSX2,RegNetwork|TRRUST
MTA1,RegNetwork|TRRUST
MTA2,RegNetwork|TRRUST
MTA3,RegNetwork
MTF1,RegNetwork|TRRUST
MTF2,RegNetwork|TRRUST
MXD1,RegNetwork|TRRUST
MXD3,RegNetwork
MXD4,RegNetwork
MXI1,RegNetwork|TRRUST
MYB,RegNetwork|TRRUST
MYBBP1A,RegNetwork|TRRUST
MYBL1,RegNetwork|TRRUST
MYBL2,RegNetwork|TRRUST|ESCAPE
MYC,RegNetwork|TRRUST|ESCAPE
MYCL1,RegNetwork
MYCN,RegNetwork|TRRUST|ESCAPE
MYD88,RegNetwork
MYEF2,RegNetwork|TRRUST
MYF5,RegNetwork|TRRUST
MYF6,RegNetwork|TRRUST
MYNN,RegNetwork
MYOCD,RegNetwork|TRRUST
MYOD1,RegNetwork|TRRUST|ESCAPE
MYOG,RegNetwork|TRRUST
MYST2,RegNetwork
MYST3,RegNetwork
MYT1,RegNetwork
MYT1L,RegNetwork
MZF1,RegNetwork|TRRUST
NAA15,RegNetwork
NAB1,TRRUST
NAB2,RegNetwork|TRRUST
NACC1,ESCAPE
NANOG,RegNetwork|TRRUST|ESCAPE
NAP1L2,RegNetwork
NAP1L3,RegNetwork
NAP1L4,RegNetwork
NCOA1,RegNetwork|TRRUST
NCOA2,RegNetwork|TRRUST
NCOA3,RegNetwork|TRRUST
NCOA4,RegNetwork|TRRUST
NCOA5,RegNetwork|TRRUST
NCOA6,RegNetwork|TRRUST
NCOR1,RegNetwork|TRRUST
NCOR2,RegNetwork|TRRUST
NDN,RegNetwork|TRRUST
NDNL2,RegNetwork
NEIL2,RegNetwork
NEUROD1,RegNetwork|TRRUST
NEUROD4,RegNetwork
NEUROD6,TRRUST
NEUROG1,RegNetwork|TRRUST
NEUROG2,RegNetwork|TRRUST
NEUROG3,RegNetwork|TRRUST
NF1,RegNetwork|TRRUST
NFAT5,RegNetwork|TRRUST
NFATC1,RegNetwork|TRRUST
NFATC2,RegNetwork|TRRUST
NFATC2IP,TRRUST
NFATC3,RegNetwork|TRRUST
NFATC4,RegNetwork|TRRUST
NFE2,RegNetwork|TRRUST
NFE2L1,RegNetwork
NFE2L2,RegNetwork|TRRUST
NFE2L3,TRRUST
NFIA,RegNetwork|TRRUST
NFIB,RegNetwork|TRRUST
NFIC,RegNetwork|TRRUST
NFIL3,RegNetwork|TRRUST
NFIX,RegNetwork|TRRUST
NFKB1,RegNetwork|TRRUST
NFKB2,RegNetwork|TRRUST
NFKBIA,RegNetwork|TRRUST
NFKBIB,RegNetwork
NFKBIZ,RegNetwork|TRRUST
NFRKB,RegNetwork
NFX1,RegNetwork
NFXL1,RegNetwork
NFYA,RegNetwork|TRRUST
NFYB,RegNetwork|TRRUST
NFYC,RegNetwork|TRRUST
NHLH1,RegNetwork
NHLH2,RegNetwork|TRRUST
NKD2,RegNetwork
NKRF,RegNetwork
NKX2-1,RegNetwork|TRRUST
NKX2-2,RegNetwork|TRRUST
NKX2-3,RegNetwork|TRRUST
NKX2-5,RegNetwork|TRRUST
NKX2-9,RegNetwork|TRRUST
NKX3-1,RegNetwork|TRRUST
NKX3-2,RegNetwork|TRRUST
NKX6-1,RegNetwork|TRRUST
NKX6-2,RegNetwork
NME2,RegNetwork
NMI,RegNetwork
NONO,RegNetwork|TRRUST
NOTCH1,TRRUST
NOTCH2,RegNetwork|TRRUST
NOTCH3,RegNetwork|TRRUST
NOTCH4,RegNetwork|TRRUST
NPAS1,TRRUST
NPAS2,RegNetwork|TRRUST
NPM2,RegNetwork
NR0B1,RegNetwork|TRRUST|ESCAPE
NR0B2,RegNetwork|TRRUST
NR1D1,RegNetwork|TRRUST
NR1D2,RegNetwork|TRRUST
NR1H2,RegNetwork|TRRUST
NR1H3,RegNetwork|TRRUST
NR1H4,RegNetwork|TRRUST
NR1I2,RegNetwork|TRRUST
NR1I3,RegNetwork|TRRUST
NR2C1,RegNetwork|TRRUST
NR2C2,TRRUST
NR2E1,RegNetwork|TRRUST
NR2E3,RegNetwork|TRRUST
NR2F1,RegNetwork|TRRUST
NR2F2,TRRUST
NR2F6,RegNetwork|TRRUST
NR3C1,RegNetwork|TRRUST
NR3C2,RegNetwork|TRRUST
NR4A1,RegNetwork|TRRUST
NR4A2,RegNetwork|TRRUST
NR4A3,RegNetwork|TRRUST
NR5A1,RegNetwork|TRRUST
NR5A2,RegNetwork|TRRUST|ESCAPE
NRBF2,RegNetwork
NRF1,RegNetwork|TRRUST
NRIP1,RegNetwork|TRRUST|ESCAPE
NRL,TRRUST
NSD1,RegNetwork
NUPR1,RegNetwork|TRRUST
OLIG1,RegNetwork|TRRUST
OLIG2,RegNetwork|TRRUST
ONECUT1,RegNetwork|TRRUST
ORC2,RegNetwork
OTX2,RegNetwork|TRRUST|ESCAPE
OVOL1,RegNetwork|TRRUST
PA2G4,RegNetwork
PAPOLA,RegNetwork
PAPOLB,RegNetwork
PAPOLG,RegNetwork
PARN,RegNetwork
PARP1,RegNetwork|TRRUST
PATZ1,RegNetwork
PAWR,RegNetwork
PAX1,RegNetwork|TRRUST
PAX2,RegNetwork|TRRUST
PAX3,RegNetwork|TRRUST
PAX4,RegNetwork|TRRUST
PAX5,RegNetwork|TRRUST
PAX6,RegNetwork|TRRUST
PAX7,RegNetwork|TRRUST
PAX8,RegNetwork|TRRUST
PAX9,RegNetwork|TRRUST
PBRM1,RegNetwork|TRRUST
PBX1,RegNetwork|TRRUST
PBX2,RegNetwork|TRRUST
PBX3,RegNetwork
PBX4,RegNetwork|TRRUST
PBXIP1,RegNetwork
